"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_4_asymp","ghEqualK",5779618,10000,10,10,0,3,1,1,0.2,1,0.0029,0.00151479447287271,0.00428520552712729,0.029,0.0257109938522405,0.0322890061477595,0.0713,0.0670669988156422,0.0755330011843579,713,290,29
"SmoothFixed_4_asymp","ghEqualK",168793,10000,10,10,0,3,3,3,0.2,1,0.002,0.000849130376801959,0.00315086962319804,0.0309,0.0275082830026077,0.0342917169973923,0.0802,0.0757321376032939,0.0846678623967061,802,309,20
"SmoothFixed_4_asymp","ghEqualK",15186707,10000,10,10,0,3,-3,-3,0.2,1,0.0021,0.000920768647472431,0.00327923135252757,0.0283,0.0250497603015162,0.0315502396984838,0.0745,0.0701805122150451,0.0788194877849549,745,283,21
"SmoothFixed_4_asymp","ghEqualK",331313,10000,10,10,0,3,-1,-1,0.2,1,0.0023,0.00106601533457826,0.00353398466542174,0.0287,0.025427544767365,0.031972455232635,0.0783,0.073880821163522,0.082719178836478,783,287,23
"SmoothFixed_4_asymp","ghEqualK",9279858,10000,10,10,0.5,3,1,1,0.2,0,0.0026,0.00128820124431222,0.00391179875568778,0.0339,0.0303529528497072,0.0374470471502928,0.087,0.0823638132935029,0.091636186706497,870,339,26
"SmoothFixed_4_asymp","ghEqualK",1834562,10000,10,10,0.5,3,3,3,0.2,0,0.0139,0.0108841222153569,0.0169158777846431,0.1173,0.110993162507754,0.123606837492246,0.238,0.230994617284545,0.245005382715455,2380,1173,139
"SmoothFixed_4_asymp","ghEqualK",132920,10000,10,10,0.5,3,1,3,0.2,0,0.015,0.0118688086867775,0.0181311913132225,0.13,0.123408452685446,0.136591547314554,0.2687,0.261407985522726,0.275992014477274,2687,1300,150
"SmoothFixed_4_asymp","ghEqualK",42397217,10000,10,10,0.5,3,-1,1,0.2,0,0.0102,0.00761166986137858,0.0127883301386214,0.104,0.0980168933287129,0.109983106671287,0.2418,0.234756541816132,0.248843458183868,2418,1040,102
"SmoothFixed_4_asymp","ghEqualK",44281,10000,10,10,0.5,3,-3,3,0.2,0,0.0498,0.0441963881746773,0.0554036118253227,0.3494,0.340055102306478,0.358744897693522,0.6619,0.65411811733544,0.66968188266456,6619,3494,498
"SmoothFixed_4_asymp","ghEqualK",5331137,10000,10,10,0.5,3,-1,3,0.2,0,0.0298,0.0254198939478483,0.0341801060521517,0.2463,0.237855235654585,0.254744764345415,0.4807,0.47248112974462,0.48891887025538,4807,2463,298
"SmoothFixed_4_asymp","ghEqualK",36592657,10000,10,10,0.5,3,1,-3,0.2,0,0.045,0.0396598457550367,0.0503401542449633,0.2752,0.266446345961051,0.283953654038949,0.4815,0.473280631940692,0.489719368059308,4815,2752,450
"SmoothFixed_4_asymp","ghEqualK",149627,10000,10,10,1,3,1,1,0.2,0,0.0042,0.0025340707064416,0.0058659292935584,0.0506,0.0463040823911066,0.0548959176088934,0.1221,0.116714249148635,0.127485750851365,1221,506,42
"SmoothFixed_4_asymp","ghEqualK",111222,10000,10,10,1,3,3,3,0.2,0,0.0361,0.0312947559483514,0.0409052440516486,0.2221,0.213953102798341,0.230246897201659,0.3848,0.37679628533752,0.39280371466248,3848,2221,361
"SmoothFixed_4_asymp","ghEqualK",266384,10000,10,10,1,3,1,3,0.2,0,0.0314,0.0269075534872963,0.0358924465127037,0.2108,0.202805617698809,0.218794382301191,0.3771,0.369127338343252,0.385072661656748,3771,2108,314
"SmoothFixed_4_asymp","ghEqualK",84635,10000,10,10,1,3,-1,1,0.2,0,0.0083,0.00596291202152422,0.0106370879784758,0.1052,0.0991865053493331,0.111213494650667,0.2556,0.248424543940933,0.262775456059067,2556,1052,83
"SmoothFixed_4_asymp","ghEqualK",48606406,10000,10,10,1,3,-3,3,0.2,0,0.0361,0.0312947559483514,0.0409052440516486,0.3057,0.296670215758857,0.314729784241143,0.6351,0.627180935316341,0.643019064683659,6351,3057,361
"SmoothFixed_4_asymp","ghEqualK",54169105,10000,10,10,1,3,-1,3,0.2,0,0.0327,0.0281185776632037,0.0372814223367963,0.2668,0.258131175472903,0.275468824527097,0.5228,0.514583555817971,0.531016444182029,5228,2668,327
"SmoothFixed_4_asymp","ghEqualK",234252,10000,10,10,1,3,1,-3,0.2,0,0.0576,0.0515982936974704,0.0636017063025296,0.2968,0.287845786388431,0.305754213611569,0.496,0.487775263204211,0.504224736795789,4960,2968,576
"SmoothFixed_4_asymp","ghEqualK",94025,10000,10,10,1.5,3,1,1,0.2,0,0.009,0.00656721381654696,0.011432786183453,0.0818,0.0764284284197639,0.0871715715802361,0.1847,0.178316511634633,0.191083488365367,1847,818,90
