"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_6_asymp","Cauchy",33782,10000,10,10,0,1,1,1,0.0052,0.00334725598592358,0.00705274401407642,0.0377,0.0339667937059948,0.0414332062940052,0.0828,0.0782667142648626,0.0873332857351374,828,377,52
"SmoothFixed_6_asymp","Cauchy",21251,10000,10,10,0,0.5,0.5,1,0.0058,0.00384387440854734,0.00775612559145266,0.0416,0.037686402668848,0.045513597331152,0.0878,0.0831445872230381,0.0924554127769619,878,416,58
"SmoothFixed_6_asymp","Cauchy",481877,10000,10,10,0,2,2,1,0.0041,0.00245394003130384,0.00574605996869616,0.0364,0.0327292470300496,0.0400707529699504,0.087,0.0823638132935029,0.091636186706497,870,364,41
"SmoothFixed_6_asymp","Cauchy",18343,10000,10,10,0.5,1,1,0,0.0055,0.00359484814841441,0.00740515185158559,0.0434,0.039406385648263,0.047393614351737,0.0895,0.0848041156238281,0.0941958843761719,895,434,55
"SmoothFixed_6_asymp","Cauchy",606560,10000,10,10,0.5,0.5,0.5,0,0.0033,0.00182264434886653,0.00477735565113347,0.0342,0.0306378457223753,0.0377621542776247,0.0799,0.0754397745926943,0.0843602254073057,799,342,33
"SmoothFixed_6_asymp","Cauchy",367878,10000,10,10,0.5,2,2,0,0.0047,0.00293813840191234,0.00646186159808766,0.037,0.0333002696098229,0.0406997303901771,0.083,0.0784617374604922,0.0875382625395078,830,370,47
"SmoothFixed_6_asymp","Cauchy",4180790,10000,10,10,0.5,0.5,2,0,0.0019,0.000778214849062442,0.00302178515093756,0.0261,0.0229751188236351,0.029224881176365,0.0596,0.0557055570843059,0.0634944429156941,596,261,19
"SmoothFixed_6_asymp","Cauchy",6543311,10000,10,10,0.5,1,2,0,0.0037,0.00213598185986991,0.00526401814013009,0.0363,0.0326341025369495,0.0399658974630505,0.0755,0.0711539688393461,0.0798460311606539,755,363,37
"SmoothFixed_6_asymp","Cauchy",41244401,10000,10,10,1,1,1,0,0.0035,0.00197868715433018,0.00502131284566982,0.0322,0.0287399942853226,0.0356600057146774,0.0764,0.0720302705997282,0.0807697294002718,764,322,35
"SmoothFixed_6_asymp","Cauchy",15929395,10000,10,10,1,0.5,0.5,0,0.0019,0.000778214849062442,0.00302178515093756,0.0206,0.0178159967919559,0.0233840032080441,0.0521,0.0484443380738948,0.0557556619261052,521,206,19
"SmoothFixed_6_asymp","Cauchy",311213438,10000,10,10,1,2,2,0,0.0052,0.00334725598592358,0.00705274401407642,0.0367,0.0330147251476179,0.0403852748523821,0.0852,0.0806075040959844,0.0897924959040156,852,367,52
"SmoothFixed_6_asymp","Cauchy",57054,10000,10,10,1,0.5,2,0,0.0015,0.000503068031207746,0.00249693196879225,0.0168,0.0142809798171511,0.0193190201828489,0.0498,0.046221606578938,0.053378393421062,498,168,15
"SmoothFixed_6_asymp","Cauchy",69772,10000,10,10,1,1,2,0,0.0045,0.00277585912594127,0.00622414087405873,0.0332,0.0296884938442885,0.0367115061557115,0.0742,0.069888519331842,0.078511480668158,742,332,45
"SmoothFixed_6_asymp","Cauchy",257574,10000,10,10,1.5,1,1,0,0.0032,0.00174512774259181,0.00465487225740819,0.0256,0.022504401043029,0.028695598956971,0.0632,0.0591973475456393,0.0672026524543607,632,256,32
"SmoothFixed_6_asymp","Cauchy",44074,10000,10,10,1.5,0.5,0.5,0,0.0012,0.00030818299620606,0.00209181700379394,0.0122,0.0100483555996401,0.0143516444003599,0.0406,0.0373534000611255,0.0438465999388745,406,122,12
"SmoothFixed_6_asymp","Cauchy",32408,10000,10,10,1.5,2,2,0,0.005,0.00318305240581903,0.00681694759418097,0.0365,0.0328243989824792,0.0401756010175208,0.0845,0.0799246593843327,0.0890753406156673,845,365,50
"SmoothFixed_6_asymp","Cauchy",11127697,10000,10,10,1.5,0.5,2,0,0.0012,0.00030818299620606,0.00209181700379394,0.0177,0.0151155699828395,0.0202844300171605,0.0492,0.0456421057120257,0.0527578942879743,492,177,12
"SmoothFixed_6_asymp","Cauchy",1124921,10000,10,10,1.5,1,2,0,0.0037,0.00213598185986991,0.00526401814013009,0.0269,0.0237288926252175,0.0300711073747825,0.068,0.0638587798851063,0.0721412201148937,680,269,37
"SmoothFixed_6_asymp","Cauchy",261576,10000,10,10,2,1,1,0,0.0027,0.00136327937126114,0.00403672062873885,0.0224,0.0194995814304828,0.0253004185695172,0.0567,0.0528956334983634,0.0605043665016366,567,224,27
"SmoothFixed_6_asymp","Cauchy",827063,10000,10,10,2,0.5,0.5,0,6e-04,-3.07992327706179e-05,0.00123079923277062,0.0062,0.00466148614253885,0.00773851385746115,0.0301,0.0272893120630395,0.0329106879369604,301,62,6
"SmoothFixed_6_asymp","Cauchy",497649,10000,10,10,2,2,2,0,0.0041,0.00245394003130384,0.00574605996869616,0.0333,0.0297833912902343,0.0368166087097657,0.0775,0.0731015471487834,0.0818984528512166,775,333,41
"SmoothFixed_6_asymp","Cauchy",1193512,10000,10,10,2,0.5,2,0,0.0011,0.000246107482698203,0.0019538925173018,0.0157,0.0132634819102662,0.0181365180897338,0.0382,0.0350468838416734,0.0413531161583265,382,157,11
"SmoothFixed_6_asymp","Cauchy",250024645,10000,10,10,2,1,2,0,0.0023,0.00106601533457826,0.00353398466542174,0.0242,0.0211880749448899,0.0272119250551101,0.06,0.0560933414533645,0.0639066585466355,600,242,23
"SmoothFixed_6_asymp","Cauchy",37951233,10000,10,10,2.5,1,1,0,0.0014,0.000436823989135942,0.00236317601086406,0.0166,0.0140957642142961,0.0191042357857039,0.0479,0.0443870259511384,0.0514129740488616,479,166,14
"SmoothFixed_6_asymp","Cauchy",674853,10000,10,10,2.5,0.5,0.5,0,1e-04,-0.000157587119677984,0.000357587119677984,0.005,0.00361753987399274,0.00638246012600726,0.023,0.0205340906793842,0.0254659093206158,230,50,1
"SmoothFixed_6_asymp","Cauchy",160721,10000,10,10,2.5,2,2,0,0.0027,0.00136327937126114,0.00403672062873885,0.0281,0.0248609323220408,0.0313390676779592,0.0679,0.0637616040211243,0.0720383959788757,679,281,27
"SmoothFixed_6_asymp","Cauchy",104596451,10000,10,10,2.5,0.5,2,0,0.0011,0.000246107482698203,0.0019538925173018,0.0102,0.00823061837278805,0.012169381627212,0.0311,0.0282444775773994,0.0339555224226006,311,102,11
"SmoothFixed_6_asymp","Cauchy",696585,10000,10,10,2.5,1,2,0,0.0024,0.00113953816677219,0.0036604618332278,0.0216,0.018750680377634,0.024449319622366,0.055,0.0512497246851064,0.0587502753148936,550,216,24
"SmoothFixed_6_asymp","Cauchy",66710,10000,10,10,5,1,1,0,0,0,0,0.0037,0.0025099861977271,0.0048900138022729,0.0182,0.0160010613633164,0.0203989386366836,182,37,0
"SmoothFixed_6_asymp","Cauchy",5222714,10000,10,10,5,0.5,0.5,0,1e-04,-0.000157587119677984,0.000357587119677984,7e-04,0.000181614273344645,0.00121838572665535,0.0056,0.00437244637363576,0.00682755362636424,56,7,1
"SmoothFixed_6_asymp","Cauchy",64739,10000,10,10,5,2,2,0,0.0019,0.000778214849062442,0.00302178515093756,0.016,0.013540688096235,0.018459311903765,0.049,0.0454489711494413,0.0525510288505587,490,160,19
"SmoothFixed_6_asymp","Cauchy",268604,10000,10,10,5,0.5,2,0,3e-04,-0.000146109356566302,0.000746109356566302,0.0043,0.00301750833078729,0.00558249166921271,0.0155,0.0134679255674619,0.0175320744325381,155,43,3
"SmoothFixed_6_asymp","Cauchy",24937,10000,10,10,5,1,2,0,0.001,0.00018580467797954,0.00181419532202046,0.01,0.00804982462327103,0.011950175376729,0.0332,0.030252843047885,0.036147156952115,332,100,10
"SmoothFixed_6_asymp","Cauchy",218401147,10000,10,10,5,0.5,1,0,0,0,0,0.0019,0.00104646781993881,0.00275353218006119,0.0113,0.00956124900667893,0.0130387509933211,113,19,0
"SmoothFixed_6_asymp","Cauchy",6489506,10000,10,10,0.5,0.5,1,0,0.0047,0.00293813840191234,0.00646186159808766,0.034,0.0304479089200867,0.0375520910799134,0.0804,0.0759270565458973,0.0848729434541027,804,340,47
"SmoothFixed_6_asymp","Cauchy",1841602,10000,10,10,1,0.5,1,0,0.003,0.00159118468151429,0.00440881531848571,0.0255,0.0224102945188902,0.0285897054811098,0.0633,0.059294395950824,0.067305604049176,633,255,30
"SmoothFixed_6_asymp","Cauchy",93787,10000,10,10,1.5,0.5,1,0,0.0021,0.000920768647472431,0.00327923135252757,0.0169,0.0143736223436707,0.0194263776563293,0.0481,0.0445800693756872,0.0516199306243128,481,169,21
"SmoothFixed_6_asymp","Cauchy",125308,10000,10,10,2,0.5,1,0,0.0018,0.000708079815840004,0.00289192018416,0.0135,0.0112381098965688,0.0157618901034312,0.0403,0.0370649114485419,0.0435350885514581,403,135,18
"SmoothFixed_6_asymp","Cauchy",11391303,10000,10,10,2.5,0.5,1,0,7e-04,1.86930449672482e-05,0.00138130695503275,0.0107,0.00868343620938984,0.0127165637906102,0.03,0.0271938402130313,0.0328061597869687,300,107,7
"SmoothFixed_6_asymp","Cauchy",99089,10000,20,20,0,1,1,1,0.0083,0.00596291202152422,0.0106370879784758,0.0511,0.0467840466213825,0.0554159533786175,0.0983,0.0934025084421946,0.103197491557805,983,511,83
"SmoothFixed_6_asymp","Cauchy",30276,10000,20,20,0,0.5,0.5,1,0.009,0.00656721381654696,0.011432786183453,0.0493,0.0450567240295262,0.0535432759704738,0.097,0.0921314947286154,0.101868505271385,970,493,90
"SmoothFixed_6_asymp","Cauchy",97749368,10000,20,20,0,2,2,1,0.007,0.00485232034567536,0.00914767965432464,0.0459,0.0417983427897495,0.0500016572102505,0.096,0.0911539740652778,0.100846025934722,960,459,70
"SmoothFixed_6_asymp","Cauchy",11325545,10000,20,20,0.5,1,1,0,0.0095,0.00700118041435561,0.0119988195856444,0.0451,0.0410325400163739,0.0491674599836261,0.0961,0.0912517189297675,0.100948281070233,961,451,95
"SmoothFixed_6_asymp","Cauchy",1010283,10000,20,20,0.5,0.5,0.5,0,0.007,0.00485232034567536,0.00914767965432464,0.0432,0.0392151816551316,0.0471848183448684,0.0904,0.0856828971737305,0.0951171028262695,904,432,70
"SmoothFixed_6_asymp","Cauchy",160951479,10000,20,20,0.5,2,2,0,0.0087,0.00630774187608109,0.0110922581239189,0.047,0.0428518786710126,0.0511481213289874,0.1004,0.0954562388302427,0.105343761169757,1004,470,87
"SmoothFixed_6_asymp","Cauchy",77710460,10000,20,20,0.5,0.5,2,0,0.0042,0.0025340707064416,0.0058659292935584,0.0292,0.0259000118458394,0.0324999881541606,0.0655,0.061430170596404,0.0695698294035961,655,292,42
"SmoothFixed_6_asymp","Cauchy",59815801,10000,20,20,0.5,1,2,0,0.0072,0.00502207464379148,0.00937792535620852,0.0429,0.0389284194463161,0.0468715805536839,0.0861,0.0814855832339314,0.0907144167660686,861,429,72
"SmoothFixed_6_asymp","Cauchy",174373,10000,20,20,1,1,1,0,0.0079,0.00561946296632043,0.0101805370336796,0.0432,0.0392151816551316,0.0471848183448684,0.0922,0.0874408822305074,0.0969591177694926,922,432,79
"SmoothFixed_6_asymp","Cauchy",18270,10000,20,20,1,0.5,0.5,0,0.0051,0.00326506509471753,0.00693493490528247,0.0352,0.0315880140651437,0.0388119859348563,0.0762,0.0718355214148882,0.0805644785851119,762,352,51
"SmoothFixed_6_asymp","Cauchy",35030998,10000,20,20,1,2,2,0,0.0078,0.0055338285107221,0.0100661714892779,0.0511,0.0467840466213825,0.0554159533786175,0.1032,0.0981955823085598,0.10820441769144,1032,511,78
"SmoothFixed_6_asymp","Cauchy",305790637,10000,20,20,1,0.5,2,0,0.0024,0.00113953816677219,0.0036604618332278,0.0268,0.0236346297338858,0.0299653702661142,0.0627,0.058712148467185,0.066687851532815,627,268,24
"SmoothFixed_6_asymp","Cauchy",111319555,10000,20,20,1,1,2,0,0.0054,0.00351215225264748,0.00728784774735252,0.0398,0.0359684150546282,0.0436315849453718,0.0823,0.0777791907203715,0.0868208092796285,823,398,54
"SmoothFixed_6_asymp","Cauchy",10592008,10000,20,20,1.5,1,1,0,0.0059,0.00392718254677631,0.00787281745322369,0.0376,0.0338715544849898,0.0413284455150102,0.0827,0.0781692056129443,0.0872307943870557,827,376,59
"SmoothFixed_6_asymp","Cauchy",84028242,10000,20,20,1.5,0.5,0.5,0,0.0018,0.000708079815840004,0.00289192018416,0.0256,0.022504401043029,0.028695598956971,0.0674,0.0632757635510194,0.0715242364489806,674,256,18
"SmoothFixed_6_asymp","Cauchy",17360842,10000,20,20,1.5,2,2,0,0.0074,0.00519225528409102,0.00960774471590898,0.0454,0.0413196754082059,0.0494803245917941,0.0938,0.0890039980567247,0.0985960019432753,938,454,74
"SmoothFixed_6_asymp","Cauchy",54030928,10000,20,20,1.5,0.5,2,0,0.0033,0.00182264434886653,0.00477735565113347,0.026,0.0228809508115453,0.0291190491884547,0.0645,0.0604591972085519,0.0685408027914481,645,260,33
"SmoothFixed_6_asymp","Cauchy",113942,10000,20,20,1.5,1,2,0,0.0049,0.00310122326515379,0.00669877673484621,0.0349,0.0313028798632239,0.0384971201367761,0.0825,0.0779741942171173,0.0870258057828828,825,349,49
"SmoothFixed_6_asymp","Cauchy",44968503,10000,20,20,2,1,1,0,0.005,0.00318305240581903,0.00681694759418097,0.0329,0.0294038527813606,0.0363961472186394,0.0716,0.0673587880213788,0.0758412119786212,716,329,50
"SmoothFixed_6_asymp","Cauchy",1222833,10000,20,20,2,0.5,0.5,0,0.0012,0.00030818299620606,0.00209181700379394,0.0193,0.0166034851675542,0.0219965148324458,0.0549,0.0511529373358623,0.0586470626641377,549,193,12
