"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_6_asymp","Exp",751787,10000,10,10,0,1,1,0.0055,0.00359484814841441,0.00740515185158559,0.0367,0.0330147251476179,0.0403852748523821,0.0849,0.0803148449618388,0.0894851550381612,849,367,55
"SmoothFixed_6_asymp","Exp",384062,10000,10,10,0,0.5,1,0.0057,0.0037607133569851,0.0076392866430149,0.0396,0.0357776562616112,0.0434223437383888,0.0885,0.0838278597174983,0.0931721402825017,885,396,57
"SmoothFixed_6_asymp","Exp",47195940,10000,10,10,0,0.25,1,0.0045,0.00277585912594127,0.00622414087405873,0.0379,0.0341572933945606,0.0416427066054394,0.0829,0.0783642248817898,0.0874357751182102,829,379,45
"SmoothFixed_6_asymp","Exp",202424855,10000,10,10,0,0.125,1,0.0056,0.00367770325743812,0.00752229674256188,0.0383,0.0345383770075139,0.0420616229924861,0.0874,0.0827541856529668,0.0920458143470333,874,383,56
"SmoothFixed_6_asymp","Exp",598773,10000,10,10,0.5,1,0,0.0021,0.000920768647472431,0.00327923135252757,0.0261,0.0229751188236351,0.029224881176365,0.0695,0.0653167242471509,0.0736832757528491,695,261,21
"SmoothFixed_6_asymp","Exp",35377,10000,10,10,0.5,0.5,0,0.0033,0.00182264434886653,0.00477735565113347,0.0289,0.0256165003842851,0.0321834996157149,0.0703,0.0660945257293885,0.0745054742706115,703,289,33
"SmoothFixed_6_asymp","Exp",1299896,10000,10,10,0.5,0.25,0,0.0042,0.0025340707064416,0.0058659292935584,0.0309,0.0275082830026077,0.0342917169973923,0.0761,0.0717381501234023,0.0804618498765977,761,309,42
"SmoothFixed_6_asymp","Exp",31516254,10000,10,10,0.5,0.125,0,0.0055,0.00359484814841441,0.00740515185158559,0.0365,0.0328243989824792,0.0401756010175208,0.0821,0.0775841951489269,0.0866158048510731,821,365,55
"SmoothFixed_6_asymp","Exp",172822,10000,10,10,1,1,0,0.001,0.00018580467797954,0.00181419532202046,0.0145,0.0121570210500305,0.0168429789499695,0.0399,0.0366803357529123,0.0431196642470877,399,145,10
"SmoothFixed_6_asymp","Exp",262996406,10000,10,10,1,0.5,0,0.0029,0.00151479447287271,0.00428520552712729,0.0276,0.0243890533672451,0.0308109466327549,0.0715,0.0672615225470253,0.0757384774529747,715,276,29
"SmoothFixed_6_asymp","Exp",17550,10000,10,10,1,0.25,0,0.0035,0.00197868715433018,0.00502131284566982,0.03,0.0266564904665905,0.0333435095334095,0.0727,0.0684288656000103,0.0769711343999897,727,300,35
"SmoothFixed_6_asymp","Exp",54583,10000,10,10,1,0.125,0,0.0048,0.00301958329256997,0.00658041670743003,0.0367,0.0330147251476179,0.0403852748523821,0.0802,0.0757321376032939,0.0846678623967061,802,367,48
"SmoothFixed_6_asymp","Exp",1709154,10000,10,10,1.5,1,0,1e-04,-0.000157587119677984,0.000357587119677984,0.003,0.00192807530115218,0.00407192469884783,0.0097,0.00808773970439789,0.0113122602956021,97,30,1
"SmoothFixed_6_asymp","Exp",66000,10000,10,10,1.5,0.5,0,0.0026,0.00128820124431222,0.00391179875568778,0.0248,0.0217519031784407,0.0278480968215593,0.0601,0.0561902952395385,0.0640097047604615,601,248,26
"SmoothFixed_6_asymp","Exp",152953,10000,10,10,1.5,0.25,0,0.0026,0.00128820124431222,0.00391179875568778,0.0287,0.025427544767365,0.031972455232635,0.0703,0.0660945257293885,0.0745054742706115,703,287,26
"SmoothFixed_6_asymp","Exp",71718,10000,10,10,1.5,0.125,0,0.004,0.00237405622532635,0.00562594377467365,0.0321,0.0286451926689901,0.0355548073310099,0.0745,0.0701805122150451,0.0788194877849549,745,321,40
"SmoothFixed_6_asymp","Exp",255979005,10000,10,10,2,1,0,1e-04,-0.000157587119677984,0.000357587119677984,9e-04,0.000312264659561806,0.00148773534043819,0.0019,0.00118364263459151,0.00261635736540849,19,9,1
"SmoothFixed_6_asymp","Exp",181614,10000,10,10,2,0.5,0,0.0012,0.00030818299620606,0.00209181700379394,0.0145,0.0121570210500305,0.0168429789499695,0.0375,0.034374770570922,0.040625229429078,375,145,12
