"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_6_asymp","Logistic",33964,10000,10,10,0,1,1,0.0059,0.00392718254677631,0.00787281745322369,0.0382,0.0344430956411428,0.0419569043588572,0.0867,0.0820710533029884,0.0913289466970116,867,382,59
"SmoothFixed_6_asymp","Logistic",1436836,10000,10,10,0,3,1,0.0062,0.0041779532159082,0.0082220467840918,0.0397,0.0358730323667948,0.0435269676332052,0.0901,0.0853899541988453,0.0948100458011547,901,397,62
"SmoothFixed_6_asymp","Logistic",104926328,10000,10,10,0,5,1,0.006,0.00401063406925724,0.00798936593074276,0.0371,0.033395465706138,0.040804534293862,0.0835,0.0789493296681286,0.0880506703318715,835,371,60
"SmoothFixed_6_asymp","Logistic",6137495,10000,10,10,0,2,1,0.0038,0.00221506693533891,0.00538493306466109,0.0386,0.034824262593029,0.042375737406971,0.0887,0.0840230966263162,0.0933769033736838,887,386,38
"SmoothFixed_6_asymp","Logistic",2377565,10000,10,10,0.5,1,0,0.0067,0.00459852862937988,0.00880147137062012,0.0366,0.0329195583647611,0.0402804416352389,0.0819,0.0773892075291613,0.0864107924708387,819,366,67
"SmoothFixed_6_asymp","Logistic",234884,10000,10,10,1.5,1,0,0.0025,0.00121361100750978,0.00378638899249022,0.0219,0.0190314015578335,0.0247685984421665,0.0568,0.0529924819907977,0.0606075180092023,568,219,25
"SmoothFixed_6_asymp","Logistic",10491704,10000,10,10,2,1,0,0.001,0.00018580467797954,0.00181419532202046,0.0153,0.0128942319343711,0.0177057680656289,0.0377,0.0345667732889599,0.0408332267110401,377,153,10
"SmoothFixed_6_asymp","Logistic",628073,10000,10,10,2.5,1,0,4e-04,-0.000115096949693939,0.000915096949693939,0.0083,0.00652178088594234,0.0100782191140577,0.0253,0.0227167785043138,0.0278832214956862,253,83,4
"SmoothFixed_6_asymp","Logistic",2758106,10000,10,10,0.5,3,0,0.007,0.00485232034567536,0.00914767965432464,0.04,0.036159200083316,0.043840799916684,0.0867,0.0820710533029884,0.0913289466970116,867,400,70
"SmoothFixed_6_asymp","Logistic",17708765,10000,10,10,1.5,3,0,0.0085,0.00613516044552701,0.010864839554473,0.0403,0.0364454264067734,0.0441545735932266,0.0893,0.0846088502134578,0.0939911497865422,893,403,85
"SmoothFixed_6_asymp","Logistic",231710,10000,10,10,2,3,0,0.0043,0.0026144395204633,0.0059855604795367,0.0328,0.0293089896440142,0.0362910103559858,0.0772,0.0728093547858658,0.0815906452141343,772,328,43
"SmoothFixed_6_asymp","Logistic",220393500,10000,10,10,2.5,3,0,0.0053,0.00342961998908885,0.00717038001091115,0.034,0.0304479089200867,0.0375520910799134,0.0745,0.0701805122150451,0.0788194877849549,745,340,53
"SmoothFixed_6_asymp","Logistic",166455,10000,10,10,1,1,0,0.004,0.00237405622532635,0.00562594377467365,0.0285,0.0252386312627978,0.0317613687372022,0.0683,0.0641503229217474,0.0724496770782526,683,285,40
"SmoothFixed_6_asymp","Logistic",1338207,10000,10,10,1,3,0,0.0053,0.00342961998908885,0.00717038001091115,0.0368,0.0331098993019702,0.0404901006980298,0.0866,0.0819734703270053,0.0912265296729946,866,368,53
"SmoothFixed_6_asymp","Logistic",104095623,10000,10,10,5,1,0,0,0,0,0,0,0,0.0011,0.000554715376179559,0.00164528462382044,11,0,0
"SmoothFixed_6_asymp","Logistic",51863,10000,10,10,5,3,0,0.0018,0.000708079815840004,0.00289192018416,0.019,0.0163241154284985,0.0216758845715015,0.0473,0.0438079974251477,0.0507920025748523,473,190,18
"SmoothFixed_6_asymp","Logistic",8862085,10000,10,10,0.5,5,0,0.0056,0.00367770325743812,0.00752229674256188,0.0377,0.0339667937059948,0.0414332062940052,0.0851,0.080509949157256,0.089690050842744,851,377,56
"SmoothFixed_6_asymp","Logistic",1537731,10000,10,10,1,5,0,0.0049,0.00310122326515379,0.00669877673484621,0.0355,0.0318732187328156,0.0391267812671844,0.0815,0.0769992562509764,0.0860007437490236,815,355,49
"SmoothFixed_6_asymp","Logistic",45765980,10000,10,10,1.5,5,0,0.0044,0.00269503824744835,0.00610496175255165,0.035,0.0313979167139001,0.0386020832860999,0.08,0.0755372268711036,0.0844627731288964,800,350,44
"SmoothFixed_6_asymp","Logistic",39626223,10000,10,10,2,5,0,0.0052,0.00334725598592358,0.00705274401407642,0.0357,0.0320633939006816,0.0393366060993184,0.0833,0.078754286935059,0.087845713064941,833,357,52
"SmoothFixed_6_asymp","Logistic",129990,10000,10,10,2.5,5,0,0.0054,0.00351215225264748,0.00728784774735252,0.0377,0.0339667937059948,0.0414332062940052,0.0808,0.0763169189507215,0.0852830810492785,808,377,54
"SmoothFixed_6_asymp","Logistic",31713074,10000,10,10,5,5,0,0.0041,0.00245394003130384,0.00574605996869616,0.0279,0.0246721477706686,0.0311278522293314,0.0655,0.061430170596404,0.0695698294035961,655,279,41
"SmoothFixed_6_asymp","Logistic",80167650,10000,10,10,3,1,0,2e-04,-0.000164264981704253,0.000564264981704253,0.0037,0.0025099861977271,0.0048900138022729,0.014,0.0120672825064175,0.0159327174935825,140,37,2
"SmoothFixed_6_asymp","Logistic",36686681,10000,10,10,3,3,0,0.0032,0.00174512774259181,0.00465487225740819,0.0306,0.0272242654218082,0.0339757345781918,0.0701,0.0659000604934148,0.0742999395065852,701,306,32
"SmoothFixed_6_asymp","Logistic",1383765,10000,10,10,3,5,0,0.0048,0.00301958329256997,0.00658041670743003,0.032,0.0285504,0.0354496,0.0766,0.0722250285606532,0.0809749714393468,766,320,48
"SmoothFixed_6_asymp","Logistic",91876,10000,10,10,0.5,2,0,0.0054,0.00351215225264748,0.00728784774735252,0.0413,0.0373999294712018,0.0452000705287982,0.0903,0.0855852477678276,0.0950147522321724,903,413,54
"SmoothFixed_6_asymp","Logistic",11924590,10000,10,10,1,2,0,0.0048,0.00301958329256997,0.00658041670743003,0.0368,0.0331098993019702,0.0404901006980298,0.0804,0.0759270565458973,0.0848729434541027,804,368,48
"SmoothFixed_6_asymp","Logistic",631170,10000,10,10,1.5,2,0,0.0045,0.00277585912594127,0.00622414087405873,0.0356,0.0319683024654578,0.0392316975345422,0.0765,0.0721276484851541,0.0808723515148459,765,356,45
"SmoothFixed_6_asymp","Logistic",1781118,10000,10,10,2,2,0,0.0033,0.00182264434886653,0.00477735565113347,0.0312,0.0277923856894302,0.0346076143105698,0.0716,0.0673587880213788,0.0758412119786212,716,312,33
"SmoothFixed_6_asymp","Logistic",1376934,10000,10,10,2.5,2,0,0.0029,0.00151479447287271,0.00428520552712729,0.0244,0.0213759645335413,0.0274240354664587,0.0635,0.0594885013000906,0.0675114986999094,635,244,29
"SmoothFixed_6_asymp","Logistic",116477,10000,10,10,3,2,0,0.0026,0.00128820124431222,0.00391179875568778,0.0212,0.0183766092849908,0.0240233907150092,0.0569,0.0530893337997176,0.0607106662002824,569,212,26
"SmoothFixed_6_asymp","Logistic",1182101,10000,10,10,5,2,0,4e-04,-0.000115096949693939,0.000915096949693939,0.0084,0.00661119099107814,0.0101888090089219,0.0234,0.0209132496315271,0.0258867503684729,234,84,4
"SmoothFixed_6_asymp","Logistic",153454,10000,20,20,0,1,1,0.0076,0.00536284521817913,0.00983715478182087,0.0448,0.0407454539694807,0.0488545460305193,0.0936,0.0888085851440728,0.0983914148559272,936,448,76
"SmoothFixed_6_asymp","Logistic",387672,10000,20,20,0,3,1,0.0081,0.00579100861117587,0.0104089913888241,0.048,0.0438101819418977,0.0521898180581023,0.0994,0.09447818749005,0.10432181250995,994,480,81
"SmoothFixed_6_asymp","Logistic",94019,10000,20,20,0,5,1,0.0077,0.00544828864991625,0.00995171135008375,0.0455,0.0414153980903887,0.0495846019096113,0.0948,0.0899811618092739,0.0996188381907261,948,455,77
"SmoothFixed_6_asymp","Logistic",59074519,10000,20,20,0,2,1,0.0074,0.00519225528409102,0.00960774471590898,0.0462,0.0420856075139093,0.0503143924860907,0.0972,0.0923270179687998,0.1020729820312,972,462,74
"SmoothFixed_6_asymp","Logistic",917347,10000,20,20,0.5,1,0,0.0074,0.00519225528409102,0.00960774471590898,0.0473,0.0431393160810271,0.0514606839189729,0.0972,0.0923270179687998,0.1020729820312,972,473,74
"SmoothFixed_6_asymp","Logistic",33783847,10000,20,20,1.5,1,0,0.0032,0.00174512774259181,0.00465487225740819,0.026,0.0228809508115453,0.0291190491884547,0.0616,0.0576449656666977,0.0655550343333023,616,260,32
"SmoothFixed_6_asymp","Logistic",54568,10000,20,20,2,1,0,0.0018,0.000708079815840004,0.00289192018416,0.017,0.0144662877511446,0.0195337122488554,0.0433,0.0399519052688469,0.0466480947311531,433,170,18
"SmoothFixed_6_asymp","Logistic",12149854,10000,20,20,2.5,1,0,8e-04,7.16886721078684e-05,0.00152831132789213,0.0108,0.0087741373250884,0.0128258626749116,0.0302,0.0273847921576019,0.0330152078423981,302,108,8
"SmoothFixed_6_asymp","Logistic",233903,10000,20,20,0.5,3,0,0.0099,0.00734963120325236,0.0124503687967476,0.0485,0.0442895226351398,0.0527104773648602,0.103,0.0979998764437766,0.108000123556223,1030,485,99
"SmoothFixed_6_asymp","Logistic",100148,10000,20,20,1.5,3,0,0.0072,0.00502207464379148,0.00937792535620852,0.0452,0.041128246354014,0.049271753645986,0.0934,0.0886131788883331,0.0981868211116669,934,452,72
"SmoothFixed_6_asymp","Logistic",476646,10000,20,20,2,3,0,0.0074,0.00519225528409102,0.00960774471590898,0.0404,0.0365408480964854,0.0442591519035146,0.0875,0.0828517833140682,0.0921482166859318,875,404,74
"SmoothFixed_6_asymp","Logistic",783271,10000,20,20,2.5,3,0,0.0079,0.00561946296632043,0.0101805370336796,0.0401,0.0362546023770746,0.0439453976229254,0.0831,0.0785592519977459,0.0876407480022541,831,401,79
