"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"SmoothFixed_6_asymp","ghEqual",44078640,10000,10,10,0,3,1,1,0,1,0.005,0.00318305240581903,0.00681694759418097,0.0367,0.0330147251476179,0.0403852748523821,0.0846,0.0800222029194054,0.0891777970805945,846,367,50
"SmoothFixed_6_asymp","ghEqual",22704251,10000,10,10,0,3,3,3,0,1,0.0059,0.00392718254677631,0.00787281745322369,0.0386,0.034824262593029,0.042375737406971,0.0863,0.0816807325021412,0.0909192674978588,863,386,59
"SmoothFixed_6_asymp","ghEqual",104005042,10000,10,10,0,3,-3,-3,0,1,0.0055,0.00359484814841441,0.00740515185158559,0.0384,0.0346336653055789,0.0421663346944211,0.0837,0.0791443801715052,0.0882556198284948,837,384,55
"SmoothFixed_6_asymp","ghEqual",16908,10000,10,10,0,3,-1,-1,0,1,0.0053,0.00342961998908885,0.00717038001091115,0.0406,0.0367317107111282,0.0444682892888718,0.0898,0.0850970269917955,0.0945029730082045,898,406,53
"SmoothFixed_6_asymp","ghEqual",12983515,10000,10,10,0.5,3,1,1,0,0,0.0047,0.00293813840191234,0.00646186159808766,0.036,0.0323487141114396,0.0396512858885604,0.0822,0.0776816919423417,0.0867183080576583,822,360,47
"SmoothFixed_6_asymp","ghEqual",134980292,10000,10,10,0.5,3,3,3,0,0,0.0073,0.00510711276402639,0.00949288723597361,0.0564,0.0518784265563413,0.0609215734436587,0.1139,0.108674003282533,0.119125996717467,1139,564,73
"SmoothFixed_6_asymp","ghEqual",1228300,10000,10,10,0.5,3,1,3,0,0,0.0082,0.00587691641085044,0.0105230835891496,0.0597,0.0550561684800587,0.0643438315199413,0.1229,0.117499096728974,0.128300903271026,1229,597,82
"SmoothFixed_6_asymp","ghEqual",1014639,10000,10,10,0.5,3,-1,1,0,0,0.0037,0.00213598185986991,0.00526401814013009,0.0436,0.0395976128115336,0.0476023871884664,0.1074,0.102306732521544,0.112493267478456,1074,436,37
"SmoothFixed_6_asymp","ghEqual",557370,10000,10,10,0.5,3,-3,3,0,0,0.0305,0.0260703472215534,0.0349296527784466,0.2235,0.215334823722662,0.231665176277338,0.3837,0.375700591304867,0.391699408695133,3837,2235,305
"SmoothFixed_6_asymp","ghEqual",3207459,10000,10,10,0.5,3,-1,3,0,0,0.0105,0.00787428002833509,0.0131257199716649,0.1117,0.10552605880028,0.11787394119972,0.2353,0.228322137441825,0.242277862558175,2353,1117,105
"SmoothFixed_6_asymp","ghEqual",2627632,10000,10,10,0.5,3,1,-3,0,0,0.0082,0.00587691641085044,0.0105230835891496,0.0746,0.0694502015442932,0.0797497984557068,0.1568,0.150818580938406,0.162781419061594,1568,746,82
"SmoothFixed_6_asymp","ghEqual",23193959,10000,10,10,1,3,1,1,0,0,0.0028,0.00143881858974786,0.00416118141025214,0.0285,0.0252386312627978,0.0317613687372022,0.0738,0.0694992274856835,0.0781007725143165,738,285,28
"SmoothFixed_6_asymp","ghEqual",3357409,10000,10,10,1,3,3,3,0,0,0.0062,0.0041779532159082,0.0082220467840918,0.0539,0.0494739228964692,0.0583260771035308,0.1113,0.106126421125877,0.116473578874123,1113,539,62
"SmoothFixed_6_asymp","ghEqual",192705,10000,10,10,1,3,1,3,0,0,0.0087,0.00630774187608109,0.0110922581239189,0.0587,0.0540927778727741,0.0633072221272259,0.122,0.116616148461371,0.127383851538629,1220,587,87
"SmoothFixed_6_asymp","ghEqual",254121341,10000,10,10,1,3,-1,1,0,0,0.0045,0.00277585912594127,0.00622414087405873,0.0597,0.0550561684800587,0.0643438315199413,0.1399,0.134193770516885,0.145606229483115,1399,597,45
"SmoothFixed_6_asymp","ghEqual",3330279,10000,10,10,1,3,-3,3,0,0,0.0247,0.0207018098266821,0.0286981901733179,0.1947,0.186938996189564,0.202461003810436,0.3395,0.331710273628081,0.347289726371919,3395,1947,247
"SmoothFixed_6_asymp","ghEqual",337139,10000,10,10,1,3,-1,3,0,0,0.0143,0.0112416565437191,0.0173583434562809,0.128,0.121451839757611,0.134548160242389,0.2505,0.243372198675301,0.257627801324699,2505,1280,143
"SmoothFixed_6_asymp","ghEqual",53512,10000,10,10,1,3,1,-3,0,0,0.0067,0.00459852862937988,0.00880147137062012,0.0521,0.0477443177050662,0.0564556822949338,0.1209,0.115537118598927,0.126262881401073,1209,521,67
"SmoothFixed_6_asymp","ghEqual",587607,10000,10,10,1.5,3,1,1,0,0,0.0029,0.00151479447287271,0.00428520552712729,0.0309,0.0275082830026077,0.0342917169973923,0.0741,0.069791192933424,0.078408807066576,741,309,29
"SmoothFixed_6_asymp","ghEqual",59397,10000,10,10,1.5,3,3,3,0,0,0.0062,0.0041779532159082,0.0082220467840918,0.0458,0.0417025985530339,0.0498974014469661,0.0968,0.0919359778340966,0.101664022165903,968,458,62
