"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","Cauchy",14188600,10000,10,10,0,1,1,1,0.0014,0.000436823989135942,0.00236317601086406,0.0201,0.0173492889067734,0.0228507110932266,0.0635,0.0594885013000906,0.0675114986999094,635,201,14
"TTest_VarEqual","Cauchy",276403893,10000,10,10,0,0.5,0.5,1,0.0017,0.000638791170063121,0.00276120882993688,0.0202,0.0174425955404402,0.0229574044595597,0.06,0.0560933414533645,0.0639066585466355,600,202,17
"TTest_VarEqual","Cauchy",45415,10000,10,10,0,2,2,1,0.0017,0.000638791170063121,0.00276120882993688,0.0195,0.0167898259908264,0.0222101740091736,0.0575,0.053670513841992,0.061329486158008,575,195,17
"TTest_VarEqual","Cauchy",6153332,10000,10,10,0.5,1,1,0,0.0041,0.00245394003130384,0.00574605996869616,0.0312,0.0277923856894302,0.0346076143105698,0.0774,0.073004147538065,0.081795852461935,774,312,41
"TTest_VarEqual","Cauchy",521597,10000,10,10,0.5,0.5,0.5,0,0.0154,0.012227978408588,0.018572021591412,0.0703,0.0652892221456544,0.0753107778543456,0.1344,0.12878920811065,0.14001079188935,1344,703,154
"TTest_VarEqual","Cauchy",1548228,10000,10,10,0.5,2,2,0,0.0029,0.00151479447287271,0.00428520552712729,0.0221,0.0192186273385069,0.0249813726614931,0.0674,0.0632757635510194,0.0715242364489806,674,221,29
"TTest_VarEqual","Cauchy",262832109,10000,10,10,0.5,0.5,2,0,0.0053,0.00342961998908885,0.00717038001091115,0.028,0.0247665345896392,0.0312334654103608,0.0754,0.0710566130737522,0.0797433869262478,754,280,53
"TTest_VarEqual","Cauchy",71119,10000,10,10,0.5,1,2,0,0.0029,0.00151479447287271,0.00428520552712729,0.0278,0.0245777719221632,0.0310222280778368,0.0702,0.0659972918783361,0.0744027081216639,702,278,29
"TTest_VarEqual","Cauchy",85114590,10000,10,10,1,1,1,0,0.0154,0.012227978408588,0.018572021591412,0.0686,0.0636456549972373,0.0735543450027627,0.134,0.128396269411365,0.139603730588635,1340,686,154
"TTest_VarEqual","Cauchy",127456035,10000,10,10,1,0.5,0.5,0,0.086,0.0787778220964587,0.0932221779035413,0.1994,0.191568833796784,0.207231166203216,0.2854,0.277971102048682,0.292828897951318,2854,1994,860
