"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","Exp",69642044,10000,10,10,0,1,1,0.0059,0.00392718254677631,0.00787281745322369,0.044,0.0399801360421029,0.0480198639578971,0.0987,0.093793642789016,0.103606357210984,987,440,59
"TTest_VarEqual","Exp",103558932,10000,10,10,0,0.5,1,0.0055,0.00359484814841441,0.00740515185158559,0.0442,0.0401714318104816,0.0482285681895185,0.0951,0.0902743429427719,0.0999256570572281,951,442,55
"TTest_VarEqual","Exp",237351,10000,10,10,0,0.25,1,0.0065,0.00442992313031617,0.00857007686968383,0.0422,0.0382595146865392,0.0461404853134608,0.091,0.0862688301449324,0.0957311698550676,910,422,65
"TTest_VarEqual","Exp",21698265,10000,10,10,0,0.125,1,0.0073,0.00510711276402639,0.00949288723597361,0.0451,0.0410325400163739,0.0491674599836261,0.0965,0.0916427144288837,0.101357285571116,965,451,73
"TTest_VarEqual","Exp",118323143,10000,10,10,0.5,1,0,0.0781,0.0711878479476169,0.0850121520523831,0.2146,0.206553326522444,0.222646673477556,0.3228,0.315108852504574,0.330491147495426,3228,2146,781
"TTest_VarEqual","Exp",280223875,10000,10,10,0.5,0.5,0,0.0204,0.0167584579384574,0.0240415420615426,0.0891,0.0835161945995227,0.0946838054004773,0.1586,0.152590771094466,0.164609228905534,1586,891,204
"TTest_VarEqual","Exp",500139,10000,10,10,0.5,0.25,0,0.0107,0.00804965901805522,0.0133503409819448,0.0551,0.0506277631549302,0.0595722368450698,0.1112,0.106028454870892,0.116371545129108,1112,551,107
"TTest_VarEqual","Exp",218328336,10000,10,10,0.5,0.125,0,0.0069,0.00476760873419909,0.00903239126580091,0.0453,0.0412239581570352,0.0493760418429648,0.0967,0.0918382217719465,0.101561778228053,967,453,69
"TTest_VarEqual","Exp",24519,10000,10,10,1,1,0,0.3783,0.365807353156359,0.390792646843641,0.6179,0.608376344268381,0.627423655731619,0.7276,0.720276548679782,0.734923451320218,7276,6179,3783
"TTest_VarEqual","Exp",52328432,10000,10,10,1,0.5,0,0.0801,0.0731075007870845,0.0870924992129155,0.2263,0.218098663208379,0.234501336791621,0.3384,0.330616430139223,0.346183569860777,3384,2263,801
