"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","GLDLS",176776,10000,10,10,0,2,-0.002,-0.002,1,0.0094,0.00691424141894994,0.0118857585810501,0.0478,0.0436184806749699,0.0519815193250301,0.0984,0.0935002896965637,0.103299710303436,984,478,94
"TTest_VarEqual","GLDLS",26892702,10000,10,10,0,2,-0.02,-0.02,1,0.0092,0.00674057959837363,0.0116594204016264,0.0488,0.0445771864817873,0.0530228135182127,0.0963,0.0914472134755612,0.101152786524439,963,488,92
"TTest_VarEqual","GLDLS",76129,10000,10,10,0,2,-0.05,-0.05,1,0.0082,0.00587691641085044,0.0105230835891496,0.047,0.0428518786710126,0.0511481213289874,0.0985,0.0935980725072299,0.10340192749277,985,470,82
"TTest_VarEqual","GLDLS",197514081,10000,10,10,0,2,-0.1,-0.1,1,0.0082,0.00587691641085044,0.0105230835891496,0.0448,0.0407454539694807,0.0488545460305193,0.0991,0.0941848019356312,0.104015198064369,991,448,82
"TTest_VarEqual","GLDLS",113871425,10000,10,10,0,2,-0.2,-0.2,1,0.0067,0.00459852862937988,0.00880147137062012,0.0446,0.0405540909186686,0.0486459090813314,0.0991,0.0941848019356312,0.104015198064369,991,446,67
"TTest_VarEqual","GLDLS",238039993,10000,10,10,0.5,2,-0.002,-0.002,0,0.0753,0.0685025851556628,0.0820974148443372,0.2185,0.210400722424809,0.226599277575191,0.3257,0.317990941143384,0.333409058856616,3257,2185,753
"TTest_VarEqual","GLDLS",25367071,10000,10,10,0.5,2,-0.002,-0.02,0,0.0749,0.0681191972991228,0.0816808027008772,0.2179,0.209808746098756,0.225991253901244,0.3291,0.321370369401001,0.336829630598999,3291,2179,749
"TTest_VarEqual","GLDLS",4529824,10000,10,10,0.5,2,-0.002,-0.05,0,0.0698,0.0632361033014149,0.0763638966985851,0.2073,0.199354702717104,0.215245297282896,0.3175,0.309842463158144,0.325157536841856,3175,2073,698
"TTest_VarEqual","GLDLS",30223,10000,10,10,0.5,2,-0.002,-0.1,0,0.0635,0.0572181637380142,0.0697818362619858,0.2003,0.192455593443376,0.208144406556624,0.2984,0.29087320475517,0.30592679524483,2984,2003,635
"TTest_VarEqual","GLDLS",285774769,10000,10,10,0.5,2,-0.002,-0.2,0,0.0527,0.04694434260164,0.05845565739836,0.1731,0.165684659442588,0.180515340557412,0.2756,0.268249874919731,0.282950125080269,2756,1731,527
"TTest_VarEqual","GLDLS",5046048,10000,10,10,1,2,-0.002,-0.002,0,0.3981,0.385490318441893,0.410709681558107,0.6514,0.64206006960163,0.66073993039837,0.764,0.757014965056637,0.770985034943363,7640,6514,3981
"TTest_VarEqual","GLDLS",70737181,10000,10,10,1,2,-0.002,-0.02,0,0.3672,0.354782606891186,0.379617393108814,0.6341,0.624659040106515,0.643540959893485,0.7554,0.748328970992062,0.762471029007938,7554,6341,3672
"TTest_VarEqual","GLDLS",37053102,10000,10,10,1,2,-0.002,-0.05,0,0.3515,0.339201178069815,0.363798821930185,0.6197,0.610184973938785,0.629215026061215,0.7394,0.732179075052107,0.746620924947893,7394,6197,3515
"TTest_VarEqual","GLDLS",379244,10000,10,10,1,2,-0.002,-0.1,0,0.3206,0.308577621714749,0.332622378285251,0.577,0.56731690569291,0.58668309430709,0.6999,0.69236094525859,0.70743905474141,6999,5770,3206
