"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","Logistic",839075,10000,10,10,0,1,1,0.0096,0.00708818996570521,0.0121118100342948,0.0497,0.0454404410761676,0.0539595589238324,0.0977,0.0928158537170991,0.102584146282901,977,497,96
"TTest_VarEqual","Logistic",275832,10000,10,10,0,3,1,0.0092,0.00674057959837363,0.0116594204016264,0.0511,0.0467840466213825,0.0554159533786175,0.1025,0.0975106374420799,0.10748936255792,1025,511,92
"TTest_VarEqual","Logistic",184019,10000,10,10,0,5,1,0.0068,0.00468301066328241,0.00891698933671759,0.0468,0.0426602795503078,0.0509397204496922,0.0974,0.0925225475371768,0.102277452462823,974,468,68
"TTest_VarEqual","Logistic",37976,10000,10,10,0,2,1,0.0081,0.00579100861117587,0.0104089913888241,0.0464,0.0422771438435958,0.0505228561564042,0.0984,0.0935002896965637,0.103299710303436,984,464,81
"TTest_VarEqual","Logistic",556009,10000,10,10,0.5,1,0,0.0235,0.0195977425930111,0.0274022574069889,0.0922,0.086529561806562,0.097870438193438,0.164,0.157908966823272,0.170091033176728,1640,922,235
"TTest_VarEqual","Logistic",1610128,10000,10,10,1.5,1,0,0.2008,0.190480576151822,0.211119423848178,0.4269,0.417205300480036,0.436594699519964,0.5617,0.553537863573256,0.569862136426744,5617,4269,2008
"TTest_VarEqual","Logistic",1547022,10000,10,10,2,1,0,0.3862,0.373658039303767,0.398741960696233,0.6468,0.637431902017933,0.656168097982067,0.7604,0.753378492513455,0.767421507486544,7604,6468,3862
"TTest_VarEqual","Logistic",1623358,10000,10,10,2.5,1,0,0.603,0.590396250349932,0.615603749650068,0.8255,0.818061038247175,0.832938961752825,0.9033,0.898438221771947,0.908161778228053,9033,8255,6030
"TTest_VarEqual","Logistic",405922,10000,10,10,0.5,3,0,0.0086,0.00622141025800917,0.0109785897419908,0.0505,0.0462081034541825,0.0547918965458175,0.103,0.0979998764437766,0.108000123556223,1030,505,86
"TTest_VarEqual","Logistic",67964101,10000,10,10,1.5,3,0,0.0213,0.0175807064704899,0.0250192935295101,0.0868,0.0812817815953335,0.0923182184046665,0.1558,0.149834150367978,0.161765849632022,1558,868,213
"TTest_VarEqual","Logistic",115073,10000,10,10,2,3,0,0.0386,0.0336376022651238,0.0435623977348762,0.1269,0.120375926028746,0.133424073971254,0.2092,0.202509168810648,0.215890831189352,2092,1269,386
