"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","Normal",66112538,10000,10,10,0,1,1,0.0092,0.00674057959837363,0.0116594204016264,0.0524,0.0480324866527508,0.0567675133472492,0.0996,0.0946737855402348,0.104526214459765,996,524,92
"TTest_VarEqual","Normal",8558548,10000,10,10,0,3,1,0.0105,0.00787428002833509,0.0131257199716649,0.0513,0.046976064527586,0.055623935472414,0.0996,0.0946737855402348,0.104526214459765,996,513,105
"TTest_VarEqual","Normal",163632,10000,10,10,0,5,1,0.01,0.00743691236201335,0.0125630876379867,0.0518,0.0474561889403889,0.0561438110596111,0.1029,0.0979020257070514,0.107897974292949,1029,518,100
"TTest_VarEqual","Normal",985413,10000,10,10,0.5,1,0,0.0608,0.0546443107144093,0.0669556892855907,0.185,0.177389367700381,0.192610632299619,0.2882,0.280749389118475,0.295650610881525,2882,1850,608
"TTest_VarEqual","Normal",2144726,10000,10,10,1.5,1,0,0.6829,0.670912667934107,0.694887332065893,0.8904,0.884277145713444,0.896522854286556,0.9441,0.940320965949879,0.947879034050121,9441,8904,6829
"TTest_VarEqual","Normal",316367,10000,10,10,2,1,0,0.93,0.923427412856416,0.936572587143584,0.9887,0.986628296688809,0.990771703311191,0.9969,0.995985523504963,0.997814476495037,9969,9887,9300
"TTest_VarEqual","Normal",29145,10000,10,10,2.5,1,0,0.9919,0.989591008611176,0.994208991388824,0.9995,0.99906184025744,0.99993815974256,0.9999,0.999735508225206,1.00006449177479,9999,9995,9919
"TTest_VarEqual","Normal",333574647,10000,10,10,0.5,3,0,0.0116,0.00884170176410454,0.0143582982358955,0.0635,0.058720341974576,0.068279658025424,0.1165,0.111222452608515,0.121777547391485,1165,635,116
"TTest_VarEqual","Normal",42744404,10000,10,10,1.5,3,0,0.0639,0.0575997554057081,0.0702002445942919,0.1859,0.178275091374292,0.193524908625708,0.2907,0.283230295903466,0.298169704096534,2907,1859,639
"TTest_VarEqual","Normal",100016,10000,10,10,2,3,0,0.1127,0.104554025289451,0.120845974710549,0.2926,0.283682856410352,0.301517143589648,0.4192,0.41108310658599,0.42731689341401,4192,2926,1127
"TTest_VarEqual","Normal",2492039,10000,10,10,2.5,3,0,0.185,0.17499745469193,0.19500254530807,0.4179,0.408233014736,0.427566985264,0.5584,0.5502312963735,0.5665687036265,5584,4179,1850
"TTest_VarEqual","Normal",15611358,10000,10,10,0.5,5,0,0.0109,0.00822527455888572,0.0135747254411143,0.0529,0.0485128566453329,0.0572871433546671,0.1087,0.103579732770961,0.113820267229039,1087,529,109
