"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","Normal2Var",133084,10000,10,10,0.5,1,3,0,0.0239,0.0199654781130226,0.0278345218869774,0.0865,0.0809904211739916,0.0920095788260084,0.1465,0.140683168582091,0.152316831417909,1465,865,239
"TTest_VarEqual","Normal2Var",120591410,10000,10,10,1.5,1,3,0,0.1386,0.129699182273122,0.147500817726878,0.3126,0.303514364240275,0.321685635759725,0.437,0.428840551263872,0.445159448736128,4370,3126,1386
"TTest_VarEqual","Normal2Var",66691,10000,10,10,2,1,3,0,0.251,0.239830759863697,0.262169240136303,0.4829,0.473105732912852,0.492694267087148,0.6186,0.610609734606467,0.626590265393534,6186,4829,2510
"TTest_VarEqual","Normal2Var",2092471,10000,10,10,2.5,1,3,0,0.3912,0.378628630147249,0.403771369852751,0.6584,0.64910477485639,0.66769522514361,0.7755,0.768636194379255,0.782363805620745,7755,6584,3912
"TTest_VarEqual","Normal2Var",206023,10000,10,10,0.5,3,5,0,0.0144,0.011331137346041,0.017468862653959,0.0613,0.0565983562651345,0.0660016437348655,0.1139,0.108674003282533,0.119125996717467,1139,613,144
"TTest_VarEqual","Normal2Var",209503192,10000,10,10,1.5,3,5,0,0.0354,0.0306398447362734,0.0401601552637266,0.1247,0.118224582683286,0.131175417316714,0.2039,0.197272368900884,0.210527631099116,2039,1247,354
"TTest_VarEqual","Normal2Var",49423,10000,10,10,2,3,5,0,0.0629,0.0566459096594641,0.0691540903405359,0.1842,0.176602114669357,0.191797885330643,0.2848,0.277375800258721,0.292224199741279,2848,1842,629
"TTest_VarEqual","Normal2Var",129838,10000,10,10,2.5,3,5,0,0.0937,0.0861932553326321,0.101206744667368,0.252,0.243490439296885,0.260509560703115,0.3716,0.363650828933304,0.379549171066696,3716,2520,937
"TTest_VarEqual","Normal2Var",993151,10000,10,10,0.5,1,5,0,0.019,0.015483123134598,0.022516876865402,0.0736,0.0684820710588755,0.0787179289411245,0.1306,0.125056968984112,0.136143031015888,1306,736,190
"TTest_VarEqual","Normal2Var",167573876,10000,10,10,1.5,1,5,0,0.0555,0.0496021553176097,0.0613978446823903,0.157,0.149869504914804,0.164130495085196,0.2401,0.233073481329707,0.247126518670293,2401,1570,555
"TTest_VarEqual","Normal2Var",28196353,10000,10,10,2,1,5,0,0.0932,0.0857112458961603,0.10068875410384,0.2259,0.217703796730778,0.234096203269222,0.3334,0.325645007990004,0.341154992009996,3334,2259,932
"TTest_VarEqual","Normal2Var",248858753,10000,10,10,2.5,1,5,0,0.1449,0.135832480365909,0.153967519634091,0.3248,0.315621318535127,0.333978681464873,0.447,0.438821338582781,0.455178661417219,4470,3248,1449
"TTest_VarEqual","Normal2Var",22209,10000,10,10,1,1,3,0,0.06,0.0538823389567581,0.0661176610432419,0.1729,0.165488048337017,0.180311951662983,0.2656,0.258334821789825,0.272865178210175,2656,1729,600
"TTest_VarEqual","Normal2Var",6404194,10000,10,10,1,3,5,0,0.02,0.0163936,0.0236064,0.0812,0.0758464165188539,0.0865535834811461,0.1449,0.139109600233665,0.150690399766335,1449,812,200
"TTest_VarEqual","Normal2Var",204972659,10000,10,10,1,1,5,0,0.0371,0.0322311834994956,0.0419688165005044,0.1066,0.100551361244842,0.112648638755158,0.1802,0.173877377498545,0.186522622501455,1802,1066,371
"TTest_VarEqual","Normal2Var",38629,10000,10,10,5,1,3,0,0.9681,0.963573095733455,0.972626904266545,0.9957,0.994417508330787,0.996982491669213,0.9989,0.99835471537618,0.99944528462382,9989,9957,9681
"TTest_VarEqual","Normal2Var",156469,10000,10,10,5,3,5,0,0.4481,0.435289575309895,0.460910424690105,0.7257,0.716955247209806,0.734444752790194,0.8281,0.821893521819101,0.834306478180899,8281,7257,4481
"TTest_VarEqual","Normal2Var",41445139,10000,10,10,5,1,5,0,0.6017,0.589089247053537,0.614310752946463,0.8294,0.822027282382839,0.836772717617161,0.9054,0.900585715896304,0.910214284103696,9054,8294,6017
"TTest_VarEqual","Normal2Var",37822,10000,20,20,0.5,1,3,0,0.0333,0.0286781714100222,0.0379218285899778,0.1143,0.108063764475134,0.120536235524866,0.1943,0.187791378980554,0.200808621019446,1943,1143,333
"TTest_VarEqual","Normal2Var",5738601,10000,20,20,1.5,1,3,0,0.3039,0.29205194598085,0.31574805401915,0.5512,0.541451515625001,0.560948484374999,0.6751,0.667395848544844,0.682804151455156,6751,5512,3039
"TTest_VarEqual","Normal2Var",204446,10000,20,20,2,1,3,0,0.5525,0.539691197782775,0.565308802217225,0.7806,0.772488733764547,0.788711266235453,0.865,0.859378647232427,0.870621352767573,8650,7806,5525
"TTest_VarEqual","Normal2Var",234568,10000,20,20,2.5,1,3,0,0.7911,0.78062797257441,0.80157202742559,0.9306,0.925618990951383,0.935581009048617,0.9665,0.963540016875998,0.969459983124002,9665,9306,7911
"TTest_VarEqual","Normal2Var",67656,10000,20,20,0.5,3,5,0,0.0156,0.0124077715753311,0.0187922284246689,0.0661,0.0612302463833989,0.0709697536166012,0.1237,0.118284018677859,0.129115981322141,1237,661,156
"TTest_VarEqual","Normal2Var",239142579,10000,20,20,1.5,3,5,0,0.0714,0.0647670105850903,0.0780329894149097,0.2056,0.197678868114821,0.213521131885179,0.304,0.296433286092365,0.311566713907635,3040,2056,714
"TTest_VarEqual","Normal2Var",17449,10000,20,20,2,3,5,0,0.1334,0.124641431803968,0.142158568196032,0.3224,0.313239054771564,0.331560945228436,0.4481,0.439919429885395,0.456280570114605,4481,3224,1334
"TTest_VarEqual","Normal2Var",389217,10000,20,20,2.5,3,5,0,0.2316,0.22073302133766,0.24246697866234,0.4665,0.456722020840685,0.476277979159315,0.5935,0.585420089710005,0.601579910289995,5935,4665,2316
"TTest_VarEqual","Normal2Var",2560963,10000,20,20,0.5,1,5,0,0.0201,0.016484779706045,0.023715220293955,0.0734,0.0682884778245223,0.0785115221754777,0.1317,0.126137196870842,0.137262803129158,1317,734,201
