"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","ghEqual",26691345,10000,10,10,0,3,1,1,0,1,0.007,0.00485232034567536,0.00914767965432464,0.043,0.0390240009859156,0.0469759990140844,0.0977,0.0928158537170991,0.102584146282901,977,430,70
"TTest_VarEqual","ghEqual",155166125,10000,10,10,0,3,3,3,0,1,0.0078,0.0055338285107221,0.0100661714892779,0.0441,0.0400757810956162,0.0481242189043838,0.1016,0.0966301002567859,0.106569899743214,1016,441,78
"TTest_VarEqual","ghEqual",5270246,10000,10,10,0,3,-3,-3,0,1,0.0066,0.00451416522232848,0.00868583477767152,0.0461,0.0419898472867301,0.0502101527132699,0.1006,0.0956518673438256,0.105548132656174,1006,461,66
"TTest_VarEqual","ghEqual",15655893,10000,10,10,0,3,-1,-1,0,1,0.0075,0.00527750011023622,0.00972249988976378,0.0459,0.0417983427897495,0.0500016572102505,0.0962,0.0913494654006079,0.101050534599392,962,459,75
"TTest_VarEqual","ghEqual",97744278,10000,10,10,0.5,3,1,1,0,0,0.0115,0.00875347778774684,0.0142465222122532,0.0631,0.0583344023772039,0.0678655976227961,0.1231,0.11769532026851,0.12850467973149,1231,631,115
"TTest_VarEqual","ghEqual",183928210,10000,10,10,0.5,3,3,3,0,0,0.0114,0.00866530694682127,0.0141346930531787,0.0584,0.0538038338508709,0.0629961661491291,0.1133,0.10808602179485,0.11851397820515,1133,584,114
"TTest_VarEqual","ghEqual",120475276,10000,10,10,0.5,3,1,3,0,0,0.0299,0.0255127770480834,0.0342872229519166,0.1133,0.107087600436418,0.119512399563582,0.1954,0.188877438298406,0.201922561701594,1954,1133,299
"TTest_VarEqual","ghEqual",2830249,10000,10,10,0.5,3,-1,1,0,0,0.0734,0.0666819994265151,0.0801180005734849,0.3087,0.299645641948233,0.317754358051767,0.494,0.485775592221321,0.502224407778679,4940,3087,734
"TTest_VarEqual","ghEqual",43014300,10000,10,10,0.5,3,-3,3,0,0,0.3105,0.298580890868458,0.322419109131542,0.7355,0.726855094543027,0.744144905456973,0.8836,0.878324419600499,0.888875580399501,8836,7355,3105
"TTest_VarEqual","ghEqual",188828,10000,10,10,0.5,3,-1,3,0,0,0.1535,0.144214323918292,0.162785676081708,0.5027,0.492900142885042,0.512499857114958,0.6925,0.684909011190275,0.700090988809725,6925,5027,1535
