"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarEqual","ghEqualK",132985185,10000,10,10,0,3,1,1,0.2,1,0.0039,0.00229442856754861,0.00550557143245139,0.0366,0.0329195583647611,0.0402804416352389,0.0912,0.0864641549917253,0.0959358450082747,912,366,39
"TTest_VarEqual","ghEqualK",1295555,10000,10,10,0,3,3,3,0.2,1,0.005,0.00318305240581903,0.00681694759418097,0.0409,0.0370180523818063,0.0447819476181937,0.0906,0.08587820121531,0.09532179878469,906,409,50
"TTest_VarEqual","ghEqualK",98096,10000,10,10,0,3,-3,-3,0.2,1,0.0038,0.00221506693533891,0.00538493306466109,0.0391,0.035300875317866,0.042899124682134,0.0909,0.0861711703131774,0.0956288296868226,909,391,38
"TTest_VarEqual","ghEqualK",6568888,10000,10,10,0,3,-1,-1,0.2,1,0.0064,0.00434580514519581,0.00845419485480419,0.0384,0.0346336653055789,0.0421663346944211,0.0881,0.0834374074615108,0.0927625925384892,881,384,64
"TTest_VarEqual","ghEqualK",48808,10000,10,10,0.5,3,1,1,0.2,0,0.0099,0.00734963120325236,0.0124503687967476,0.0526,0.0482246214474174,0.0569753785525826,0.1075,0.102404647351814,0.112595352648186,1075,526,99
"TTest_VarEqual","ghEqualK",3079583,10000,10,10,0.5,3,3,3,0.2,0,0.0068,0.00468301066328241,0.00891698933671759,0.0515,0.0471681006890741,0.0558318993109259,0.1092,0.104069409819095,0.114330590180905,1092,515,68
"TTest_VarEqual","ghEqualK",90275,10000,10,10,0.5,3,1,3,0.2,0,0.0145,0.011420656237183,0.017579343762817,0.0869,0.0813789061317163,0.0924210938682837,0.1719,0.165693521819101,0.178106478180899,1719,869,145
"TTest_VarEqual","ghEqualK",201917,10000,10,10,0.5,3,-1,1,0.2,0,0.0357,0.0309204605551815,0.0404795394448185,0.2214,0.213262292430518,0.229537707569482,0.3982,0.3901472795685,0.4062527204315,3982,2214,357
"TTest_VarEqual","ghEqualK",94860859,10000,10,10,0.5,3,-3,3,0.2,0,0.1714,0.161692134918001,0.181107865081999,0.6069,0.59732660095147,0.61647339904853,0.8056,0.799090108333805,0.812109891666195,8056,6069,1714
"TTest_VarEqual","ghEqualK",114374,10000,10,10,0.5,3,-1,3,0.2,0,0.0829,0.0757971691765899,0.0900028308234101,0.3861,0.37655766214985,0.39564233785015,0.5977,0.58963354813671,0.60576645186329,5977,3861,829
"TTest_VarEqual","ghEqualK",23390,10000,10,10,0.5,3,1,-3,0.2,0,0.0205,0.0168497298300537,0.0241502701699463,0.1613,0.154090974253784,0.168509025746216,0.3237,0.316003257703302,0.331396742296698,3237,1613,205
"TTest_VarEqual","ghEqualK",77359,10000,10,10,1,3,1,1,0.2,0,0.0163,0.013038097342431,0.019561902657569,0.081,0.0756524317451761,0.0863475682548239,0.1469,0.141076598001599,0.152723401998401,1469,810,163
"TTest_VarEqual","ghEqualK",833233,10000,10,10,1,3,3,3,0.2,0,0.0162,0.012947953288365,0.019452046711635,0.0783,0.0730345954288773,0.0835654045711227,0.1479,0.142060236330298,0.153739763669702,1479,783,162
"TTest_VarEqual","ghEqualK",306229,10000,10,10,1,3,1,3,0.2,0,0.0382,0.0332623542712163,0.0431376457287837,0.1499,0.142903321862598,0.156896678137402,0.2479,0.240796997622978,0.255003002377022,2479,1499,382
"TTest_VarEqual","ghEqualK",4382909,10000,10,10,1,3,-1,1,0.2,0,0.0726,0.0659158264917027,0.0792841735082973,0.3378,0.328529984033153,0.347070015966847,0.539,0.530800058622313,0.547199941377687,5390,3378,726
"TTest_VarEqual","ghEqualK",24343618,10000,10,10,1,3,-3,3,0.2,0,0.2926,0.280880325567891,0.304319674432109,0.7499,0.741411819738106,0.758388180261894,0.9045,0.899665273916821,0.909334726083179,9045,7499,2926
"TTest_VarEqual","ghEqualK",263604699,10000,10,10,1,3,-1,3,0.2,0,0.1599,0.15045861771098,0.16934138228902,0.5341,0.524322817639504,0.543877182360496,0.742,0.734802565721731,0.749197434278269,7420,5341,1599
"TTest_VarEqual","ghEqualK",2228514,10000,10,10,1,3,1,-3,0.2,0,0.0097,0.00717526898390819,0.0122247310160918,0.0941,0.0883774313293417,0.0998225686706583,0.2151,0.208340831517563,0.221859168482437,2151,941,97
"TTest_VarEqual","ghEqualK",47169,10000,10,10,1.5,3,1,1,0.2,0,0.0331,0.0284915950367113,0.0377084049632887,0.1259,0.119397962101741,0.132402037898259,0.214,0.207253413981131,0.220746586018869,2140,1259,331
"TTest_VarEqual","ghEqualK",181388,10000,10,10,1.5,3,3,3,0.2,0,0.0358,0.0310140193810739,0.0405859806189261,0.1264,0.11988692737286,0.13291307262714,0.212,0.205276476278022,0.218723523721978,2120,1264,358
"TTest_VarEqual","ghEqualK",182416998,10000,10,10,1.5,3,1,3,0.2,0,0.072,0.0653413514192743,0.0786586485807257,0.2281,0.219875694496044,0.236324305503956,0.348,0.340164272539196,0.355835727460804,3480,2281,720
"TTest_VarEqual","ghEqualK",29936,10000,10,10,1.5,3,-1,1,0.2,0,0.134,0.125224796354819,0.142775203645181,0.4841,0.474304956329327,0.493895043670673,0.6879,0.680277885976451,0.695522114023548,6879,4841,1340
"TTest_VarEqual","ghEqualK",19735,10000,10,10,1.5,3,-3,3,0.2,0,0.4486,0.43578823764957,0.46141176235043,0.8705,0.863919250744786,0.877080749255214,0.9617,0.958542923559878,0.964857076440122,9617,8705,4486
"TTest_VarEqual","ghEqualK",89106,10000,10,10,1.5,3,-1,3,0.2,0,0.2665,0.255110765776471,0.277889234223529,0.6992,0.690211324606061,0.708188675393939,0.8644,0.858768123455224,0.870031876544776,8644,6992,2665
"TTest_VarEqual","ghEqualK",1730663,10000,10,10,1.5,3,1,-3,0.2,0,0.0098,0.00726241640782102,0.012337583592179,0.0668,0.0619063639406266,0.0716936360593734,0.1515,0.145602089987176,0.157397910012824,1515,668,98
"TTest_VarEqual","ghEqualK",17026,10000,10,10,2,3,1,1,0.2,0,0.0672,0.0607505190557056,0.0736494809442944,0.2037,0.195806130476781,0.211593869523219,0.3067,0.299114514362694,0.314285485637306,3067,2037,672
"TTest_VarEqual","ghEqualK",2920835,10000,10,10,2,3,3,3,0.2,0,0.0627,0.0564551941954216,0.0689448058045784,0.1939,0.186151111059874,0.201648888940126,0.2931,0.285612224715246,0.300587775284754,2931,1939,627
"TTest_VarEqual","ghEqualK",59940,10000,10,10,2,3,1,3,0.2,0,0.1267,0.118131281093376,0.135268718906624,0.3214,0.312246526359551,0.330553473640449,0.4473,0.43912081401466,0.45547918598534,4473,3214,1267
"TTest_VarEqual","ghEqualK",49697750,10000,10,10,2,3,-1,1,0.2,0,0.2285,0.217684242881129,0.239315757118871,0.639,0.629586305473407,0.648413694526593,0.8161,0.809727226900636,0.822472773099364,8161,6390,2285
"TTest_VarEqual","ghEqualK",20047,10000,10,10,2,3,-3,3,0.2,0,0.6195,0.606993267973703,0.632006732026297,0.9422,0.93762604865509,0.94677395134491,0.9875,0.98567236502294,0.989327634977061,9875,9422,6195
"TTest_VarEqual","ghEqualK",97948028,10000,10,10,2,3,-1,3,0.2,0,0.4088,0.39613606960195,0.42146393039805,0.8263,0.818874514455633,0.833725485544367,0.9359,0.931870885209879,0.939929114790121,9359,8263,4088
"TTest_VarEqual","ghEqualK",337949595,10000,10,10,2,3,1,-3,0.2,0,0.0126,0.00972672170157083,0.0154732782984292,0.0502,0.0459201946967648,0.0544798053032352,0.1131,0.107890038281813,0.118309961718187,1131,502,126
"TTest_VarEqual","ghEqualK",6705970,10000,10,10,2.5,3,1,1,0.2,0,0.1134,0.105231990213146,0.121568009786854,0.2843,0.275458824535075,0.293141175464925,0.3959,0.387855240393773,0.403944759606227,3959,2843,1134
"TTest_VarEqual","ghEqualK",1403368,10000,10,10,2.5,3,3,3,0.2,0,0.1064,0.0984569325085642,0.114343067491436,0.2684,0.259714712970178,0.277085287029822,0.3767,0.368729009788064,0.384670990211936,3767,2684,1064
"TTest_VarEqual","ghEqualK",234983281,10000,10,10,2.5,3,1,3,0.2,0,0.1878,0.177739370741449,0.197860629258551,0.4027,0.393087349695656,0.412312650304344,0.5233,0.515083935394072,0.531516064605927,5233,4027,1878
"TTest_VarEqual","ghEqualK",1916919,10000,10,10,2.5,3,-1,1,0.2,0,0.3614,0.349024738352378,0.373775261647622,0.7677,0.759422933459637,0.775977066540363,0.9019,0.897006950610818,0.906793049389182,9019,7677,3614
"TTest_VarEqual","ghEqualK",49175745,10000,10,10,2.5,3,-3,3,0.2,0,0.7641,0.753163334509214,0.775036665490786,0.9725,0.969294710777481,0.97570528922252,0.9939,0.992619138519989,0.995180861480011,9939,9725,7641
"TTest_VarEqual","ghEqualK",501564,10000,10,10,2.5,3,-1,3,0.2,0,0.5697,0.556945758340959,0.582454241659041,0.9116,0.906036035349645,0.917163964650355,0.9746,0.972011811136895,0.977188188863105,9746,9116,5697
"TTest_VarEqual","ghEqualK",28960,10000,10,10,2.5,3,1,-3,0.2,0,0.0205,0.0168497298300537,0.0241502701699463,0.0573,0.0527446669371384,0.0618553330628616,0.1079,0.102796320494195,0.113003679505805,1079,573,205
"TTest_VarEqual","ghEqualK",252084,10000,20,20,0,3,1,1,0.2,1,0.0053,0.00342961998908885,0.00717038001091115,0.0401,0.0362546023770746,0.0439453976229254,0.0939,0.0891017070034256,0.0986982929965744,939,401,53
