"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","Cauchy",30569,10000,10,10,0,1,1,1,0.0012,0.00030818299620606,0.00209181700379394,0.0168,0.0142809798171511,0.0193190201828489,0.0499,0.0463182041070191,0.0534817958929809,499,168,12
"TTest_VarUnequal","Cauchy",20233,10000,10,10,0,0.5,0.5,1,0.0013,0.000371813901280567,0.00222818609871943,0.0171,0.0145589758414372,0.0196410241585628,0.0554,0.0516369087001376,0.0591630912998624,554,171,13
"TTest_VarUnequal","Cauchy",63088,10000,10,10,0,2,2,1,0.0012,0.00030818299620606,0.00209181700379394,0.0167,0.0141883603726649,0.0192116396273351,0.051,0.0473810373865567,0.0546189626134432,510,167,12
"TTest_VarUnequal","Cauchy",2721353,10000,10,10,0.5,1,1,0,0.0035,0.00197868715433018,0.00502131284566982,0.029,0.0257109938522405,0.0322890061477595,0.071,0.0667752313320727,0.0752247686679273,710,290,35
"TTest_VarUnequal","Cauchy",241148815,10000,10,10,0.5,0.5,0.5,0,0.0162,0.012947953288365,0.019452046711635,0.0682,0.0632590596399471,0.0731409403600529,0.1272,0.121718911344778,0.132681088655222,1272,682,162
"TTest_VarUnequal","Cauchy",35834812,10000,10,10,0.5,2,2,0,0.0016,0.000570424649992046,0.00262957535000795,0.0206,0.0178159967919559,0.0233840032080441,0.0606,0.0566751099756681,0.0645248900243319,606,206,16
"TTest_VarUnequal","Cauchy",351283603,10000,10,10,0.5,0.5,2,0,0.0039,0.00229442856754861,0.00550557143245139,0.0253,0.0222221190689697,0.0283778809310303,0.067,0.0628871381159222,0.0711128618840778,670,253,39
"TTest_VarUnequal","Cauchy",10160101,10000,10,10,0.5,1,2,0,0.0031,0.0016679687226656,0.0045320312773344,0.0233,0.0203432498621629,0.0262567501378372,0.0604,0.0564811749485847,0.0643188250514153,604,233,31
"TTest_VarUnequal","Cauchy",40173914,10000,10,10,1,1,1,0,0.0142,0.0111522142245991,0.0172477857754009,0.0643,0.0594923828852955,0.0691076171147045,0.1245,0.119069014375882,0.129930985624118,1245,643,142
"TTest_VarUnequal","Cauchy",97431,10000,10,10,1,0.5,0.5,0,0.0736,0.0668735791059506,0.0803264208940494,0.1807,0.173158519280566,0.188241480719434,0.2643,0.257046211946867,0.271553788053133,2643,1807,736
"TTest_VarUnequal","Cauchy",1781786,10000,10,10,1,2,2,0,0.0035,0.00197868715433018,0.00502131284566982,0.0292,0.0259000118458394,0.0324999881541606,0.0732,0.0689153588411163,0.0774846411588837,732,292,35
"TTest_VarUnequal","Cauchy",9573468,10000,10,10,1,0.5,2,0,0.0082,0.00587691641085044,0.0105230835891496,0.0458,0.0417025985530339,0.0498974014469661,0.0982,0.0933047287462389,0.103095271253761,982,458,82
