"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","Exp",8850204,10000,10,10,0,1,1,0.0044,0.00269503824744835,0.00610496175255165,0.0387,0.0349195715309505,0.0424804284690495,0.0878,0.0831445872230381,0.0924554127769619,878,387,44
"TTest_VarUnequal","Exp",128042,10000,10,10,0,0.5,1,0.0055,0.00359484814841441,0.00740515185158559,0.0374,0.0336810974255299,0.0411189025744701,0.085,0.0804123961115306,0.0895876038884695,850,374,55
"TTest_VarUnequal","Exp",33731,10000,10,10,0,0.25,1,0.0044,0.00269503824744835,0.00610496175255165,0.0344,0.0308278151752184,0.0379721848247816,0.0854,0.0808026196403713,0.0899973803596287,854,344,44
"TTest_VarUnequal","Exp",41930440,10000,10,10,0,0.125,1,0.0042,0.0025340707064416,0.0058659292935584,0.0382,0.0344430956411428,0.0419569043588572,0.0897,0.0849993881057063,0.0944006118942937,897,382,42
"TTest_VarUnequal","Exp",68836,10000,10,10,0.5,1,0,0.0685,0.0619929735203858,0.0750070264796142,0.2157,0.207638381328691,0.223761618671309,0.3282,0.320475770118135,0.335924229881865,3282,2157,685
"TTest_VarUnequal","Exp",23825283,10000,10,10,0.5,0.5,0,0.0168,0.0134892877596843,0.0201107122403157,0.0829,0.0774956721995793,0.0883043278004207,0.1533,0.14737345263549,0.15922654736451,1533,829,168
"TTest_VarUnequal","Exp",746015,10000,10,10,0.5,0.25,0,0.0066,0.00451416522232848,0.00868583477767152,0.0441,0.0400757810956162,0.0481242189043838,0.1027,0.0977063286343838,0.107693671365616,1027,441,66
"TTest_VarUnequal","Exp",25923,10000,10,10,0.5,0.125,0,0.0062,0.0041779532159082,0.0082220467840918,0.0413,0.0373999294712018,0.0452000705287982,0.0975,0.0926203146890014,0.102379685310999,975,413,62
"TTest_VarUnequal","Exp",46590,10000,10,10,1,1,0,0.3569,0.344558771669624,0.369241228330376,0.6136,0.604056288428164,0.623143711571836,0.7181,0.710698735863721,0.725501264136279,7181,6136,3569
"TTest_VarUnequal","Exp",295788379,10000,10,10,1,0.5,0,0.0664,0.0599862752206924,0.0728137247793076,0.2177,0.209611426225001,0.225788573774999,0.3311,0.323358482664492,0.338841517335508,3311,2177,664
