"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","GLDLS",133423,10000,10,10,0,2,-0.002,-0.002,1,0.0099,0.00734963120325236,0.0124503687967476,0.0465,0.0423729199135466,0.0506270800864534,0.0957,0.0908607491323785,0.100539250867621,957,465,99
"TTest_VarUnequal","GLDLS",89551,10000,10,10,0,2,-0.02,-0.02,1,0.0084,0.00604899387398841,0.0107510061260116,0.0459,0.0417983427897495,0.0500016572102505,0.097,0.0921314947286154,0.101868505271385,970,459,84
"TTest_VarUnequal","GLDLS",217562545,10000,10,10,0,2,-0.05,-0.05,1,0.0087,0.00630774187608109,0.0110922581239189,0.0487,0.0444812936141988,0.0529187063858012,0.0972,0.0923270179687998,0.1020729820312,972,487,87
"TTest_VarUnequal","GLDLS",25824,10000,10,10,0,2,-0.1,-0.1,1,0.0073,0.00510711276402639,0.00949288723597361,0.0439,0.0398844966683615,0.0479155033316385,0.0937,0.0889062907694798,0.0984937092305203,937,439,73
"TTest_VarUnequal","GLDLS",95351,10000,10,10,0,2,-0.2,-0.2,1,0.0049,0.00310122326515379,0.00669877673484621,0.0386,0.034824262593029,0.042375737406971,0.087,0.0823638132935029,0.091636186706497,870,386,49
"TTest_VarUnequal","GLDLS",270056603,10000,10,10,0.5,2,-0.002,-0.002,0,0.0741,0.0673525914872342,0.0808474085127658,0.2218,0.213657037111616,0.229942962888384,0.3378,0.330019808027825,0.345580191972175,3378,2218,741
"TTest_VarUnequal","GLDLS",19208778,10000,10,10,0.5,2,-0.002,-0.02,0,0.0689,0.0623754038882469,0.0754245961117531,0.2118,0.203791756599503,0.219808243400497,0.3246,0.316897695423375,0.332302304576625,3246,2118,689
"TTest_VarUnequal","GLDLS",1053981,10000,10,10,0.5,2,-0.002,-0.05,0,0.0646,0.0582677099353564,0.0709322900646436,0.2025,0.194623488145124,0.210376511854876,0.3153,0.307656750235615,0.322943249764385,3153,2025,646
"TTest_VarUnequal","GLDLS",88415381,10000,10,10,0.5,2,-0.002,-0.1,0,0.0609,0.0547395785370363,0.0670604214629637,0.1982,0.190386584452264,0.206013415547736,0.3059,0.298320044378298,0.313479955621702,3059,1982,609
"TTest_VarUnequal","GLDLS",25474,10000,10,10,0.5,2,-0.002,-0.2,0,0.0498,0.0441963881746773,0.0554036118253227,0.1719,0.164505047273823,0.179294952726177,0.2733,0.265968998671138,0.280631001328862,2733,1719,498
"TTest_VarUnequal","GLDLS",135645476,10000,10,10,1,2,-0.002,-0.002,0,0.3892,0.376640227044539,0.401759772955461,0.6565,0.647192419366989,0.665807580633011,0.7688,0.76186468,0.77573532,7688,6565,3892
"TTest_VarUnequal","GLDLS",57199,10000,10,10,1,2,-0.002,-0.02,0,0.3619,0.349521029654771,0.374278970345229,0.638,0.628580655173527,0.647419344826473,0.7534,0.746309526367364,0.760490473632636,7534,6380,3619
"TTest_VarUnequal","GLDLS",2683510,10000,10,10,1,2,-0.002,-0.05,0,0.3387,0.32650862420757,0.35089137579243,0.607,0.597427030128534,0.616572969871466,0.734,0.726731333374683,0.741268666625317,7340,6070,3387
"TTest_VarUnequal","GLDLS",207820,10000,10,10,1,2,-0.002,-0.1,0,0.3181,0.306102575144371,0.330097424855629,0.5856,0.575944684294007,0.595255315705993,0.7101,0.702636375763815,0.717563624236185,7101,5856,3181
"TTest_VarUnequal","GLDLS",217111408,10000,10,10,1,2,-0.002,-0.2,0,0.2473,0.236186038835802,0.258413961164198,0.4918,0.482001317992628,0.501598682007372,0.6236,0.615630267166862,0.631569732833138,6236,4918,2473
"TTest_VarUnequal","GLDLS",161811569,10000,10,10,1.5,2,-0.002,-0.002,0,0.7682,0.757329745154976,0.779070254845024,0.9264,0.921282071058875,0.931517928941125,0.9659,0.962914554311836,0.968885445688164,9659,9264,7682
"TTest_VarUnequal","GLDLS",167165,10000,10,10,1.5,2,-0.002,-0.02,0,0.7552,0.74412400997194,0.76627599002806,0.9202,0.91488872691781,0.92551127308219,0.962,0.958854821946217,0.965145178053783,9620,9202,7552
"TTest_VarUnequal","GLDLS",2644248,10000,10,10,1.5,2,-0.002,-0.05,0,0.7269,0.715422586108497,0.738377413891503,0.9043,0.898534084072621,0.910065915927379,0.951,0.947448971149441,0.954551028850559,9510,9043,7269
"TTest_VarUnequal","GLDLS",138628298,10000,10,10,1.5,2,-0.002,-0.1,0,0.678,0.665963820900236,0.690036179099764,0.8738,0.867291337248743,0.880308662751257,0.9281,0.923850598823366,0.932349401176634,9281,8738,6780
"TTest_VarUnequal","GLDLS",26855,10000,10,10,1.5,2,-0.002,-0.2,0,0.589,0.576325687323156,0.601674312676844,0.8046,0.796828437121505,0.812371562878495,0.8735,0.868031822296745,0.878968177703255,8735,8046,5890
"TTest_VarUnequal","GLDLS",603029,10000,10,10,2,2,-0.002,-0.002,0,0.9551,0.949765503288723,0.960434496711277,0.9923,0.990586741364067,0.994013258635933,0.9975,0.996678528768383,0.998321471231617,9975,9923,9551
"TTest_VarUnequal","GLDLS",45693473,10000,10,10,2,2,-0.002,-0.02,0,0.9491,0.943438119008833,0.954761880991168,0.9908,0.988928701868328,0.992671298131672,0.997,0.996100348913467,0.997899651086533,9970,9908,9491
"TTest_VarUnequal","GLDLS",130665,10000,10,10,2,2,-0.002,-0.05,0,0.9335,0.927081791187691,0.939918208812309,0.9879,0.985757083498034,0.990042916501966,0.9948,0.993616861838837,0.995983138161163,9948,9879,9335
"TTest_VarUnequal","GLDLS",241028,10000,10,10,2,2,-0.002,-0.1,0,0.9045,0.896929024686766,0.912070975313234,0.9753,0.972257898781171,0.978342101218829,0.9904,0.988795990874839,0.992004009125161,9904,9753,9045
"TTest_VarUnequal","GLDLS",4418085,10000,10,10,2,2,-0.002,-0.2,0,0.8245,0.81470104531975,0.83429895468025,0.9365,0.931720341974576,0.941279658025424,0.9639,0.960831433825714,0.966968566174286,9639,9365,8245
"TTest_VarUnequal","GLDLS",8781305,10000,10,10,2.5,2,-0.002,-0.002,0,0.9956,0.993895038247448,0.997304961752552,0.9993,0.998781614273345,0.999818385726655,0.9999,0.999735508225206,1.00006449177479,9999,9993,9956
"TTest_VarUnequal","GLDLS",207417,10000,10,10,2.5,2,-0.002,-0.02,0,0.9933,0.99119852862938,0.99540147137062,0.9996,0.999208078407842,0.999991921592158,0.9999,0.999735508225206,1.00006449177479,9999,9996,9933
"TTest_VarUnequal","GLDLS",1283699,10000,10,10,2.5,2,-0.002,-0.05,0,0.9912,0.988794153905451,0.993605846094549,0.9992,0.998645850076604,0.999754149923396,0.9998,0.999567385133966,1.00003261486603,9998,9992,9912
"TTest_VarUnequal","GLDLS",9133439,10000,10,10,2.5,2,-0.002,-0.1,0,0.9791,0.975415042129339,0.982784957870661,0.9959,0.994647563067296,0.997152436932704,0.9984,0.997742526610729,0.999057473389271,9984,9959,9791
"TTest_VarUnequal","GLDLS",8384598,10000,10,10,2.5,2,-0.002,-0.2,0,0.9367,0.930427394510226,0.942972605489773,0.9807,0.978003485167554,0.983396514832446,0.9887,0.986961249006679,0.990438750993321,9887,9807,9367
"TTest_VarUnequal","GLDLS",112350,10000,20,20,0,2,-0.002,-0.002,1,0.0095,0.00700118041435561,0.0119988195856444,0.0489,0.0446730842489588,0.0531269157510412,0.0978,0.0929136255890589,0.102686374410941,978,489,95
"TTest_VarUnequal","GLDLS",51905,10000,20,20,0,2,-0.02,-0.02,1,0.0095,0.00700118041435561,0.0119988195856444,0.0513,0.046976064527586,0.055623935472414,0.102,0.0970214352881578,0.106978564711842,1020,513,95
"TTest_VarUnequal","GLDLS",45340705,10000,20,20,0,2,-0.05,-0.05,1,0.0084,0.00604899387398841,0.0107510061260116,0.0464,0.0422771438435958,0.0505228561564042,0.1021,0.0971192727596289,0.107080727240371,1021,464,84
"TTest_VarUnequal","GLDLS",1009344,10000,20,20,0,2,-0.1,-0.1,1,0.0077,0.00544828864991625,0.00995171135008375,0.0485,0.0442895226351398,0.0527104773648602,0.0968,0.0919359778340966,0.101664022165903,968,485,77
"TTest_VarUnequal","GLDLS",7206863,10000,20,20,0,2,-0.2,-0.2,1,0.0083,0.00596291202152422,0.0106370879784758,0.0472,0.0430434984679902,0.0513565015320098,0.0971,0.0922292555565935,0.101970744443406,971,472,83
"TTest_VarUnequal","GLDLS",158250534,10000,20,20,0.5,2,-0.002,-0.002,0,0.191,0.180874026112299,0.201125973887701,0.4143,0.404645025079183,0.423954974920817,0.5365,0.528296944787497,0.544703055212503,5365,4143,1910
"TTest_VarUnequal","GLDLS",2699529,10000,20,20,0.5,2,-0.002,-0.02,0,0.1787,0.168831320465703,0.188568679534297,0.3881,0.37854857611126,0.39765142388874,0.5185,0.510280631940692,0.526719368059308,5185,3881,1787
"TTest_VarUnequal","GLDLS",409997,10000,20,20,0.5,2,-0.002,-0.05,0,0.1725,0.162767500062163,0.182232499937837,0.385,0.37546273183768,0.39453726816232,0.5126,0.50437761201675,0.52082238798325,5126,3850,1725
"TTest_VarUnequal","GLDLS",5742295,10000,20,20,0.5,2,-0.002,-0.1,0,0.147,0.137878231594608,0.156121768405392,0.343,0.333695654769948,0.352304345230052,0.4701,0.461889719635787,0.478310280364213,4701,3430,1470
"TTest_VarUnequal","GLDLS",514451,10000,20,20,0.5,2,-0.002,-0.2,0,0.1178,0.109495719110169,0.126104280889831,0.3002,0.291216441827783,0.309183558172217,0.4176,0.409487460387178,0.425712539612822,4176,3002,1178
"TTest_VarUnequal","GLDLS",315817,10000,20,20,1,2,-0.002,-0.002,0,0.7718,0.760989243988445,0.782610756011555,0.9193,0.913961472689814,0.924638527310186,0.9581,0.954804067310309,0.961395932689691,9581,9193,7718
"TTest_VarUnequal","GLDLS",28469,10000,20,20,1,2,-0.002,-0.02,0,0.7649,0.753976180795298,0.775823819204702,0.914,0.90850486463861,0.91949513536139,0.955,0.951589847153352,0.958410152846648,9550,9140,7649
"TTest_VarUnequal","GLDLS",100301,10000,20,20,1,2,-0.002,-0.05,0,0.726,0.714510808970933,0.737489191029067,0.8925,0.886428941525566,0.898571058474434,0.9409,0.937020896413864,0.944779103586136,9409,8925,7260
"TTest_VarUnequal","GLDLS",103233092,10000,20,20,1,2,-0.002,-0.1,0,0.6763,0.66424722908432,0.68835277091568,0.8644,0.857689679010479,0.87111032098952,0.9213,0.916870509199493,0.925729490800507,9213,8644,6763
"TTest_VarUnequal","GLDLS",292421195,10000,20,20,1,2,-0.002,-0.2,0,0.5642,0.551426614700059,0.576973385299941,0.7823,0.774211426225001,0.790388573774999,0.8576,0.851851384214474,0.863348615785526,8576,7823,5642
"TTest_VarUnequal","GLDLS",761693,10000,20,20,1.5,2,-0.002,-0.002,0,0.9877,0.984860702230322,0.990539297769678,0.9981,0.997246467819939,0.998953532180061,0.9996,0.999271065806581,0.999928934193419,9996,9981,9877
"TTest_VarUnequal","GLDLS",75772054,10000,20,20,1.5,2,-0.002,-0.02,0,0.9848,0.981648323215922,0.987951676784078,0.998,0.997124338330175,0.998875661669825,0.9991,0.998606722124989,0.999593277875011,9991,9980,9848
"TTest_VarUnequal","GLDLS",50489933,10000,20,20,1.5,2,-0.002,-0.05,0,0.978,0.974221437357724,0.981778562642275,0.9955,0.994188153682781,0.996811846317219,0.9984,0.997742526610729,0.999057473389271,9984,9955,9780
"TTest_VarUnequal","GLDLS",47429,10000,20,20,1.5,2,-0.002,-0.1,0,0.9633,0.958456495908298,0.968143504091702,0.9918,0.99003243639956,0.99356756360044,0.9964,0.995414778201825,0.997385221798175,9964,9918,9633
"TTest_VarUnequal","GLDLS",35645,10000,20,20,1.5,2,-0.002,-0.2,0,0.8973,0.889480123138099,0.905119876861901,0.9623,0.958566793705995,0.966033206294005,0.9797,0.977380146951685,0.982019853048315,9797,9623,8973
"TTest_VarUnequal","GLDLS",117333,10000,20,20,2,2,-0.002,-0.002,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"TTest_VarUnequal","GLDLS",1840125,10000,20,20,2,2,-0.002,-0.02,0,0.9996,0.999084903050306,1.00011509694969,1,1,1,1,1,1,10000,10000,9996
"TTest_VarUnequal","GLDLS",169447,10000,20,20,2,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","GLDLS",30973,10000,20,20,2,2,-0.002,-0.1,0,0.9979,0.996720768647472,0.999079231352528,0.9996,0.999208078407842,0.999991921592158,1,1,1,10000,9996,9979
"TTest_VarUnequal","GLDLS",23821122,10000,20,20,2,2,-0.002,-0.2,0,0.9799,0.976284779706045,0.983515220293955,0.9935,0.991924941512197,0.995075058487803,0.9969,0.995985523504963,0.997814476495037,9969,9935,9799
"TTest_VarUnequal","GLDLS",13681347,10000,20,20,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","GLDLS",1209245,10000,20,20,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"TTest_VarUnequal","GLDLS",48115169,10000,20,20,2.5,2,-0.002,-0.05,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"TTest_VarUnequal","GLDLS",113145753,10000,20,20,2.5,2,-0.002,-0.1,0,0.9996,0.999084903050306,1.00011509694969,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9996
"TTest_VarUnequal","GLDLS",132265,10000,20,20,2.5,2,-0.002,-0.2,0,0.9956,0.993895038247448,0.997304961752552,0.9985,0.997741464806354,0.999258535193646,0.9993,0.998864926265128,0.999735073734871,9993,9985,9956
