"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","Logistic",7745898,10000,10,10,0,1,1,0.0075,0.00527750011023622,0.00972249988976378,0.0502,0.0459201946967648,0.0544798053032352,0.0993,0.0943803907670654,0.104219609232935,993,502,75
"TTest_VarUnequal","Logistic",7654543,10000,10,10,0,3,1,0.0071,0.00493714308998861,0.00926285691001139,0.046,0.0418940923731774,0.0501059076268226,0.0946,0.089785715896304,0.099414284103696,946,460,71
"TTest_VarUnequal","Logistic",25211,10000,10,10,0,5,1,0.0086,0.00622141025800917,0.0109785897419908,0.0473,0.0431393160810271,0.0514606839189729,0.0971,0.0922292555565935,0.101970744443406,971,473,86
"TTest_VarUnequal","Logistic",8215801,10000,10,10,0,2,1,0.0094,0.00691424141894994,0.0118857585810501,0.0478,0.0436184806749699,0.0519815193250301,0.1024,0.0974127940558265,0.107387205944174,1024,478,94
"TTest_VarUnequal","Logistic",269885,10000,10,10,0.5,1,0,0.0187,0.0152104649781015,0.0221895350218985,0.0849,0.079436836550276,0.090363163449724,0.1573,0.151310828344606,0.163289171655394,1573,849,187
"TTest_VarUnequal","Logistic",205075,10000,10,10,1.5,1,0,0.1938,0.183617740947852,0.203982259052148,0.4304,0.420695409978036,0.440104590021964,0.5666,0.558448291505758,0.574751708494242,5666,4304,1938
"TTest_VarUnequal","Logistic",369759,10000,10,10,2,1,0,0.3743,0.361833663378242,0.386766336621758,0.6483,0.638940982349755,0.657659017650245,0.7687,0.761763631469798,0.775636368530202,7687,6483,3743
"TTest_VarUnequal","Logistic",2045655,10000,10,10,2.5,1,0,0.5903,0.577631790634521,0.602968209365479,0.8222,0.814706051815925,0.829693948184075,0.8989,0.893940965036323,0.903859034963677,8989,8222,5903
"TTest_VarUnequal","Logistic",182014,10000,10,10,0.5,3,0,0.0096,0.00708818996570521,0.0121118100342948,0.0492,0.0449608068058179,0.0534391931941821,0.1006,0.0956518673438256,0.105548132656174,1006,492,96
"TTest_VarUnequal","Logistic",43715,10000,10,10,1.5,3,0,0.0222,0.0184046890594293,0.0259953109405707,0.0883,0.0827388782842308,0.0938611217157692,0.159,0.152984628382427,0.165015371617573,1590,883,222
"TTest_VarUnequal","Logistic",2252543,10000,10,10,2,3,0,0.034,0.0293315374378282,0.0386684625621718,0.1254,0.118909030385651,0.131890969614349,0.2098,0.203102123169548,0.216497876830452,2098,1254,340
