"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","Normal",9196679,10000,10,10,0,1,1,0.0087,0.00630774187608109,0.0110922581239189,0.0465,0.0423729199135466,0.0506270800864534,0.0968,0.0919359778340966,0.101664022165903,968,465,87
"TTest_VarUnequal","Normal",3712450,10000,10,10,0,3,1,0.0117,0.00892997819822009,0.0144700218017799,0.0518,0.0474561889403889,0.0561438110596111,0.0983,0.0934025084421946,0.103197491557805,983,518,117
"TTest_VarUnequal","Normal",103256,10000,10,10,0,5,1,0.0091,0.00665385910075809,0.0115461408992419,0.049,0.044768986901462,0.053231013098538,0.0967,0.0918382217719465,0.101561778228053,967,490,91
"TTest_VarUnequal","Normal",70324540,10000,10,10,0.5,1,0,0.0585,0.0524544759401355,0.0645455240598645,0.1869,0.179259307838788,0.194540692161212,0.2922,0.28471897187922,0.29968102812078,2922,1869,585
"TTest_VarUnequal","Normal",112729800,10000,10,10,1.5,1,0,0.6742,0.662126984095168,0.686273015904832,0.887,0.880794781151321,0.893205218848679,0.943,0.93918618891691,0.94681381108309,9430,8870,6742
"TTest_VarUnequal","Normal",3970549,10000,10,10,2,1,0,0.9246,0.917798440898472,0.931401559101528,0.9885,0.986410254838503,0.990589745161497,0.9959,0.994848847574338,0.996951152425662,9959,9885,9246
"TTest_VarUnequal","Normal",29995,10000,10,10,2.5,1,0,0.9938,0.991777953215908,0.995822046784092,0.9994,0.998920044062022,0.999879955937978,0.9999,0.999735508225206,1.00006449177479,9999,9994,9938
"TTest_VarUnequal","Normal",528411,10000,10,10,0.5,3,0,0.0129,0.00999315891531993,0.0158068410846801,0.0625,0.0577555954008959,0.0672444045991041,0.1197,0.114360158965309,0.125039841034691,1197,625,129
"TTest_VarUnequal","Normal",74750,10000,10,10,1.5,3,0,0.0592,0.0531206749289139,0.0652793250710861,0.1884,0.18073578746182,0.19606421253818,0.2984,0.29087320475517,0.30592679524483,2984,1884,592
"TTest_VarUnequal","Normal",1882962,10000,10,10,2,3,0,0.1154,0.107169575590021,0.123630424409979,0.3005,0.291513880928899,0.309486119071101,0.4275,0.419361924637276,0.435638075362724,4275,3005,1154
"TTest_VarUnequal","Normal",21322382,10000,10,10,2.5,3,0,0.1812,0.171277665304725,0.191122334695275,0.4171,0.407435637890973,0.426764362109027,0.5589,0.550732267872844,0.567067732127156,5589,4171,1812
"TTest_VarUnequal","Normal",126827008,10000,10,10,0.5,5,0,0.01,0.00743691236201335,0.0125630876379867,0.0515,0.0471681006890741,0.0558318993109259,0.1046,0.099565686119132,0.109634313880868,1046,515,100
"TTest_VarUnequal","Normal",106141,10000,10,10,1.5,5,0,0.0238,0.0198735168427388,0.0277264831572612,0.094,0.0882801571490119,0.0997198428509881,0.1672,0.161061611139199,0.173338388860801,1672,940,238
