"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","Normal2Var",7387750,10000,10,10,0.5,1,3,0,0.0195,0.0159380570165147,0.0230619429834853,0.0821,0.0767194665604236,0.0874805334395764,0.1454,0.139601314566982,0.151198685433018,1454,821,195
"TTest_VarUnequal","Normal2Var",66425722,10000,10,10,1.5,1,3,0,0.1007,0.092948015589349,0.108451984410651,0.275,0.266248320161249,0.283751679838751,0.3993,0.391243537807773,0.407356462192226,3993,2750,1007
"TTest_VarUnequal","Normal2Var",94854,10000,10,10,2,1,3,0,0.1972,0.186950492539462,0.207449507460538,0.4524,0.442644509974461,0.462155490025539,0.5941,0.586021974791016,0.602178025208984,5941,4524,1972
"TTest_VarUnequal","Normal2Var",125601759,10000,10,10,2.5,1,3,0,0.3337,0.321553284246206,0.345846715753794,0.6254,0.615913218536595,0.634886781463405,0.7581,0.751055550099903,0.765144449900097,7581,6254,3337
"TTest_VarUnequal","Normal2Var",3767197,10000,10,10,0.5,3,5,0,0.0115,0.00875347778774684,0.0142465222122532,0.0571,0.052552141504576,0.061647858495424,0.1098,0.104657066990919,0.114942933009081,1098,571,115
"TTest_VarUnequal","Normal2Var",16998342,10000,10,10,1.5,3,5,0,0.034,0.0293315374378282,0.0386684625621718,0.1209,0.114510183862551,0.127289816137449,0.198,0.191444804000642,0.204555195999358,1980,1209,340
"TTest_VarUnequal","Normal2Var",25039,10000,10,10,2,3,5,0,0.0515,0.045806646619926,0.057193353380074,0.175,0.16755264476475,0.18244735523525,0.2739,0.266563986247902,0.281236013752098,2739,1750,515
"TTest_VarUnequal","Normal2Var",18687103,10000,10,10,2.5,3,5,0,0.0817,0.0746441526069836,0.0887558473930164,0.2389,0.230542334079039,0.247257665920961,0.3563,0.348422007409132,0.364177992590868,3563,2389,817
"TTest_VarUnequal","Normal2Var",121221149,10000,10,10,0.5,1,5,0,0.0118,0.00901830642683706,0.0145816935731629,0.0566,0.0520708967344076,0.0611291032655924,0.109,0.103873534921849,0.114126465078151,1090,566,118
"TTest_VarUnequal","Normal2Var",73377,10000,10,10,1.5,1,5,0,0.0397,0.0346702711106446,0.0447297288893554,0.1317,0.125071979250364,0.138328020749636,0.221,0.214174558197633,0.227825441802367,2210,1317,397
"TTest_VarUnequal","Normal2Var",891196,10000,10,10,2,1,5,0,0.0678,0.0613238745205782,0.0742761254794218,0.1969,0.189105940042417,0.204694059957583,0.3065,0.298915894347758,0.314084105652242,3065,1969,678
"TTest_VarUnequal","Normal2Var",7430381,10000,10,10,2.5,1,5,0,0.1055,0.0975866156280893,0.113413384371911,0.2912,0.282295416492076,0.300104583507924,0.4227,0.414573887978389,0.430826112021611,4227,2912,1055
"TTest_VarUnequal","Normal2Var",29948169,10000,10,10,1,1,3,0,0.0481,0.0425879384266081,0.0536120615733919,0.161,0.153796393358879,0.168203606641121,0.256,0.248820861154707,0.263179138845293,2560,1610,481
"TTest_VarUnequal","Normal2Var",173824,10000,10,10,1,3,5,0,0.0204,0.0167584579384574,0.0240415420615426,0.079,0.0737131202548195,0.0842868797451805,0.1431,0.137339624553037,0.148860375446963,1431,790,204
"TTest_VarUnequal","Normal2Var",324932161,10000,10,10,1,1,5,0,0.0239,0.0199654781130226,0.0278345218869774,0.089,0.0834190226088972,0.0945809773911027,0.1556,0.149637274578215,0.161562725421785,1556,890,239
"TTest_VarUnequal","Normal2Var",293200987,10000,10,10,5,1,3,0,0.9451,0.939232259317435,0.950967740682565,0.9954,0.99407372432187,0.99672627567813,0.9994,0.998997179837769,0.999802820162231,9994,9954,9451
"TTest_VarUnequal","Normal2Var",1496450,10000,10,10,5,3,5,0,0.4349,0.422129637769608,0.447670362230392,0.7103,0.701408987388064,0.719191012611936,0.8273,0.821082102146804,0.833517897853196,8273,7103,4349
"TTest_VarUnequal","Normal2Var",1165737,10000,10,10,5,1,5,0,0.5052,0.492320696569236,0.518079303430764,0.7934,0.785464627318746,0.801335372681254,0.8885,0.88332235760028,0.89367764239972,8885,7934,5052
"TTest_VarUnequal","Normal2Var",177181821,10000,20,20,0.5,1,3,0,0.0297,0.0253270239476055,0.0340729760523945,0.1044,0.0984067366266449,0.110393263373355,0.1792,0.172891100941178,0.185508899058822,1792,1044,297
"TTest_VarUnequal","Normal2Var",856645,10000,20,20,1.5,1,3,0,0.2742,0.262708199820118,0.285691800179882,0.5208,0.511008483415854,0.530591516584146,0.6531,0.645270069736264,0.660929930263736,6531,5208,2742
