"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","ghEqual",161528944,10000,10,10,0,3,1,1,0,1,0.0054,0.00351215225264748,0.00728784774735252,0.0395,0.0356822867629954,0.0433177132370046,0.0891,0.0844135918960279,0.0937864081039721,891,395,54
"TTest_VarUnequal","ghEqual",136397,10000,10,10,0,3,3,3,0,1,0.0047,0.00293813840191234,0.00646186159808766,0.0415,0.0375909054194098,0.0454090945805902,0.0907,0.085975855845788,0.095424144154212,907,415,47
"TTest_VarUnequal","ghEqual",84525243,10000,10,10,0,3,-3,-3,0,1,0.0041,0.00245394003130384,0.00574605996869616,0.0395,0.0356822867629954,0.0433177132370046,0.095,0.0901766142661508,0.0998233857338492,950,395,41
"TTest_VarUnequal","ghEqual",42445,10000,10,10,0,3,-1,-1,0,1,0.0046,0.00285689482302874,0.00634310517697126,0.0388,0.0350148872976356,0.0425851127023644,0.0912,0.0864641549917253,0.0959358450082747,912,388,46
"TTest_VarUnequal","ghEqual",6355927,10000,10,10,0.5,3,1,1,0,0,0.0113,0.00857718993386318,0.0140228100661368,0.0585,0.0539001447370597,0.0630998552629403,0.1192,0.113869810088336,0.124530189911664,1192,585,113
"TTest_VarUnequal","ghEqual",18223875,10000,10,10,0.5,3,3,3,0,0,0.0072,0.00502207464379148,0.00937792535620852,0.0508,0.0464960542129808,0.0551039457870192,0.1144,0.109164023141228,0.119635976858772,1144,508,72
"TTest_VarUnequal","ghEqual",40052,10000,10,10,0.5,3,1,3,0,0,0.0206,0.016941024355142,0.024258975644858,0.106,0.0999663826571451,0.112033617342855,0.1928,0.186310518574925,0.199289481425075,1928,1060,206
"TTest_VarUnequal","ghEqual",41868,10000,10,10,0.5,3,-1,1,0,0,0.0721,0.0654370879843432,0.0787629120156568,0.2972,0.288242303366066,0.306157696633934,0.4791,0.470882188665954,0.487317811334046,4791,2972,721
"TTest_VarUnequal","ghEqual",1493714,10000,10,10,0.5,3,-3,3,0,0,0.2737,0.262214728141752,0.285185271858248,0.7226,0.71382477464458,0.73137522535542,0.8753,0.869865274752044,0.880734725247956,8753,7226,2737
"TTest_VarUnequal","ghEqual",28752105,10000,10,10,0.5,3,-1,3,0,0,0.1487,0.13953478494863,0.15786521505137,0.5044,0.494600379463347,0.514199620536653,0.6889,0.681284577545141,0.696515422454859,6889,5044,1487
"TTest_VarUnequal","ghEqual",19231,10000,10,10,0.5,3,1,-3,0,0,0.0317,0.0271868428538842,0.0362131571461158,0.1938,0.186052628982061,0.201547371017939,0.3519,0.344044089148929,0.359755910851071,3519,1938,317
"TTest_VarUnequal","ghEqual",17903,10000,10,10,1,3,1,1,0,0,0.0211,0.0173978309092231,0.0248021690907769,0.0971,0.0912965598121114,0.102903440187889,0.1753,0.169045323423967,0.181554676576033,1753,971,211
