"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"TTest_VarUnequal","ghEqualK",1585235,10000,10,10,0,3,1,1,0.2,1,0.0048,0.00301958329256997,0.00658041670743003,0.0354,0.0317781427341211,0.0390218572658789,0.0824,0.0778766914797242,0.0869233085202758,824,354,48
"TTest_VarUnequal","ghEqualK",243544292,10000,10,10,0,3,3,3,0.2,1,0.0029,0.00151479447287271,0.00428520552712729,0.0308,0.0274136009600757,0.0341863990399243,0.0829,0.0783642248817898,0.0874357751182102,829,308,29
"TTest_VarUnequal","ghEqualK",11128968,10000,10,10,0,3,-3,-3,0.2,1,0.002,0.000849130376801959,0.00315086962319804,0.0301,0.0267510952240471,0.0334489047759529,0.0754,0.0710566130737522,0.0797433869262478,754,301,20
"TTest_VarUnequal","ghEqualK",713659,10000,10,10,0,3,-1,-1,0.2,1,0.0046,0.00285689482302874,0.00634310517697126,0.0327,0.0292141351785246,0.0361858648214754,0.0825,0.0779741942171173,0.0870258057828828,825,327,46
"TTest_VarUnequal","ghEqualK",53162781,10000,10,10,0.5,3,1,1,0.2,0,0.0052,0.00334725598592358,0.00705274401407642,0.041,0.0371135122488293,0.0448864877511707,0.0949,0.090078887220882,0.099721112779118,949,410,52
"TTest_VarUnequal","ghEqualK",9447283,10000,10,10,0.5,3,3,3,0.2,0,0.004,0.00237405622532635,0.00562594377467365,0.04,0.036159200083316,0.043840799916684,0.0951,0.0902743429427719,0.0999256570572281,951,400,40
"TTest_VarUnequal","ghEqualK",6542926,10000,10,10,0.5,3,1,3,0.2,0,0.0136,0.0106163914386931,0.0165836085613069,0.0817,0.0763314204618354,0.0870685795381646,0.1605,0.154461712726329,0.166538287273671,1605,817,136
"TTest_VarUnequal","ghEqualK",27014288,10000,10,10,0.5,3,-1,1,0.2,0,0.032,0.02746624,0.03653376,0.2062,0.198270314754695,0.214129685245305,0.3879,0.379884382554165,0.395915617445835,3879,2062,320
"TTest_VarUnequal","ghEqualK",81709,10000,10,10,0.5,3,-3,3,0.2,0,0.1458,0.136709151835657,0.154890848164343,0.5612,0.551473687658233,0.570926312341767,0.7826,0.775814754058466,0.789385245941534,7826,5612,1458
"TTest_VarUnequal","ghEqualK",1289939,10000,10,10,0.5,3,-1,3,0.2,0,0.0749,0.0681191972991228,0.0816808027008772,0.3695,0.360039679753835,0.378960320246165,0.5873,0.579201340550883,0.595398659449117,5873,3695,749
"TTest_VarUnequal","ghEqualK",1056836,10000,10,10,0.5,3,1,-3,0.2,0,0.0166,0.0133087186816463,0.0198912813183537,0.1415,0.134668682964464,0.148331317035536,0.2965,0.288987053399672,0.304012946600328,2965,1415,166
"TTest_VarUnequal","ghEqualK",379860,10000,10,10,1,3,1,1,0.2,0,0.0137,0.0107055941757577,0.0166944058242423,0.0729,0.067804543175102,0.077995456824898,0.1473,0.141470042252917,0.153129957747083,1473,729,137
"TTest_VarUnequal","ghEqualK",39807850,10000,10,10,1,3,3,3,0.2,0,0.0112,0.00848912745672984,0.0139108725432702,0.0726,0.0675142158089042,0.0776857841910958,0.1399,0.134193770516885,0.145606229483115,1399,726,112
"TTest_VarUnequal","ghEqualK",778341,10000,10,10,1,3,1,3,0.2,0,0.0322,0.0276525639178526,0.0367474360821474,0.1389,0.13212149393698,0.14567850606302,0.2404,0.233370480953607,0.247429519046393,2404,1389,322
"TTest_VarUnequal","ghEqualK",169506,10000,10,10,1,3,-1,1,0.2,0,0.0697,0.0631404543589349,0.0762595456410651,0.3293,0.32008880259241,0.33851119740759,0.5432,0.535005757155759,0.551394242844241,5432,3293,697
"TTest_VarUnequal","ghEqualK",1511400,10000,10,10,1,3,-3,3,0.2,0,0.2594,0.248109252416104,0.270690747583896,0.7277,0.718975187963423,0.736424812036577,0.8895,0.884342728233419,0.894657271766581,8895,7277,2594
"TTest_VarUnequal","ghEqualK",4697482,10000,10,10,1,3,-1,3,0.2,0,0.1361,0.127267031975383,0.144932968024617,0.5183,0.508506566043639,0.528093433956361,0.7286,0.721284981860644,0.735915018139356,7286,5183,1361
"TTest_VarUnequal","ghEqualK",1733584,10000,10,10,1,3,1,-3,0.2,0,0.0114,0.00866530694682127,0.0141346930531787,0.09,0.0843908374956684,0.0956091625043316,0.207,0.200335191602341,0.213664808397659,2070,900,114
"TTest_VarUnequal","ghEqualK",22730,10000,10,10,1.5,3,1,1,0.2,0,0.0299,0.0255127770480834,0.0342872229519166,0.1228,0.116367133091257,0.129232866908743,0.2113,0.204584604872625,0.218015395127375,2113,1228,299
"TTest_VarUnequal","ghEqualK",9676694,10000,10,10,1.5,3,3,3,0.2,0,0.0282,0.0239355909120517,0.0324644090879483,0.1198,0.113435340675763,0.126164659324237,0.2086,0.20191623645398,0.21528376354602,2086,1198,282
"TTest_VarUnequal","ghEqualK",50831646,10000,10,10,1.5,3,1,3,0.2,0,0.0647,0.0583631494285871,0.0710368505714129,0.2164,0.208328915145633,0.224471084854367,0.3382,0.33041755454835,0.34598244545165,3382,2164,647
"TTest_VarUnequal","ghEqualK",28574,10000,10,10,1.5,3,-1,1,0.2,0,0.1153,0.107072677413422,0.123527322586578,0.4596,0.449832042720487,0.469367957279513,0.6731,0.665383627975209,0.680816372024791,6731,4596,1153
"TTest_VarUnequal","ghEqualK",151299739,10000,10,10,1.5,3,-3,3,0.2,0,0.4077,0.395041359078159,0.420358640921841,0.8518,0.844836156684589,0.858763843315411,0.9569,0.953559297403244,0.960240702596756,9569,8518,4077
"TTest_VarUnequal","ghEqualK",10598125,10000,10,10,1.5,3,-1,3,0.2,0,0.2292,0.218372604064359,0.240027395935641,0.66,0.650715308082656,0.669284691917344,0.8399,0.833867805186835,0.845932194813165,8399,6600,2292
"TTest_VarUnequal","ghEqualK",27646977,10000,10,10,1.5,3,1,-3,0.2,0,0.0077,0.00544828864991625,0.00995171135008375,0.0585,0.0539001447370597,0.0630998552629403,0.1371,0.131441974972398,0.142758025027602,1371,585,77
"TTest_VarUnequal","ghEqualK",563454,10000,10,10,2,3,1,1,0.2,0,0.0583,0.0522641780335122,0.0643358219664877,0.1886,0.180932665380564,0.196267334619436,0.2901,0.282634853159584,0.297565146840416,2901,1886,583
"TTest_VarUnequal","ghEqualK",109599,10000,10,10,2,3,3,3,0.2,0,0.0532,0.0474186295350171,0.0589813704649828,0.1824,0.17483099260151,0.18996900739849,0.2863,0.278864084863531,0.293735915136469,2863,1824,532
"TTest_VarUnequal","ghEqualK",35121,10000,10,10,2,3,1,3,0.2,0,0.1062,0.098263513310472,0.114136486689528,0.3025,0.293496925025304,0.311503074974696,0.432,0.423851419814471,0.440148580185529,4320,3025,1062
"TTest_VarUnequal","ghEqualK",24580848,10000,10,10,2,3,-1,1,0.2,0,0.211,0.200489446481255,0.221510553518745,0.6106,0.601042761037705,0.620157238962295,0.7983,0.791699118808161,0.804900881191839,7983,6106,2110
"TTest_VarUnequal","ghEqualK",168618810,10000,10,10,2,3,-3,3,0.2,0,0.5599,0.547112761168437,0.572687238831563,0.9259,0.920766102218548,0.931033897781452,0.9828,0.980661236816195,0.984938763183805,9828,9259,5599
"TTest_VarUnequal","ghEqualK",79433278,10000,10,10,2,3,-1,3,0.2,0,0.3544,0.342078190897045,0.366721809102955,0.7978,0.789927844522267,0.805672155477733,0.9269,0.922618055520564,0.931181944479436,9269,7978,3544
"TTest_VarUnequal","ghEqualK",15024595,10000,10,10,2,3,1,-3,0.2,0,0.0135,0.0105272301497761,0.0164727698502239,0.0466,0.0424687012320095,0.0507312987679905,0.1048,0.0997614383085646,0.109838561691435,1048,466,135
"TTest_VarUnequal","ghEqualK",24202,10000,10,10,2.5,3,1,1,0.2,0,0.1,0.092272,0.107728,0.2733,0.264565189906037,0.282034810093963,0.3893,0.381279119164969,0.397320880835031,3893,2733,1000
"TTest_VarUnequal","ghEqualK",12348558,10000,10,10,2.5,3,3,3,0.2,0,0.0846,0.0774313645716647,0.0917686354283353,0.2588,0.250215679721166,0.267384320278834,0.3771,0.369127338343252,0.385072661656748,3771,2588,846
"TTest_VarUnequal","ghEqualK",886409,10000,10,10,2.5,3,1,3,0.2,0,0.1704,0.160714656553638,0.180085343446362,0.3955,0.385916426722772,0.405083573277228,0.5253,0.517085536228957,0.533514463771043,5253,3955,1704
"TTest_VarUnequal","ghEqualK",26320085,10000,10,10,2.5,3,-1,1,0.2,0,0.3253,0.313231779255996,0.337368220744004,0.7516,0.743131134163868,0.760068865836132,0.8908,0.885669409819095,0.895930590180905,8908,7516,3253
"TTest_VarUnequal","ghEqualK",1422967,10000,10,10,2.5,3,-3,3,0.2,0,0.7055,0.693758136772318,0.717241863227682,0.9626,0.95888109742553,0.96631890257447,0.9928,0.991409205275247,0.994190794724753,9928,9626,7055
"TTest_VarUnequal","ghEqualK",1179017,10000,10,10,2.5,3,-1,3,0.2,0,0.5134,0.500524626296447,0.526275373703553,0.8977,0.891760368513653,0.903639631486347,0.9699,0.967089312063039,0.97271068793696,9699,8977,5134
"TTest_VarUnequal","ghEqualK",5353434,10000,10,10,2.5,3,1,-3,0.2,0,0.0197,0.0161202023954955,0.0232797976045045,0.0561,0.0515897512478357,0.0606102487521643,0.1022,0.0972171117126811,0.107182888287319,1022,561,197
"TTest_VarUnequal","ghEqualK",46290,10000,20,20,0,3,1,1,0.2,1,0.0067,0.00459852862937988,0.00880147137062012,0.0437,0.039693235034395,0.047706764965605,0.0986,0.0936958568720825,0.103504143127917,986,437,67
"TTest_VarUnequal","ghEqualK",2111463,10000,20,20,0,3,3,3,0.2,1,0.0041,0.00245394003130384,0.00574605996869616,0.0342,0.0306378457223753,0.0377621542776247,0.0879,0.0832421921585391,0.0925578078414609,879,342,41
"TTest_VarUnequal","ghEqualK",5484944,10000,20,20,0,3,-3,-3,0.2,1,0.0042,0.0025340707064416,0.0058659292935584,0.0414,0.0374954143463871,0.0453045856536129,0.0929,0.0881246924991185,0.0976753075008815,929,414,42
"TTest_VarUnequal","ghEqualK",1247367,10000,20,20,0,3,-1,-1,0.2,1,0.005,0.00318305240581903,0.00681694759418097,0.0391,0.035300875317866,0.042899124682134,0.0923,0.0875385643364868,0.0970614356635131,923,391,50
"TTest_VarUnequal","ghEqualK",18682965,10000,20,20,0.5,3,1,1,0.2,0,0.0089,0.00648064499126234,0.0113193550087377,0.0601,0.055441628370514,0.064758371629486,0.1193,0.113967877451261,0.124632122548739,1193,601,89
"TTest_VarUnequal","ghEqualK",122855653,10000,20,20,0.5,3,3,3,0.2,0,0.0103,0.00769914430765258,0.0129008556923474,0.0536,0.0491855578284001,0.0580144421715999,0.1123,0.107106156129823,0.117493843870177,1123,536,103
"TTest_VarUnequal","ghEqualK",23943,10000,20,20,0.5,3,1,3,0.2,0,0.0331,0.0284915950367113,0.0377084049632887,0.1358,0.129085509134893,0.142514490865107,0.234,0.227035527693357,0.240964472306643,2340,1358,331
"TTest_VarUnequal","ghEqualK",180392264,10000,20,20,0.5,3,-1,1,0.2,0,0.2053,0.194895003465968,0.215704996534032,0.5672,0.557488913814325,0.576911086185675,0.7382,0.730968344255435,0.745431655744565,7382,5672,2053
"TTest_VarUnequal","ghEqualK",965295,10000,20,20,0.5,3,-3,3,0.2,0,0.7175,0.705902455770293,0.729097544229707,0.9538,0.949685607513909,0.957914392486091,0.987,0.985136642632907,0.988863357367093,9870,9538,7175
