"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Cauchy",74214346,10000,10,10,0,1,1,1,0.007,0.00485232034567536,0.00914767965432464,0.0491,0.0448648944251176,0.0533351055748824,0.1033,0.0982934374328513,0.108306562567149,1033,491,70
"VW","Cauchy",3855625,10000,10,10,0,0.5,0.5,1,0.0077,0.00544828864991625,0.00995171135008375,0.0473,0.0431393160810271,0.0514606839189729,0.1028,0.0978041764366223,0.107795823563378,1028,473,77
"VW","Cauchy",414653,10000,10,10,0,2,2,1,0.0075,0.00527750011023622,0.00972249988976378,0.0485,0.0442895226351398,0.0527104773648602,0.0989,0.0939892192707295,0.103810780729271,989,485,75
"VW","Cauchy",88775178,10000,10,10,0.5,1,1,0,0.016,0.0127677614979089,0.0192322385020911,0.0803,0.0749735612511172,0.0856264387488828,0.15,0.144126175117524,0.155873824882476,1500,803,160
"VW","Cauchy",820441,10000,10,10,0.5,0.5,0.5,0,0.0523,0.0465650168869912,0.0580349831130088,0.1705,0.163128999202279,0.177871000797721,0.276,0.268646573998468,0.283353426001532,2760,1705,523
"VW","Cauchy",231511832,10000,10,10,0.5,2,2,0,0.0095,0.00700118041435561,0.0119988195856444,0.057,0.0524558846669566,0.0615441153330434,0.1158,0.110536247783957,0.121063752216043,1158,570,95
"VW","Cauchy",304737231,10000,10,10,0.5,0.5,2,0,0.014,0.0109734466483473,0.0170265533516527,0.0707,0.0656760680655885,0.0757239319344115,0.1353,0.129673380719226,0.140926619280774,1353,707,140
"VW","Cauchy",4525985,10000,10,10,0.5,1,2,0,0.0102,0.00761166986137858,0.0127883301386214,0.0631,0.0583344023772039,0.0678655976227961,0.124,0.118578383455094,0.129421616544906,1240,631,102
"VW","Cauchy",577879,10000,10,10,1,1,1,0,0.0517,0.0459962037213154,0.0574037962786846,0.1774,0.169912665571887,0.184887334428113,0.2802,0.272812357196243,0.287587642803757,2802,1774,517
"VW","Cauchy",38652,10000,10,10,1,0.5,0.5,0,0.1968,0.186558342322974,0.207041657677026,0.4334,0.423687326049414,0.443112673950586,0.5697,0.56155530763621,0.57784469236379,5697,4334,1968
"VW","Cauchy",64001442,10000,10,10,1,2,2,0,0.0175,0.0141222215347954,0.0208777784652046,0.0785,0.0732284470940718,0.0837715529059282,0.1478,0.141961868348187,0.153638131651813,1478,785,175
"VW","Cauchy",2170156,10000,10,10,1,0.5,2,0,0.0401,0.035046048838441,0.045153951161559,0.1381,0.131337903705033,0.144862096294967,0.2246,0.217735108515708,0.231464891484292,2246,1381,401
