"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Exp",181534159,10000,10,10,0,1,1,0.0075,0.00527750011023622,0.00972249988976378,0.0486,0.0443854056605173,0.0528145943394827,0.0991,0.0941848019356312,0.104015198064369,991,486,75
"VW","Exp",8888120,10000,10,10,0,0.5,1,0.007,0.00485232034567536,0.00914767965432464,0.0497,0.0454404410761676,0.0539595589238324,0.1023,0.0973149521453877,0.107285047854612,1023,497,70
"VW","Exp",36062,10000,10,10,0,0.25,1,0.0077,0.00544828864991625,0.00995171135008375,0.0478,0.0436184806749699,0.0519815193250301,0.0975,0.0926203146890014,0.102379685310999,975,478,77
"VW","Exp",181016,10000,10,10,0,0.125,1,0.0081,0.00579100861117587,0.0104089913888241,0.0487,0.0444812936141988,0.0529187063858012,0.1043,0.0992720686003312,0.109327931399669,1043,487,81
"VW","Exp",17892,10000,10,10,0.5,1,0,0.1098,0.101746385755992,0.117853614244008,0.3308,0.321578176879944,0.340021823120056,0.4714,0.463188466466055,0.479611533533945,4714,3308,1098
"VW","Exp",87561439,10000,10,10,0.5,0.5,0,0.0267,0.0225473545679006,0.0308526454320994,0.1331,0.126442217541674,0.139757782458326,0.2314,0.224462583488135,0.238337416511865,2314,1331,267
"VW","Exp",50784,10000,10,10,0.5,0.25,0,0.0122,0.00937212450238417,0.0150278754976158,0.0673,0.0623893996340977,0.0722106003659023,0.1382,0.132522944124998,0.143877055875002,1382,673,122
"VW","Exp",297893,10000,10,10,0.5,0.125,0,0.0083,0.00596291202152422,0.0106370879784758,0.052,0.0476482703025119,0.0563517296974881,0.1106,0.105440685190541,0.115759314809459,1106,520,83
"VW","Exp",308477,10000,10,10,1,1,0,0.4068,0.394145735671017,0.419454264328983,0.7127,0.703830946722812,0.721569053277188,0.8278,0.821589233713631,0.834010766286369,8278,7127,4068
"VW","Exp",4520116,10000,10,10,1,0.5,0,0.0981,0.0904376928714085,0.105762307128591,0.3159,0.30678848321571,0.32501151678429,0.4555,0.447307639876118,0.463692360123882,4555,3159,981
"VW","Exp",3893451,10000,10,10,1,0.25,0,0.0271,0.0229172240157063,0.0312827759842937,0.13,0.123408452685446,0.136591547314554,0.2287,0.221791072262878,0.235608927737122,2287,1300,271
"VW","Exp",6220483,10000,10,10,1,0.125,0,0.0114,0.00866530694682127,0.0141346930531787,0.0725,0.067417445622524,0.077582554377476,0.1391,0.133407463536175,0.144792536463825,1391,725,114
"VW","Exp",127637841,10000,10,10,1.5,1,0,0.7028,0.691027027281115,0.714572972718885,0.9107,0.905110544935184,0.916289455064816,0.9573,0.953974140724899,0.960625859275101,9573,9107,7028
"VW","Exp",3752290,10000,10,10,1.5,0.5,0,0.2451,0.23401942680265,0.25618057319735,0.5389,0.529129703932511,0.54867029606749,0.6882,0.680579889101338,0.695820110898662,6882,5389,2451
"VW","Exp",274292539,10000,10,10,1.5,0.25,0,0.0613,0.0551206968056053,0.0674793031943947,0.2239,0.215729625567552,0.232070374432448,0.3486,0.340761129844225,0.356438870155775,3486,2239,613
"VW","Exp",3582672,10000,10,10,1.5,0.125,0,0.0162,0.012947953288365,0.019452046711635,0.0994,0.0935357127541022,0.105264287245898,0.1846,0.178217848575041,0.190982151424959,1846,994,162
"VW","Exp",531905,10000,10,10,2,1,0,0.8688,0.860102935672478,0.877497064327522,0.977,0.974061895277564,0.979938104722436,0.9908,0.989229446210918,0.992370553789082,9908,9770,8688
"VW","Exp",84636,10000,10,10,2,0.5,0,0.4121,0.39942059435953,0.42477940564047,0.7236,0.714834546911517,0.732365453088483,0.8327,0.82656014443144,0.83883985556856,8327,7236,4121
"VW","Exp",36217072,10000,10,10,2,0.25,0,0.1077,0.0997143705006996,0.1156856294993,0.332,0.322769752540695,0.341230247459305,0.4744,0.466185787746497,0.482614212253503,4744,3320,1077
"VW","Exp",112694897,10000,10,10,2,0.125,0,0.0252,0.0211625803783981,0.0292374196216019,0.1325,0.125854942362929,0.139145057637071,0.2215,0.214669034750171,0.228330965249829,2215,1325,252
"VW","Exp",17757,10000,10,10,2.5,1,0,0.9474,0.941649502473749,0.953150497526251,0.9932,0.991589247243802,0.994810752756198,0.9981,0.997383642634591,0.998816357365409,9981,9932,9474
"VW","Exp",1341656,10000,10,10,2.5,0.5,0,0.5712,0.558451257584708,0.583948742415292,0.8398,0.832610887788217,0.846989112211783,0.9125,0.907851783314068,0.917148216685932,9125,8398,5712
"VW","Exp",167530,10000,10,10,2.5,0.25,0,0.1734,0.163647451792616,0.183152548207384,0.44,0.430270815861543,0.449729184138457,0.5833,0.575189947964484,0.591410052035516,5833,4400,1734
"VW","Exp",148996,10000,10,10,2.5,0.125,0,0.0457,0.0403204441504734,0.0510795558495266,0.1784,0.170896157470309,0.185903842529691,0.2873,0.279856330285217,0.294743669714783,2873,1784,457
"VW","Exp",10056666,10000,10,10,5,1,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"VW","Exp",43376,10000,10,10,5,0.5,0,0.9469,0.941123760693733,0.952676239306267,0.9937,0.992149206432306,0.995250793567694,0.998,0.997265069669969,0.998734930330031,9980,9937,9469
"VW","Exp",44078,10000,10,10,5,0.25,0,0.5702,0.557447578149853,0.582952421850147,0.8386,0.831389169855946,0.845810830144054,0.9155,0.910924659384333,0.920075340615667,9155,8386,5702
"VW","Exp",40917879,10000,10,10,5,0.12,0,0.1592,0.14977538231354,0.16862461768646,0.4141,0.404445707879373,0.423754292120627,0.564,0.555842657469494,0.572157342530506,5640,4141,1592
"VW","Exp",34931797,10000,10,10,0,1.5,1,0.0073,0.00510711276402639,0.00949288723597361,0.047,0.0428518786710126,0.0511481213289874,0.0976,0.092718083416362,0.102481916583638,976,470,73
"VW","Exp",28837920,10000,10,10,0.5,1.5,0,0.2499,0.238747080450204,0.261052919549796,0.543,0.533236307657448,0.552763692342552,0.6795,0.671823298572995,0.687176701427005,6795,5430,2499
"VW","Exp",1008826,10000,10,10,1,1.5,0,0.7007,0.688903171226174,0.712496828773826,0.9117,0.906138878284231,0.917261121715769,0.9568,0.953455598889128,0.960144401110872,9568,9117,7007
"VW","Exp",637372,10000,10,10,1.5,1.5,0,0.9163,0.90916609320474,0.92343390679526,0.987,0.984779829520059,0.989220170479941,0.9962,0.995187882417947,0.997212117582053,9962,9870,9163
"VW","Exp",1389277,10000,10,10,2,1.5,0,0.9791,0.975415042129339,0.982784957870661,0.999,0.998380503559332,0.999619496440668,0.9998,0.999567385133966,1.00003261486603,9998,9990,9791
"VW","Exp",81594970,10000,10,10,2.5,1.5,0,0.995,0.993183052405819,0.996816947594181,0.9999,0.999704009800245,1.00009599019976,0.9999,0.999735508225206,1.00006449177479,9999,9999,9950
"VW","Exp",1700439,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Exp",26406145,10000,20,20,0,1,1,0.0082,0.00587691641085044,0.0105230835891496,0.0464,0.0422771438435958,0.0505228561564042,0.0978,0.0929136255890589,0.102686374410941,978,464,82
"VW","Exp",137546064,10000,20,20,0,0.5,1,0.0073,0.00510711276402639,0.00949288723597361,0.0436,0.0395976128115336,0.0476023871884664,0.095,0.0901766142661508,0.0998233857338492,950,436,73
