"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","GLDLS",65753,10000,10,10,0,2,-0.002,-0.002,1,0.0073,0.00510711276402639,0.00949288723597361,0.0471,0.0429476859927987,0.0512523140072013,0.1021,0.0971192727596289,0.107080727240371,1021,471,73
"VW","GLDLS",297315,10000,10,10,0,2,-0.02,-0.02,1,0.0077,0.00544828864991625,0.00995171135008375,0.0481,0.0439060401072018,0.0522939598927982,0.0998,0.0948693897156741,0.104730610284326,998,481,77
"VW","GLDLS",314585774,10000,10,10,0,2,-0.05,-0.05,1,0.0075,0.00527750011023622,0.00972249988976378,0.0477,0.0435226376032717,0.0518773623967283,0.102,0.0970214352881578,0.106978564711842,1020,477,75
"VW","GLDLS",2387813,10000,10,10,0,2,-0.1,-0.1,1,0.006,0.00401063406925724,0.00798936593074276,0.0438,0.0397888629929158,0.0478111370070841,0.0974,0.0925225475371768,0.102277452462823,974,438,60
"VW","GLDLS",22421,10000,10,10,0,2,-0.2,-0.2,1,0.0066,0.00451416522232848,0.00868583477767152,0.0445,0.0404584177405377,0.0485415822594623,0.0963,0.0914472134755612,0.101152786524439,963,445,66
"VW","GLDLS",3765449,10000,10,10,0.5,2,-0.002,-0.002,0,0.0646,0.0582677099353564,0.0709322900646436,0.2173,0.209216794846498,0.225383205153502,0.3386,0.330815307282937,0.346384692717063,3386,2173,646
"VW","GLDLS",30369,10000,10,10,0.5,2,-0.002,-0.02,0,0.0604,0.0542632867279965,0.0665367132720035,0.2168,0.208723521343952,0.224876478656048,0.33,0.322265000791855,0.337734999208145,3300,2168,604
"VW","GLDLS",185809,10000,10,10,0.5,2,-0.002,-0.05,0,0.0625,0.0562644968126061,0.0687355031873939,0.2112,0.203200064614661,0.219199935385339,0.3257,0.317990941143384,0.333409058856616,3257,2112,625
"VW","GLDLS",73333340,10000,10,10,0.5,2,-0.002,-0.1,0,0.0585,0.0524544759401355,0.0645455240598645,0.2059,0.197974588099638,0.213825411900362,0.3208,0.313121402189566,0.328478597810434,3208,2059,585
"VW","GLDLS",16195548,10000,10,10,0.5,2,-0.002,-0.2,0,0.0491,0.0435338612444403,0.0546661387555597,0.1861,0.178471928025615,0.193728071974385,0.2974,0.289880474142135,0.304919525857865,2974,1861,491
"VW","GLDLS",248790529,10000,10,10,1,2,-0.002,-0.002,0,0.3365,0.324328086522555,0.348671913477445,0.6483,0.638940982349755,0.657659017650245,0.7722,0.765300658200676,0.779099341799324,7722,6483,3365
"VW","GLDLS",9931726,10000,10,10,1,2,-0.002,-0.02,0,0.3246,0.312538518790647,0.336661481209353,0.6355,0.626066722395689,0.644933277604311,0.7641,0.757115988069743,0.771084011930257,7641,6355,3246
"VW","GLDLS",3945414,10000,10,10,1,2,-0.002,-0.05,0,0.3124,0.300460962802461,0.324339037197539,0.6125,0.602951284117747,0.622048715882254,0.7457,0.738536567813906,0.752863432186095,7457,6125,3124
"VW","GLDLS",1828481,10000,10,10,1,2,-0.002,-0.1,0,0.2942,0.282461623910543,0.305938376089457,0.6007,0.591100811005007,0.610299188994993,0.7297,0.722394312384123,0.737005687615877,7297,6007,2942
"VW","GLDLS",404428,10000,10,10,1,2,-0.002,-0.2,0,0.246,0.234905720953645,0.257094279046355,0.5387,0.528929398820461,0.548470601179538,0.6774,0.669710100217357,0.685089899782643,6774,5387,2460
"VW","GLDLS",638579,10000,10,10,1.5,2,-0.002,-0.002,0,0.7127,0.701043529978553,0.724356470021447,0.9233,0.91808414906486,0.92851585093514,0.967,0.964061429535046,0.969938570464954,9670,9233,7127
"VW","GLDLS",29827,10000,10,10,1.5,2,-0.002,-0.02,0,0.7022,0.690420180986262,0.713979819013738,0.9152,0.909739756592092,0.920660243407908,0.9594,0.956153400061125,0.962646599938875,9594,9152,7022
"VW","GLDLS",68714936,10000,10,10,1.5,2,-0.002,-0.05,0,0.6774,0.665357944170158,0.689442055829842,0.9045,0.898739475305148,0.910260524694852,0.96,0.956776471498497,0.963223528501503,9600,9045,6774
"VW","GLDLS",41101,10000,10,10,1.5,2,-0.002,-0.1,0,0.6327,0.620281897503882,0.645118102496118,0.8771,0.870664881208991,0.883535118791009,0.9377,0.933724041125367,0.941675958874633,9377,8771,6327
"VW","GLDLS",351507823,10000,10,10,1.5,2,-0.002,-0.2,0,0.5718,0.559053490743997,0.584546509256003,0.84,0.832814521310309,0.847185478689691,0.9135,0.9088758891996,0.9181241108004,9135,8400,5718
"VW","GLDLS",621197,10000,10,10,2,2,-0.002,-0.002,0,0.9261,0.919360975737163,0.932839024262837,0.9919,0.990143158725895,0.993656841274105,0.9968,0.995870937553014,0.997729062446986,9968,9919,9261
"VW","GLDLS",60903479,10000,10,10,2,2,-0.002,-0.02,0,0.9245,0.917694300139912,0.931305699860088,0.9909,0.989038805837533,0.992761194162467,0.9971,0.996215425818275,0.997984574181725,9971,9909,9245
"VW","GLDLS",115051830,10000,10,10,2,2,-0.002,-0.05,0,0.9063,0.898793255332632,0.913806744667368,0.9869,0.984671419666604,0.989128580333396,0.9963,0.99530123841595,0.99729876158405,9963,9869,9063
"VW","GLDLS",39641089,10000,10,10,2,2,-0.002,-0.1,0,0.8804,0.872041055042819,0.888758944957181,0.9792,0.976402800504504,0.981997199495495,0.993,0.991628519785961,0.994371480214039,9930,9792,8804
"VW","GLDLS",124934,10000,10,10,2,2,-0.002,-0.2,0,0.8086,0.798465934804596,0.818734065195404,0.9588,0.954904450815405,0.962695549184595,0.9844,0.982361484565769,0.986438515434232,9844,9588,8086
"VW","GLDLS",161136114,10000,10,10,2.5,2,-0.002,-0.002,0,0.9892,0.986537437627259,0.991862562372741,0.9991,0.998512264659562,0.999687735340438,0.9998,0.999567385133966,1.00003261486603,9998,9991,9892
"VW","GLDLS",173729,10000,10,10,2.5,2,-0.002,-0.02,0,0.9835,0.980218480321802,0.986781519678198,0.9991,0.998512264659562,0.999687735340438,0.9997,0.999415120383714,0.999984879616286,9997,9991,9835
"VW","GLDLS",257244456,10000,10,10,2.5,2,-0.002,-0.05,0,0.9801,0.976502443763522,0.983697556236478,0.9988,0.99812144358407,0.99947855641593,0.9998,0.999567385133966,1.00003261486603,9998,9988,9801
"VW","GLDLS",11190348,10000,10,10,2.5,2,-0.002,-0.1,0,0.9653,0.960585433681916,0.970014566318084,0.9969,0.995810410984637,0.997989589015363,0.9994,0.998997179837769,0.999802820162231,9994,9969,9653
"VW","GLDLS",21896844,10000,10,10,2.5,2,-0.002,-0.2,0,0.9312,0.924679790331204,0.937720209668796,0.9909,0.989038805837533,0.992761194162467,0.9974,0.996562302425036,0.998237697574964,9974,9909,9312
"VW","GLDLS",92951,10000,20,20,0,2,-0.002,-0.002,1,0.0086,0.00622141025800917,0.0109785897419908,0.0443,0.0402670881683826,0.0483329118316174,0.0949,0.090078887220882,0.099721112779118,949,443,86
"VW","GLDLS",941081,10000,20,20,0,2,-0.02,-0.02,1,0.0074,0.00519225528409102,0.00960774471590898,0.0474,0.043235138816431,0.051564861183569,0.0971,0.0922292555565935,0.101970744443406,971,474,74
"VW","GLDLS",287467,10000,20,20,0,2,-0.05,-0.05,1,0.0088,0.00639415390545114,0.0112058460945489,0.0459,0.0417983427897495,0.0500016572102505,0.0982,0.0933047287462389,0.103095271253761,982,459,88
"VW","GLDLS",8825746,10000,20,20,0,2,-0.1,-0.1,1,0.0084,0.00604899387398841,0.0107510061260116,0.047,0.0428518786710126,0.0511481213289874,0.0988,0.0938914302559299,0.10370856974407,988,470,84
"VW","GLDLS",53976,10000,20,20,0,2,-0.2,-0.2,1,0.0085,0.00613516044552701,0.010864839554473,0.0525,0.0481285518417806,0.0568714481582194,0.1051,0.100055077321804,0.110144922678196,1051,525,85
"VW","GLDLS",19443977,10000,20,20,0.5,2,-0.002,-0.002,0,0.1836,0.173626819134062,0.193573180865938,0.4115,0.401854733656347,0.421145266343653,0.543,0.534805472498216,0.551194527501784,5430,4115,1836
"VW","GLDLS",2487350,10000,20,20,0.5,2,-0.002,-0.02,0,0.1727,0.162963036553294,0.182436963446706,0.4059,0.396275118899934,0.415524881100066,0.5392,0.531000316690603,0.547399683309397,5392,4059,1727
"VW","GLDLS",51259,10000,20,20,0.5,2,-0.002,-0.05,0,0.1705,0.160812398951567,0.180187601048433,0.3969,0.38731060330248,0.40648939669752,0.5281,0.51988799935704,0.53631200064296,5281,3969,1705
"VW","GLDLS",56975,10000,20,20,0.5,2,-0.002,-0.1,0,0.1673,0.157685247450085,0.176914752549915,0.381,0.371481601487645,0.390518398512355,0.5127,0.504477653648576,0.520922346351424,5127,3810,1673
"VW","GLDLS",8136398,10000,20,20,0.5,2,-0.002,-0.2,0,0.1322,0.12347487999067,0.14092512000933,0.3269,0.317706024821526,0.336093975178474,0.4587,0.45050310662374,0.46689689337626,4587,3269,1322
"VW","GLDLS",62918951,10000,20,20,1,2,-0.002,-0.002,0,0.7639,0.752960131360391,0.774839868639609,0.9196,0.914270535458941,0.924929464541059,0.9617,0.958542923559878,0.964857076440122,9617,9196,7639
"VW","GLDLS",21425106,10000,20,20,1,2,-0.002,-0.02,0,0.7509,0.739759010251232,0.762040989748768,0.9174,0.912004577447651,0.922795422552349,0.9595,0.95625723181535,0.96274276818465,9595,9174,7509
"VW","GLDLS",2858789,10000,20,20,1,2,-0.002,-0.05,0,0.7282,0.716739701695794,0.739660298304205,0.9092,0.903568440083103,0.914831559916897,0.9528,0.949311507642777,0.956288492357222,9528,9092,7282
"VW","GLDLS",604292,10000,20,20,1,2,-0.002,-0.1,0,0.694,0.682129027274633,0.705870972725367,0.8837,0.87741654721275,0.88998345278725,0.9384,0.934444965666698,0.942355034333302,9384,8837,6940
"VW","GLDLS",77032433,10000,20,20,1,2,-0.002,-0.2,0,0.6213,0.608804771914741,0.633795228085259,0.8487,0.841676515368451,0.855723484631549,0.9154,0.910822202919405,0.919977797080595,9154,8487,6213
"VW","GLDLS",62875964,10000,20,20,1.5,2,-0.002,-0.002,0,0.9887,0.985977189933863,0.991422810066137,0.9988,0.99812144358407,0.99947855641593,0.9997,0.999415120383714,0.999984879616286,9997,9988,9887
"VW","GLDLS",23228243,10000,20,20,1.5,2,-0.002,-0.02,0,0.9843,0.981097719082064,0.987502280917936,0.9985,0.997741464806354,0.999258535193646,0.9996,0.999271065806581,0.999928934193419,9996,9985,9843
"VW","GLDLS",145524,10000,20,20,1.5,2,-0.002,-0.05,0,0.9804,0.976829117617565,0.983970882382435,0.9977,0.996761098624136,0.998638901375864,0.9994,0.998997179837769,0.999802820162231,9994,9977,9804
"VW","GLDLS",2347059,10000,20,20,1.5,2,-0.002,-0.1,0,0.973,0.968824733885176,0.977175266114824,0.996,0.994762868867096,0.997237131132904,0.9981,0.997383642634591,0.998816357365409,9981,9960,9730
"VW","GLDLS",152279587,10000,20,20,1.5,2,-0.002,-0.2,0,0.9418,0.935769036583582,0.947830963416418,0.9884,0.986301294820514,0.990498705179486,0.9957,0.994623623063339,0.996776376936661,9957,9884,9418
"VW","GLDLS",94384379,10000,20,20,2,2,-0.002,-0.002,0,0.9997,0.999253890643434,1.00014610935657,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9997
"VW","GLDLS",2701629,10000,20,20,2,2,-0.002,-0.02,0,0.9998,0.999435735018296,1.0001642649817,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9998
"VW","GLDLS",176700,10000,20,20,2,2,-0.002,-0.05,0,0.9995,0.998924132909779,1.00007586709022,1,1,1,1,1,1,10000,10000,9995
"VW","GLDLS",162723875,10000,20,20,2,2,-0.002,-0.1,0,0.999,0.99818580467798,0.99981419532202,1,1,1,1,1,1,10000,10000,9990
"VW","GLDLS",485976,10000,20,20,2,2,-0.002,-0.2,0,0.9963,0.99473598185987,0.99786401814013,0.9998,0.999522841861747,1.00007715813825,1,1,1,10000,9998,9963
"VW","GLDLS",25010,10000,20,20,2.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",47102,10000,20,20,2.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",515995,10000,20,20,2.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",83131,10000,20,20,2.5,2,-0.002,-0.1,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"VW","GLDLS",329740,10000,20,20,2.5,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",853759,10000,100,100,0,2,-0.002,-0.002,1,0.0107,0.00804965901805522,0.0133503409819448,0.0534,0.0489933358750184,0.0578066641249816,0.1029,0.0979020257070514,0.107897974292949,1029,534,107
"VW","GLDLS",1205459,10000,100,100,0,2,-0.02,-0.02,1,0.009,0.00656721381654696,0.011432786183453,0.0485,0.0442895226351398,0.0527104773648602,0.097,0.0921314947286154,0.101868505271385,970,485,90
"VW","GLDLS",52252,10000,100,100,0,2,-0.05,-0.05,1,0.0112,0.00848912745672984,0.0139108725432702,0.0501,0.0458242345061498,0.0543757654938502,0.1007,0.0957496838681984,0.105650316131802,1007,501,112
"VW","GLDLS",35063,10000,100,100,0,2,-0.1,-0.1,1,0.0087,0.00630774187608109,0.0110922581239189,0.0493,0.0450567240295262,0.0535432759704738,0.1027,0.0977063286343838,0.107693671365616,1027,493,87
"VW","GLDLS",11463448,10000,100,100,0,2,-0.2,-0.2,1,0.0105,0.00787428002833509,0.0131257199716649,0.0479,0.0437143287928458,0.0520856712071542,0.0956,0.0907630107157861,0.100436989284214,956,479,105
"VW","GLDLS",176762557,10000,100,100,0.5,2,-0.002,-0.002,0,0.9121,0.904806071124861,0.919393928875139,0.9785,0.975657138406464,0.981342861593536,0.9915,0.989989844306247,0.993010155693753,9915,9785,9121
"VW","GLDLS",2103599,10000,100,100,0.5,2,-0.002,-0.02,0,0.9052,0.897653904450267,0.912746095549733,0.9738,0.970669298926822,0.976930701073178,0.9879,0.986101480792992,0.989698519207008,9879,9738,9052
"VW","GLDLS",1025113,10000,100,100,0.5,2,-0.002,-0.05,0,0.8907,0.88266248741728,0.89873751258272,0.9647,0.961083074500961,0.968316925499039,0.9859,0.983960490586005,0.987839509413995,9859,9647,8907
"VW","GLDLS",50495106,10000,100,100,0.5,2,-0.002,-0.1,0,0.8658,0.857019264254521,0.874580735745479,0.9594,0.955531710711128,0.963268289288872,0.9802,0.977908310122224,0.982491689877776,9802,9594,8658
"VW","GLDLS",510159,10000,100,100,0.5,2,-0.002,-0.2,0,0.8134,0.803364159222958,0.823435840777042,0.9341,0.929237098591335,0.938962901408665,0.9655,0.962497717264418,0.968502282735582,9655,9341,8134
"VW","GLDLS",34848031,10000,100,100,1,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",16230415,10000,100,100,1,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",12080379,10000,100,100,1,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",4822547,10000,100,100,1,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",158632903,10000,100,100,1,2,-0.002,-0.2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",25517,10000,100,100,1.5,2,-0.002,-0.002,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",217540345,10000,100,100,1.5,2,-0.002,-0.02,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",168244867,10000,100,100,1.5,2,-0.002,-0.05,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","GLDLS",34816531,10000,100,100,1.5,2,-0.002,-0.1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
