"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Logistic",310438293,10000,10,10,0,1,1,0.0075,0.00527750011023622,0.00972249988976378,0.0474,0.043235138816431,0.051564861183569,0.1005,0.0955540523305058,0.105445947669494,1005,474,75
"VW","Logistic",364241515,10000,10,10,0,3,1,0.0073,0.00510711276402639,0.00949288723597361,0.0491,0.0448648944251176,0.0533351055748824,0.1007,0.0957496838681984,0.105650316131802,1007,491,73
"VW","Logistic",94354227,10000,10,10,0,5,1,0.0076,0.00536284521817913,0.00983715478182087,0.0496,0.0453445046193892,0.0538554953806108,0.1069,0.101817179187206,0.111982820812794,1069,496,76
"VW","Logistic",243494,10000,10,10,0,2,1,0.0083,0.00596291202152422,0.0106370879784758,0.0469,0.042756076518274,0.051043923481726,0.1016,0.0966301002567859,0.106569899743214,1016,469,83
"VW","Logistic",111804243,10000,10,10,0.5,1,0,0.017,0.0136699781872186,0.0203300218127814,0.0866,0.0810875391130276,0.0921124608869723,0.1661,0.159977797287661,0.172222202712339,1661,866,170
"VW","Logistic",18989,10000,10,10,1.5,1,0,0.165,0.155438389056231,0.174561610943769,0.4198,0.410126889460282,0.429473110539718,0.5731,0.564963377188601,0.581236622811399,5731,4198,1650
"VW","Logistic",3352714,10000,10,10,2,1,0,0.3363,0.324129870453267,0.348470129546733,0.6414,0.632000046791265,0.650799953208735,0.7658,0.758833461706708,0.772766538293292,7658,6414,3363
"VW","Logistic",20125209,10000,10,10,2.5,1,0,0.5359,0.523053242644412,0.548746757355588,0.8191,0.811555267997444,0.826644732002557,0.9002,0.895269389715674,0.905130610284326,9002,8191,5359
"VW","Logistic",18582,10000,10,10,0.5,3,0,0.0066,0.00451416522232848,0.00868583477767152,0.051,0.0466880445456846,0.0553119554543154,0.1049,0.0998593165509055,0.109940683449094,1049,510,66
"VW","Logistic",18269,10000,10,10,1.5,3,0,0.0156,0.0124077715753311,0.0187922284246689,0.0885,0.0829331945570193,0.0940668054429807,0.1684,0.162244062722249,0.174555937277751,1684,885,156
