"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Normal",24109949,10000,10,10,0,1,1,0.0068,0.00468301066328241,0.00891698933671759,0.0475,0.0433309666588045,0.0516690333411955,0.1009,0.095945321442114,0.105854678557886,1009,475,68
"VW","Normal",35769274,10000,10,10,0,3,1,0.0064,0.00434580514519581,0.00845419485480419,0.0467,0.0425644877829222,0.0508355122170778,0.0991,0.0941848019356312,0.104015198064369,991,467,64
"VW","Normal",116708,10000,10,10,0,5,1,0.0068,0.00468301066328241,0.00891698933671759,0.0453,0.0412239581570352,0.0493760418429648,0.0997,0.0947715868633225,0.104628413136677,997,453,68
"VW","Normal",18691,10000,10,10,0.5,1,0,0.0415,0.0363623328369385,0.0466376671630615,0.1736,0.166176203030362,0.181023796969638,0.283,0.275589991641199,0.290410008358801,2830,1736,415
"VW","Normal",62952,10000,10,10,1.5,1,0,0.5983,0.585671368932274,0.610928631067726,0.862,0.85523996028414,0.86876003971586,0.9311,0.926933478026462,0.935266521973538,9311,8620,5983
"VW","Normal",54147924,10000,10,10,2,1,0,0.8838,0.875544831898098,0.892055168101902,0.9834,0.980895764214296,0.985904235785704,0.9949,0.99372823450342,0.99607176549658,9949,9834,8838
"VW","Normal",81740866,10000,10,10,2.5,1,0,0.9843,0.981097719082064,0.987502280917936,0.9992,0.998645850076604,0.999754149923396,0.9997,0.999415120383714,0.999984879616286,9997,9992,9843
"VW","Normal",400777,10000,10,10,0.5,3,0,0.0097,0.00717526898390819,0.0122247310160918,0.0612,0.0565019425536079,0.0658980574463921,0.1227,0.117302877837423,0.128097122162577,1227,612,97
"VW","Normal",2103363,10000,10,10,1.5,3,0,0.0449,0.0395655032887231,0.0502344967112769,0.1736,0.166176203030362,0.181023796969638,0.2834,0.275986825432037,0.290813174567963,2834,1736,449
"VW","Normal",16693267,10000,10,10,2,3,0,0.0852,0.0780083468396692,0.0923916531603308,0.2754,0.266644373961024,0.284155626038976,0.4157,0.407592744543326,0.423807255456674,4157,2754,852
"VW","Normal",865200,10000,10,10,2.5,3,0,0.1461,0.137001402078523,0.155198597921477,0.3976,0.388007722353977,0.407192277646023,0.545,0.536808378979866,0.553191621020134,5450,3976,1461
"VW","Normal",32233780,10000,10,10,0.5,5,0,0.0086,0.00622141025800917,0.0109785897419908,0.0539,0.0494739228964692,0.0583260771035308,0.1118,0.106616272199671,0.116983727800329,1118,539,86
"VW","Normal",559100,10000,10,10,1.5,5,0,0.0167,0.0133989879183596,0.0200010120816404,0.0935,0.0877938158774887,0.0992061841225113,0.1713,0.165102118718725,0.177497881281275,1713,935,167
"VW","Normal",588086,10000,10,10,2,5,0,0.0281,0.0238429396232536,0.0323570603767464,0.1302,0.12360414248838,0.13679585751162,0.2276,0.220702794534045,0.234497205465955,2276,1302,281
"VW","Normal",40124,10000,10,10,2.5,5,0,0.0448,0.0394711680741746,0.0501288319258254,0.1779,0.170404400570041,0.185395599429959,0.2935,0.286009237318912,0.300990762681088,2935,1779,448
"VW","Normal",40914,10000,10,10,1,1,0,0.2328,0.221913415602549,0.243686584397451,0.5347,0.524923628649361,0.544476371350639,0.6743,0.666590941143384,0.682009058856616,6743,5347,2328
"VW","Normal",19585,10000,10,10,1,3,0,0.0208,0.0171236806630631,0.0244763193369369,0.0991,0.0932435937956457,0.104956406204354,0.1839,0.177527226900636,0.190272773099364,1839,991,208
"VW","Normal",124304798,10000,10,10,1,5,0,0.011,0.00831316902087236,0.0136868309791276,0.0658,0.0609405295044007,0.0706594704955993,0.1273,0.121817071379019,0.132782928620981,1273,658,110
"VW","Normal",250905,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Normal",25999,10000,10,10,5,3,0,0.7195,0.707927486645607,0.731072513354393,0.9265,0.921385273063007,0.931614726936993,0.9699,0.967089312063039,0.97271068793696,9699,9265,7195
"VW","Normal",2038432,10000,10,10,5,5,0,0.2326,0.221716674675182,0.243483325324818,0.5295,0.519717071769659,0.539282928230341,0.6701,0.662365595720485,0.677834404279515,6701,5295,2326
"VW","Normal",15942213,10000,20,20,0,1,1,0.0088,0.00639415390545114,0.0112058460945489,0.0464,0.0422771438435958,0.0505228561564042,0.098,0.0931091740380586,0.102890825961941,980,464,88
"VW","Normal",259355737,10000,20,20,0,3,1,0.008,0.00570519024021598,0.010294809759784,0.0469,0.042756076518274,0.051043923481726,0.0981,0.0932069506108179,0.102993049389182,981,469,80
"VW","Normal",4098308,10000,20,20,0,5,1,0.0086,0.00622141025800917,0.0109785897419908,0.0511,0.0467840466213825,0.0554159533786175,0.1014,0.0964344416810292,0.106365558318971,1014,511,86
"VW","Normal",1095063,10000,20,20,0.5,1,0,0.1288,0.120170955203532,0.137429044796468,0.3326,0.323365565717468,0.341834434282532,0.4652,0.456994945792476,0.473405054207524,4652,3326,1288
"VW","Normal",1484340,10000,20,20,1.5,1,0,0.9682,0.963679963333359,0.972720036666641,0.9954,0.99407372432187,0.99672627567813,0.9987,0.998107272464133,0.999292727535867,9987,9954,9682
"VW","Normal",23202,10000,20,20,2,1,0,0.9995,0.998924132909779,1.00007586709022,0.9999,0.999704009800245,1.00009599019976,1,1,1,10000,9999,9995
"VW","Normal",111108,10000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Normal",237439786,10000,20,20,0.5,3,0,0.0176,0.0142127568787251,0.0209872431212749,0.0765,0.071290389684439,0.081709610315561,0.139,0.133309179619993,0.144690820380007,1390,765,176
"VW","Normal",177157,10000,20,20,1.5,3,0,0.1219,0.113472093670474,0.130327906329526,0.3185,0.309368466435478,0.327631533564522,0.4502,0.442015898340325,0.458384101659675,4502,3185,1219
"VW","Normal",1866740,10000,20,20,2,3,0,0.2628,0.251461614926013,0.274138385073987,0.5339,0.524122550461066,0.543677449538934,0.6623,0.654520372369273,0.670079627630727,6623,5339,2628
"VW","Normal",193542,10000,20,20,2.5,3,0,0.4428,0.430004560176953,0.455595439823047,0.7158,0.706959762045194,0.724640237954806,0.8168,0.810436639885218,0.823163360114782,8168,7158,4428
"VW","Normal",17671002,10000,20,20,0.5,5,0,0.0123,0.00946070223032243,0.0151392977696776,0.0589,0.0542854260991507,0.0635145739008494,0.1121,0.10691019862731,0.11728980137269,1121,589,123
"VW","Normal",3178296,10000,20,20,1.5,5,0,0.0381,0.0331685650485823,0.0430314349514177,0.1453,0.138392900210247,0.152207099789753,0.2399,0.23287548421854,0.24692451578146,2399,1453,381
"VW","Normal",391958,10000,20,20,2,5,0,0.0763,0.0694612992606888,0.0831387007393112,0.2312,0.22293664,0.23946336,0.35,0.342153850068346,0.357846149931654,3500,2312,763
"VW","Normal",1072927,10000,20,20,2.5,5,0,0.1198,0.11143501917386,0.12816498082614,0.325,0.315819852942354,0.334180147057646,0.4563,0.448106474622498,0.464493525377502,4563,3250,1198
"VW","Normal",21652529,10000,20,20,1,1,0,0.6338,0.621389732402939,0.646210267597061,0.8601,0.853301088275437,0.866898911724563,0.9231,0.918717181888331,0.927482818111669,9231,8601,6338
"VW","Normal",73850,10000,20,20,1,3,0,0.0486,0.0430608188681084,0.0541391811318916,0.1664,0.15910018951435,0.17369981048565,0.2699,0.262597719374813,0.277202280625187,2699,1664,486
"VW","Normal",698994,10000,20,20,1,5,0,0.0232,0.019322135083248,0.027077864916752,0.0967,0.0909072429623192,0.102492757037681,0.1652,0.159091112265854,0.171308887734146,1652,967,232
"VW","Normal",105551553,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Normal",306096109,10000,20,20,5,3,0,0.9907,0.988227374097568,0.993172625902432,0.9993,0.998781614273345,0.999818385726655,0.9998,0.999567385133966,1.00003261486603,9998,9993,9907
"VW","Normal",16963745,10000,20,20,5,5,0,0.6319,0.619476243091944,0.644323756908056,0.8572,0.850342572002157,0.864057427997843,0.9224,0.917998948910817,0.926801051089183,9224,8572,6319
"VW","Normal",54663,10000,100,100,0,1,1,0.01,0.00743691236201335,0.0125630876379867,0.0484,0.0441936445525372,0.0526063554474628,0.0997,0.0947715868633225,0.104628413136677,997,484,100
"VW","Normal",238091,10000,100,100,0,3,1,0.0122,0.00937212450238417,0.0150278754976158,0.0557,0.0512049071820929,0.0601950928179071,0.1005,0.0955540523305058,0.105445947669494,1005,557,122
"VW","Normal",1162857,10000,100,100,0,5,1,0.0089,0.00648064499126234,0.0113193550087377,0.0484,0.0441936445525372,0.0526063554474628,0.1003,0.0953584268450447,0.105241573154955,1003,484,89
"VW","Normal",1442861,10000,100,100,0.5,1,0,0.8246,0.814803243393674,0.834396756606326,0.9414,0.93679645941406,0.94600354058594,0.9715,0.968762779809848,0.974237220190152,9715,9414,8246
"VW","Normal",804231,10000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Normal",6633271,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","Normal",798504,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
