"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","Normal2Var",35819,10000,10,10,0.5,1,3,0,0.0176,0.0142127568787251,0.0209872431212749,0.0743,0.0691597338044027,0.0794402661955973,0.1368,0.131147186375759,0.142452813624241,1368,743,176
"VW","Normal2Var",207282187,10000,10,10,1.5,1,3,0,0.0789,0.0719555516613122,0.0858444483386878,0.2429,0.234494830965745,0.251305169034255,0.3626,0.354691650908875,0.370508349091125,3626,2429,789
"VW","Normal2Var",72357064,10000,10,10,2,1,3,0,0.1761,0.166287881418618,0.185912118581382,0.4048,0.395179275362344,0.414420724637656,0.5451,0.536908527799658,0.553291472200342,5451,4048,1761
"VW","Normal2Var",103951846,10000,10,10,2.5,1,3,0,0.2852,0.273569111531336,0.296830888468664,0.5613,0.551573929580267,0.571026070419733,0.6911,0.683499445054736,0.698700554945264,6911,5613,2852
"VW","Normal2Var",67331,10000,10,10,0.5,3,5,0,0.0099,0.00734963120325236,0.0124503687967476,0.053,0.0486089437990388,0.0573910562009612,0.1037,0.0986848724989513,0.108715127501049,1037,530,99
"VW","Normal2Var",28423907,10000,10,10,1.5,3,5,0,0.0253,0.0212547850620745,0.0293452149379255,0.1117,0.10552605880028,0.11787394119972,0.1981,0.19154355765106,0.20465644234894,1981,1117,253
"VW","Normal2Var",77031257,10000,10,10,2,3,5,0,0.0437,0.0384339660452048,0.0489660339547952,0.1636,0.156349720766315,0.170850279233685,0.2648,0.257541821545429,0.272058178454571,2648,1636,437
"VW","Normal2Var",434296,10000,10,10,2.5,3,5,0,0.0717,0.0650541641254139,0.0783458358745861,0.2356,0.22728228465368,0.24391771534632,0.3529,0.345039006604889,0.360760993395111,3529,2356,717
"VW","Normal2Var",5128120,10000,10,10,0.5,1,5,0,0.0143,0.0112416565437191,0.0173583434562809,0.0642,0.0593958660741399,0.0690041339258601,0.1184,0.113085314814817,0.123714685185183,1184,642,143
"VW","Normal2Var",25133918,10000,10,10,1.5,1,5,0,0.0371,0.0322311834994956,0.0419688165005044,0.1229,0.116464881208991,0.129335118791009,0.2051,0.198457906559,0.211742093441,2051,1229,371
"VW","Normal2Var",79277787,10000,10,10,2,1,5,0,0.0609,0.0547395785370363,0.0670604214629637,0.1853,0.177684601411246,0.192915398588754,0.2824,0.27499475445582,0.28980524554418,2824,1853,609
"VW","Normal2Var",100565,10000,10,10,2.5,1,5,0,0.1041,0.0962331477839898,0.11196685221601,0.2684,0.259714712970178,0.277085287029822,0.3858,0.377792408313862,0.393807591686138,3858,2684,1041
"VW","Normal2Var",99145275,10000,10,10,1,1,3,0,0.0356,0.0308269118117445,0.0403730881882555,0.1339,0.127225321079902,0.140574678920098,0.2186,0.211801271717512,0.225398728282488,2186,1339,356
"VW","Normal2Var",202631292,10000,10,10,1,3,5,0,0.0155,0.0123178579098978,0.0186821420901022,0.0767,0.0714841490648601,0.0819158509351399,0.1451,0.139306283143873,0.150893716856127,1451,767,155
"VW","Normal2Var",32285,10000,10,10,1,1,5,0,0.0215,0.0177636676199246,0.0252363323800754,0.0856,0.0801164594118034,0.0910835405881966,0.1516,0.145700491477453,0.157499508522547,1516,856,215
"VW","Normal2Var",38819708,10000,10,10,5,1,3,0,0.8967,0.888859936065061,0.904540063934939,0.9819,0.979287062698341,0.984512937301659,0.993,0.991628519785961,0.994371480214039,9930,9819,8967
"VW","Normal2Var",1660832,10000,10,10,5,3,5,0,0.367,0.354584027390752,0.379415972609248,0.6812,0.672066177925447,0.690333822074554,0.7993,0.792711379472547,0.805888620527453,7993,6812,3670
"VW","Normal2Var",135423,10000,10,10,5,1,5,0,0.4508,0.437982507362267,0.463617492637733,0.7217,0.712916026292298,0.730483973707702,0.8179,0.811551502114439,0.824248497885561,8179,7217,4508
"VW","Normal2Var",2975974,10000,20,20,0.5,1,3,0,0.0182,0.0147565556668103,0.0216434443331897,0.081,0.0756524317451761,0.0863475682548239,0.1459,0.140093052372634,0.151706947627366,1459,810,182
"VW","Normal2Var",46596,10000,20,20,1.5,1,3,0,0.2053,0.194895003465968,0.215704996534032,0.4439,0.434161880684321,0.453638119315679,0.5791,0.570978576690507,0.587221423309493,5791,4439,2053
