"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","ghEqual",39809,10000,10,10,0,3,1,1,0,1,0.0074,0.00519225528409102,0.00960774471590898,0.0495,0.0452485729501731,0.0537514270498269,0.1047,0.0996635614973699,0.10973643850263,1047,495,74
"VW","ghEqual",20330121,10000,10,10,0,3,3,3,0,1,0.0099,0.00734963120325236,0.0124503687967476,0.0501,0.0458242345061498,0.0543757654938502,0.1022,0.0972171117126811,0.107182888287319,1022,501,99
"VW","ghEqual",32325,10000,10,10,0,3,-3,-3,0,1,0.0074,0.00519225528409102,0.00960774471590898,0.0514,0.0470720803327234,0.0557279196672767,0.1047,0.0996635614973699,0.10973643850263,1047,514,74
"VW","ghEqual",32567178,10000,10,10,0,3,-1,-1,0,1,0.0086,0.00622141025800917,0.0109785897419908,0.0499,0.0456323282977249,0.0541676717022751,0.0994,0.09447818749005,0.10432181250995,994,499,86
"VW","ghEqual",188330095,10000,10,10,0.5,3,1,1,0,0,0.014,0.0109734466483473,0.0170265533516527,0.0784,0.07313152,0.08366848,0.1509,0.1450116998092,0.1567883001908,1509,784,140
"VW","ghEqual",541031,10000,10,10,0.5,3,3,3,0,0,0.0294,0.0250484931913573,0.0337515068086427,0.1385,0.131729689309936,0.145270310690064,0.2337,0.226738630738369,0.240661369261631,2337,1385,294
"VW","ghEqual",1039382,10000,10,10,0.5,3,1,3,0,0,0.0508,0.0451433855370605,0.0564566144629395,0.1974,0.189598480053323,0.205201519946677,0.3118,0.304179889101339,0.319420110898662,3118,1974,508
"VW","ghEqual",270898,10000,10,10,0.5,3,-1,1,0,0,0.0509,0.0452381190088325,0.0565618809911675,0.2333,0.225010541295259,0.241589458704741,0.3703,0.362356541975262,0.378243458024738,3703,2333,509
"VW","ghEqual",31042501,10000,10,10,0.5,3,-3,3,0,0,0.1741,0.164331925184247,0.183868074815753,0.4825,0.472706004339392,0.492293995660608,0.629,0.62105345806042,0.63694654193958,6290,4825,1741
"VW","ghEqual",64854689,10000,10,10,0.5,3,-1,3,0,0,0.1086,0.100585118859977,0.116614881140023,0.3716,0.362128647239681,0.381071352760319,0.5185,0.510280631940692,0.526719368059308,5185,3716,1086
"VW","ghEqual",68911484,10000,10,10,0.5,3,1,-3,0,0,0.0254,0.0213470063760741,0.0294529936239259,0.1383,0.131533794125391,0.145066205874609,0.2415,0.234459520109085,0.248540479890915,2415,1383,254
"VW","ghEqual",12080047,10000,10,10,1,3,1,1,0,0,0.0351,0.0303593207742957,0.0398406792257043,0.1462,0.139275190462576,0.153124809537424,0.2518,0.244659927574044,0.258940072425956,2518,1462,351
"VW","ghEqual",1451875,10000,10,10,1,3,3,3,0,0,0.0722,0.0655328282710271,0.0788671717289729,0.2382,0.22985075059891,0.24654924940109,0.3675,0.35956905681149,0.37543094318851,3675,2382,722
"VW","ghEqual",2210688,10000,10,10,1,3,1,3,0,0,0.0926,0.0851329211134056,0.100067078886594,0.3017,0.29270368305485,0.31069631694515,0.4409,0.432732658824197,0.449067341175803,4409,3017,926
"VW","ghEqual",22244934,10000,10,10,1,3,-1,1,0,0,0.1121,0.103972991892979,0.120227008107021,0.3695,0.360039679753835,0.378960320246165,0.5256,0.517385787746497,0.533814212253503,5256,3695,1121
"VW","ghEqual",254831,10000,10,10,1,3,-3,3,0,0,0.3349,0.322742426428624,0.347057573571376,0.6799,0.670756311361469,0.689043688638531,0.8078,0.801318216538336,0.814281783461664,8078,6799,3349
"VW","ghEqual",33364388,10000,10,10,1,3,-1,3,0,0,0.2051,0.194698764313668,0.215501235686332,0.537,0.527226869234478,0.546773130765522,0.6843,0.676654137858307,0.691945862141693,6843,5370,2051
"VW","ghEqual",52448,10000,10,10,1,3,1,-3,0,0,0.0121,0.00928359545455842,0.0149164045454416,0.0776,0.0723561944469307,0.0828438055530693,0.1613,0.155249567677283,0.167350432322717,1613,776,121
"VW","ghEqual",581802,10000,10,10,1.5,3,1,1,0,0,0.0728,0.0661073477475357,0.0794926522524643,0.2567,0.248138476125268,0.265261523874732,0.3893,0.381279119164969,0.397320880835031,3893,2567,728
"VW","ghEqual",70820,10000,10,10,1.5,3,3,3,0,0,0.1234,0.114927644476219,0.131872355523781,0.3503,0.34094954868332,0.35965045131668,0.4843,0.476079055760451,0.492520944239549,4843,3503,1234
"VW","ghEqual",1929870,10000,10,10,1.5,3,1,3,0,0,0.1606,0.151141917202051,0.170058082797949,0.4164,0.406737954609587,0.426062045390413,0.5616,0.55343765918516,0.56976234081484,5616,4164,1606
"VW","ghEqual",334377347,10000,10,10,1.5,3,-1,1,0,0,0.2251,0.214341383261208,0.235858616738792,0.5584,0.548667076530127,0.568132923469873,0.7029,0.695382663348434,0.710417336651566,7029,5584,2251
"VW","ghEqual",46504,10000,10,10,1.5,3,-3,3,0,0,0.707,0.695275633773308,0.718724366226692,0.9289,0.923862960539523,0.933937039460477,0.9684,0.965522357533049,0.971277642466951,9684,9289,7070
"VW","ghEqual",68554,10000,10,10,1.5,3,-1,3,0,0,0.3785,0.36600606140665,0.39099393859335,0.7231,0.714329653941696,0.731870346058303,0.8361,0.830010459954481,0.842189540045519,8361,7231,3785
"VW","ghEqual",65277098,10000,10,10,1.5,3,1,-3,0,0,0.0073,0.00510711276402639,0.00949288723597361,0.0575,0.0529372079819479,0.0620627920180521,0.1202,0.114850537900321,0.125549462099679,1202,575,73
"VW","ghEqual",319241,10000,10,10,2,3,1,1,0,0,0.1305,0.121822674122888,0.139177325877112,0.3768,0.367302151437215,0.386297848562785,0.5232,0.51498385881874,0.53141614118126,5232,3768,1305
"VW","ghEqual",127294507,10000,10,10,2,3,3,3,0,0,0.1698,0.160128227640515,0.179471772359485,0.4304,0.420695409978036,0.440104590021964,0.5697,0.56155530763621,0.57784469236379,5697,4304,1698
"VW","ghEqual",292928,10000,10,10,2,3,1,3,0,0,0.2394,0.228407762778176,0.250392237221825,0.5378,0.528028045393802,0.547571954606198,0.6753,0.667597079396698,0.683002920603302,6753,5378,2394
"VW","ghEqual",492004,10000,10,10,2,3,-1,1,0,0,0.3873,0.374751449945715,0.399848550054285,0.7365,0.727865588216908,0.745134411783092,0.846,0.840062393065384,0.851937606934616,8460,7365,3873
"VW","ghEqual",3081033,10000,10,10,2,3,-3,3,0,0,0.997,0.995591184681514,0.998408815318486,1,1,1,1,1,1,10000,10000,9970
"VW","ghEqual",43490,10000,10,10,2,3,-1,3,0,0,0.6092,0.596630931776463,0.621769068223537,0.8758,0.869335732204062,0.882264267795938,0.938,0.934032991178482,0.941967008821518,9380,8758,6092
"VW","ghEqual",762632,10000,10,10,2,3,1,-3,0,0,0.0085,0.00613516044552701,0.010864839554473,0.0505,0.0462081034541825,0.0547918965458175,0.1073,0.102208819076798,0.112391180923202,1073,505,85
"VW","ghEqual",22791,10000,10,10,2.5,3,1,1,0,0,0.2084,0.197937207587429,0.218862792412571,0.499,0.48920001960002,0.50879998039998,0.6409,0.63300833319368,0.64879166680632,6409,4990,2084
"VW","ghEqual",9269864,10000,10,10,2.5,3,3,3,0,0,0.2329,0.222011787346218,0.243788212653782,0.5195,0.509707455736122,0.529292544263878,0.6654,0.657638060222399,0.673161939777601,6654,5195,2329
"VW","ghEqual",44773,10000,10,10,2.5,3,1,3,0,0,0.3264,0.314321250544369,0.338478749455631,0.6434,0.634011693294827,0.652788306705173,0.767,0.7600458901808,0.7739541098192,7670,6434,3264
"VW","ghEqual",46974,10000,10,10,2.5,3,-1,1,0,0,0.5989,0.586274477906118,0.611525522093882,0.8807,0.874346832707885,0.887053167292115,0.9426,0.93877364230539,0.94642635769461,9426,8807,5989
"VW","ghEqual",1269496,10000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"VW","ghEqual",1137546,10000,10,10,2.5,3,-1,3,0,0,0.8578,0.84880318732868,0.86679681267132,0.9768,0.973849450606819,0.979750549393181,0.9917,0.990207566100702,0.993192433899298,9917,9768,8578
"VW","ghEqual",38641,10000,10,10,2.5,3,1,-3,0,0,0.0187,0.0152104649781015,0.0221895350218985,0.0678,0.0628725132221791,0.0727274867778209,0.1257,0.120246644871753,0.131153355128247,1257,678,187
"VW","ghEqual",19577,10000,20,20,0,3,1,1,0,1,0.0084,0.00604899387398841,0.0107510061260116,0.0485,0.0442895226351398,0.0527104773648602,0.1023,0.0973149521453877,0.107285047854612,1023,485,84
"VW","ghEqual",2727011,10000,20,20,0,3,3,3,0,1,0.0082,0.00587691641085044,0.0105230835891496,0.0473,0.0431393160810271,0.0514606839189729,0.0998,0.0948693897156741,0.104730610284326,998,473,82
"VW","ghEqual",367075498,10000,20,20,0,3,-3,-3,0,1,0.0092,0.00674057959837363,0.0116594204016264,0.0492,0.0449608068058179,0.0534391931941821,0.0992,0.0942825955815695,0.104117404418431,992,492,92
"VW","ghEqual",4583792,10000,20,20,0,3,-1,-1,0,1,0.0076,0.00536284521817913,0.00983715478182087,0.0483,0.0440977714272543,0.0525022285727457,0.0997,0.0947715868633225,0.104628413136677,997,483,76
"VW","ghEqual",193426,10000,20,20,0.5,3,1,1,0,0,0.0297,0.0253270239476055,0.0340729760523945,0.1236,0.117149156718196,0.130050843281804,0.2103,0.20359626855917,0.21700373144083,2103,1236,297
"VW","ghEqual",9777106,10000,20,20,0.5,3,3,3,0,0,0.0883,0.0809910971735605,0.0956089028264396,0.2472,0.238744873496771,0.255655126503229,0.3721,0.364148648016974,0.380051351983026,3721,2472,883
"VW","ghEqual",162084380,10000,20,20,0.5,3,1,3,0,0,0.1494,0.140217015598398,0.158582984401602,0.3791,0.369590804120726,0.388609195879274,0.5148,0.506578603997593,0.523021396002407,5148,3791,1494
"VW","ghEqual",992783,10000,20,20,0.5,3,-1,1,0,0,0.2176,0.206971065638615,0.228228934361385,0.4935,0.48370082813499,0.50329917186501,0.6287,0.620752141856023,0.636647858143977,6287,4935,2176
"VW","ghEqual",6342847,10000,20,20,0.5,3,-3,3,0,0,0.5599,0.547112761168437,0.572687238831563,0.8226,0.815112665571887,0.830087334428113,0.9022,0.897313625589059,0.907086374410941,9022,8226,5599
"VW","ghEqual",5820249,10000,20,20,0.5,3,-1,3,0,0,0.4131,0.400416021099037,0.425783978900963,0.6964,0.687387685553289,0.705412314446711,0.8092,0.802736272715809,0.815663727284191,8092,6964,4131
"VW","ghEqual",1502172,10000,20,20,0.5,3,1,-3,0,0,0.1004,0.0926582803809758,0.108141719619024,0.3034,0.29438936091554,0.31241063908446,0.4422,0.434030141657048,0.450369858342952,4422,3034,1004
"VW","ghEqual",211597699,10000,20,20,1,3,1,1,0,0,0.1069,0.0989405188974115,0.114859481102589,0.2967,0.287746658428408,0.305653341571592,0.4278,0.41966120294737,0.43593879705263,4278,2967,1069
"VW","ghEqual",329147446,10000,20,20,1,3,3,3,0,0,0.2239,0.213161793603068,0.234638206396932,0.4777,0.467909751735855,0.487490248264145,0.6026,0.594550027489047,0.610649972510953,6026,4777,2239
"VW","ghEqual",33088,10000,20,20,1,3,1,3,0,0,0.301,0.289184075852376,0.312815924147624,0.5701,0.560396792596342,0.579803207403658,0.7024,0.694879016824271,0.709920983175729,7024,5701,3010
"VW","ghEqual",30306017,10000,20,20,1,3,-1,1,0,0,0.4317,0.418940733426661,0.444459266573339,0.7185,0.709685277245426,0.727314722754574,0.8318,0.82564697958496,0.83795302041504,8318,7185,4317
"VW","ghEqual",404052,10000,20,20,1,3,-3,3,0,0,0.8197,0.809796899428098,0.829603100571902,0.9533,0.949164487782922,0.957435512217078,0.9783,0.975903200000256,0.980696799999744,9783,9533,8197
"VW","ghEqual",42897,10000,20,20,1,3,-1,3,0,0,0.6524,0.640132877031633,0.664667122968366,0.874,0.867495752477035,0.880504247522965,0.9349,0.930841748326068,0.938958251673932,9349,8740,6524
