"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"VW","ghEqualK",25588,10000,10,10,0,3,1,1,0.2,1,0.0077,0.00544828864991625,0.00995171135008375,0.0492,0.0449608068058179,0.0534391931941821,0.0994,0.09447818749005,0.10432181250995,994,492,77
"VW","ghEqualK",143607,10000,10,10,0,3,3,3,0.2,1,0.0071,0.00493714308998861,0.00926285691001139,0.0447,0.0406497696675868,0.0487502303324132,0.1008,0.0958475019016258,0.105752498098374,1008,447,71
"VW","ghEqualK",315636691,10000,10,10,0,3,-3,-3,0.2,1,0.007,0.00485232034567536,0.00914767965432464,0.0511,0.0467840466213825,0.0554159533786175,0.1059,0.100838177292025,0.110961822707975,1059,511,70
"VW","ghEqualK",56890,10000,10,10,0,3,-1,-1,0.2,1,0.0068,0.00468301066328241,0.00891698933671759,0.0471,0.0429476859927987,0.0512523140072013,0.1005,0.0955540523305058,0.105445947669494,1005,471,68
"VW","ghEqualK",21543,10000,10,10,0.5,3,1,1,0.2,0,0.0095,0.00700118041435561,0.0119988195856444,0.0667,0.0618097662205575,0.0715902337794424,0.1327,0.127119333923914,0.138280666076086,1327,667,95
"VW","ghEqualK",107323921,10000,10,10,0.5,3,3,3,0.2,0,0.0227,0.0188631684141083,0.0265368315858917,0.1104,0.1042576014087,0.1165423985913,0.1932,0.186705400001509,0.199694599998491,1932,1104,227
"VW","ghEqualK",651743,10000,10,10,0.5,3,1,3,0.2,0,0.0386,0.0336376022651238,0.0435623977348762,0.1603,0.153109072517011,0.167490927482989,0.2675,0.260218319657567,0.274781680342433,2675,1603,386
"VW","ghEqualK",18340277,10000,10,10,0.5,3,-1,1,0.2,0,0.0382,0.0332623542712163,0.0431376457287837,0.1856,0.177979842640575,0.193220157359425,0.3048,0.297227692087719,0.312372307912281,3048,1856,382
"VW","ghEqualK",2055911,10000,10,10,0.5,3,-3,3,0.2,0,0.1409,0.131937622869632,0.149862377130368,0.433,0.423288382948242,0.442711617051758,0.5897,0.58160844063664,0.59779155936336,5897,4330,1409
"VW","ghEqualK",1000488,10000,10,10,0.5,3,-1,3,0.2,0,0.086,0.0787778220964587,0.0932221779035413,0.3125,0.303415156853308,0.321584843146692,0.4623,0.45409841354537,0.47050158645463,4623,3125,860
