"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","Cauchy",157278550,10000,10,10,0,1,1,1,0.0075,0.00527750011023622,0.00972249988976378,0.0465,0.0423729199135466,0.0506270800864534,0.0879,0.0832421921585391,0.0925578078414609,879,465,75
"WMW_Asymp","Cauchy",82332,10000,10,10,0,0.5,0.5,1,0.007,0.00485232034567536,0.00914767965432464,0.0404,0.0365408480964854,0.0442591519035146,0.0873,0.0826565898175183,0.0919434101824817,873,404,70
"WMW_Asymp","Cauchy",248755,10000,10,10,0,2,2,1,0.0071,0.00493714308998861,0.00926285691001139,0.0425,0.0385461523802756,0.0464538476197244,0.0894,0.0847064820333677,0.0940935179666323,894,425,71
"WMW_Asymp","Cauchy",22263759,10000,10,10,0.5,1,1,0,0.019,0.015483123134598,0.022516876865402,0.0794,0.0741009037504118,0.0846990962495882,0.1455,0.139699660253539,0.151300339746461,1455,794,190
"WMW_Asymp","Cauchy",148944,10000,10,10,0.5,0.5,0.5,0,0.0583,0.0522641780335122,0.0643358219664877,0.1926,0.18487090606873,0.20032909393127,0.2971,0.289582663348434,0.304617336651566,2971,1926,583
"WMW_Asymp","Cauchy",124406840,10000,10,10,0.5,2,2,0,0.0093,0.00682737409756834,0.0117726259024317,0.053,0.0486089437990388,0.0573910562009612,0.1012,0.0962387890860799,0.10616121091392,1012,530,93
"WMW_Asymp","Cauchy",38911167,10000,10,10,0.5,0.5,2,0,0.0173,0.0139412367841576,0.0206587632158424,0.0806,0.0752644911824269,0.0859355088175731,0.1417,0.135963191094452,0.147436808905548,1417,806,173
"WMW_Asymp","Cauchy",946225,10000,10,10,0.5,1,2,0,0.0125,0.00963800139762438,0.0153619986023756,0.0613,0.0565983562651345,0.0660016437348655,0.1168,0.111516559099375,0.122083440900625,1168,613,125
"WMW_Asymp","Cauchy",155607642,10000,10,10,1,1,1,0,0.0555,0.0496021553176097,0.0613978446823903,0.1869,0.179259307838788,0.194540692161212,0.2892,0.281741718755343,0.296658281244657,2892,1869,555
"WMW_Asymp","Cauchy",244724,10000,10,10,1,0.5,0.5,0,0.2272,0.216405971040412,0.237994028959588,0.4769,0.467110464342861,0.486689535657139,0.5971,0.589031587908208,0.605168412091792,5971,4769,2272
"WMW_Asymp","Cauchy",340741,10000,10,10,1,2,2,0,0.0175,0.0141222215347954,0.0208777784652046,0.0795,0.0741978558337216,0.0848021441662784,0.1377,0.132031579428732,0.143368420571268,1377,795,175
