"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","Exp",40853581,10000,10,10,0,1,1,0.0055,0.00359484814841441,0.00740515185158559,0.0403,0.0364454264067734,0.0441545735932266,0.0864,0.0817783099236751,0.0910216900763249,864,403,55
"WMW_Asymp","Exp",202603,10000,10,10,0,0.5,1,0.0069,0.00476760873419909,0.00903239126580091,0.0476,0.0434267995928305,0.0517732004071695,0.0932,0.0884177793086893,0.0979822206913107,932,476,69
"WMW_Asymp","Exp",1963621,10000,10,10,0,0.25,1,0.0081,0.00579100861117587,0.0104089913888241,0.0439,0.0398844966683615,0.0479155033316385,0.088,0.0833397989056265,0.0926602010943735,880,439,81
"WMW_Asymp","Exp",277689475,10000,10,10,0,0.125,1,0.0074,0.00519225528409102,0.00960774471590898,0.0427,0.0387372740551989,0.0466627259448011,0.0865,0.0818758891996001,0.0911241108003999,865,427,74
"WMW_Asymp","Exp",3075989,10000,10,10,0.5,1,0,0.1084,0.100391604190817,0.116408395809183,0.3029,0.293893558149058,0.311906441850942,0.4316,0.42345232579397,0.43974767420603,4316,3029,1084
"WMW_Asymp","Exp",226435451,10000,10,10,0.5,0.5,0,0.0268,0.0226397990788213,0.0309602009211787,0.1167,0.110407175577088,0.122992824422912,0.1967,0.190161065821651,0.203238934178349,1967,1167,268
"WMW_Asymp","Exp",107445311,10000,10,10,0.5,0.25,0,0.0136,0.0106163914386931,0.0165836085613069,0.0628,0.058044983446338,0.067555016553662,0.1112,0.106028454870892,0.116371545129108,1112,628,136
"WMW_Asymp","Exp",25686016,10000,10,10,0.5,0.125,0,0.0063,0.00426181416817406,0.00833818583182594,0.0467,0.0425644877829222,0.0508355122170778,0.0993,0.0943803907670654,0.104219609232935,993,467,63
"WMW_Asymp","Exp",156938624,10000,10,10,1,1,0,0.4291,0.416350148177938,0.441849851822062,0.71,0.701106263777242,0.718893736222758,0.8096,0.803141455978814,0.816058544021186,8096,7100,4291
"WMW_Asymp","Exp",626964,10000,10,10,1,0.5,0,0.1058,0.0978767013615833,0.113723298638417,0.3093,0.3002407809828,0.3183592190172,0.4419,0.433730717504274,0.450069282495726,4419,3093,1058
