"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","GLDLS",36633968,10000,10,10,0,2,-0.002,-0.002,1,0.0056,0.00367770325743812,0.00752229674256188,0.0387,0.0349195715309505,0.0424804284690495,0.0851,0.080509949157256,0.089690050842744,851,387,56
"WMW_Asymp","GLDLS",712553,10000,10,10,0,2,-0.02,-0.02,1,0.0085,0.00613516044552701,0.010864839554473,0.0431,0.0391195883953541,0.0470804116046459,0.0912,0.0864641549917253,0.0959358450082747,912,431,85
"WMW_Asymp","GLDLS",82804166,10000,10,10,0,2,-0.05,-0.05,1,0.0058,0.00384387440854734,0.00775612559145266,0.0448,0.0407454539694807,0.0488545460305193,0.0897,0.0849993881057063,0.0944006118942937,897,448,58
"WMW_Asymp","GLDLS",572010,10000,10,10,0,2,-0.1,-0.1,1,0.0057,0.0037607133569851,0.0076392866430149,0.0411,0.0372089784006768,0.0449910215993232,0.0845,0.0799246593843327,0.0890753406156673,845,411,57
"WMW_Asymp","GLDLS",24892,10000,10,10,0,2,-0.2,-0.2,1,0.0065,0.00442992313031617,0.00857007686968383,0.0423,0.0383550545816704,0.0462449454183296,0.0836,0.0790468539501132,0.0881531460498868,836,423,65
"WMW_Asymp","GLDLS",324805520,10000,10,10,0.5,2,-0.002,-0.002,0,0.0667,0.0602728356041613,0.0731271643958386,0.2126,0.204580719461298,0.220619280538702,0.3194,0.311730283157567,0.327069716842433,3194,2126,667
"WMW_Asymp","GLDLS",537250,10000,10,10,0.5,2,-0.002,-0.02,0,0.0624,0.0561691549269602,0.0686308450730398,0.2098,0.201819551010526,0.217780448989474,0.3172,0.309544399752051,0.324855600247949,3172,2098,624
"WMW_Asymp","GLDLS",668075,10000,10,10,0.5,2,-0.002,-0.05,0,0.0623,0.0560738175920637,0.0685261824079363,0.1997,0.191864413447252,0.207535586552748,0.308,0.300405585312876,0.315594414687124,3080,1997,623
"WMW_Asymp","GLDLS",205383872,10000,10,10,0.5,2,-0.002,-0.1,0,0.0593,0.0532158659050465,0.0653841340949535,0.1923,0.184575493287361,0.200024506712639,0.3013,0.29375236586858,0.30884763413142,3013,1923,593
"WMW_Asymp","GLDLS",85839,10000,10,10,0.5,2,-0.002,-0.2,0,0.0496,0.0440070632140544,0.0551929367859456,0.1741,0.166667769161927,0.181532230838073,0.2726,0.265274867641667,0.279925132358333,2726,1741,496
"WMW_Asymp","GLDLS",35352676,10000,10,10,1,2,-0.002,-0.002,0,0.3313,0.319175265478657,0.343424734521343,0.634,0.624558494662396,0.643441505337604,0.7631,0.756105782082321,0.770094217917679,7631,6340,3313
"WMW_Asymp","GLDLS",380525,10000,10,10,1,2,-0.002,-0.02,0,0.3239,0.311845289066298,0.335954710933702,0.6315,0.622045000833421,0.640954999166578,0.7599,0.752873481329707,0.766926518670293,7599,6315,3239
"WMW_Asymp","GLDLS",38727229,10000,10,10,1,2,-0.002,-0.05,0,0.3168,0.304815708225758,0.328784291774243,0.6116,0.602047227824846,0.621152772175154,0.7353,0.728042698667495,0.742557301332505,7353,6116,3168
"WMW_Asymp","GLDLS",502642,10000,10,10,1,2,-0.002,-0.1,0,0.2855,0.273865438180593,0.297134561819407,0.5756,0.565912668721345,0.585287331278655,0.7032,0.695684856433148,0.710715143566852,7032,5756,2855
"WMW_Asymp","GLDLS",844111,10000,10,10,1,2,-0.002,-0.2,0,0.2553,0.244067874611401,0.266532125388599,0.5376,0.527827748982021,0.547372251017979,0.6725,0.664779992917142,0.680220007082858,6725,5376,2553
"WMW_Asymp","GLDLS",2844416,10000,10,10,1.5,2,-0.002,-0.002,0,0.7276,0.716131786868765,0.739068213131235,0.922,0.916743836897508,0.927256163102492,0.9633,0.960207001463179,0.966392998536821,9633,9220,7276
"WMW_Asymp","GLDLS",157377221,10000,10,10,1.5,2,-0.002,-0.02,0,0.7195,0.707927486645607,0.731072513354393,0.9206,0.915300903750412,0.925899096249588,0.9604,0.957191961505281,0.963608038494719,9604,9206,7195
"WMW_Asymp","GLDLS",208184158,10000,10,10,1.5,2,-0.002,-0.05,0,0.6944,0.682533370317126,0.706266629682874,0.9065,0.900793815877489,0.912206184122511,0.9539,0.95045040754422,0.95734959245578,9539,9065,6944
"WMW_Asymp","GLDLS",1284245,10000,10,10,1.5,2,-0.002,-0.1,0,0.6651,0.652942426428624,0.677257573571376,0.8916,0.885506655362578,0.897693344637422,0.9443,0.940527332813542,0.948072667186458,9443,8916,6651
"WMW_Asymp","GLDLS",53619836,10000,10,10,1.5,2,-0.002,-0.2,0,0.5891,0.576426153562815,0.601773846437185,0.8515,0.844530339488899,0.858469660511101,0.9196,0.915127056545897,0.924072943454103,9196,8515,5891
"WMW_Asymp","GLDLS",42470,10000,10,10,2,2,-0.002,-0.002,0,0.9391,0.932939578537036,0.945260421462964,0.9919,0.990143158725895,0.993656841274105,0.9981,0.997383642634591,0.998816357365409,9981,9919,9391
"WMW_Asymp","GLDLS",1923429,10000,10,10,2,2,-0.002,-0.02,0,0.9264,0.919673579105951,0.933126420894049,0.9907,0.988818654204672,0.992581345795328,0.9967,0.995756579951042,0.997643420048958,9967,9907,9264
"WMW_Asymp","GLDLS",48105,10000,10,10,2,2,-0.002,-0.05,0,0.9194,0.912387616982618,0.926412383017382,0.9886,0.986519255285625,0.990680744714375,0.9963,0.99530123841595,0.99729876158405,9963,9886,9194
"WMW_Asymp","GLDLS",3183865,10000,10,10,2,2,-0.002,-0.1,0,0.8917,0.883694850069915,0.899705149930085,0.9809,0.978217219615697,0.983582780384303,0.9933,0.991958027793218,0.994641972206782,9933,9809,8917
"WMW_Asymp","GLDLS",64310,10000,10,10,2,2,-0.002,-0.2,0,0.8402,0.830761008722152,0.849638991277848,0.9631,0.959405080798935,0.966794919201065,0.9849,0.982893909853976,0.986906090146024,9849,9631,8402
"WMW_Asymp","GLDLS",38761844,10000,10,10,2.5,2,-0.002,-0.002,0,0.9904,0.987888189965705,0.992911810034295,0.9995,0.99906184025744,0.99993815974256,0.9997,0.999415120383714,0.999984879616286,9997,9995,9904
"WMW_Asymp","GLDLS",78419,10000,10,10,2.5,2,-0.002,-0.02,0,0.9885,0.985753477787747,0.991246522212253,0.9996,0.999208078407842,0.999991921592158,1,1,1,10000,9996,9885
"WMW_Asymp","GLDLS",211734,10000,10,10,2.5,2,-0.002,-0.05,0,0.9848,0.981648323215922,0.987951676784078,0.9994,0.998920044062022,0.999879955937978,0.9999,0.999735508225206,1.00006449177479,9999,9994,9848
"WMW_Asymp","GLDLS",49963403,10000,10,10,2.5,2,-0.002,-0.1,0,0.9762,0.972273516842739,0.980126483157261,0.998,0.997124338330175,0.998875661669825,0.9994,0.998997179837769,0.999802820162231,9994,9980,9762
"WMW_Asymp","GLDLS",99612,10000,10,10,2.5,2,-0.002,-0.2,0,0.9423,0.936293404853655,0.948306595146345,0.9932,0.991589247243802,0.994810752756198,0.9976,0.996795085514107,0.998404914485893,9976,9932,9423
"WMW_Asymp","GLDLS",2725483,10000,20,20,0,2,-0.002,-0.002,1,0.0071,0.00493714308998861,0.00926285691001139,0.0458,0.0417025985530339,0.0498974014469661,0.0912,0.0864641549917253,0.0959358450082747,912,458,71
"WMW_Asymp","GLDLS",21952,10000,20,20,0,2,-0.02,-0.02,1,0.0092,0.00674057959837363,0.0116594204016264,0.05,0.0457282790353301,0.0542717209646699,0.094,0.0891994176072064,0.0988005823927936,940,500,92
"WMW_Asymp","GLDLS",14521933,10000,20,20,0,2,-0.05,-0.05,1,0.0092,0.00674057959837363,0.0116594204016264,0.055,0.0505315868588502,0.0594684131411498,0.1011,0.0961409650363226,0.106059034963677,1011,550,92
"WMW_Asymp","GLDLS",83382229,10000,20,20,0,2,-0.1,-0.1,1,0.0103,0.00769914430765258,0.0129008556923474,0.0529,0.0485128566453329,0.0572871433546671,0.102,0.0970214352881578,0.106978564711842,1020,529,103
"WMW_Asymp","GLDLS",36684,10000,20,20,0,2,-0.2,-0.2,1,0.0092,0.00674057959837363,0.0116594204016264,0.0527,0.0483206954577696,0.0570793045422304,0.0978,0.0929136255890589,0.102686374410941,978,527,92
"WMW_Asymp","GLDLS",32279331,10000,20,20,0.5,2,-0.002,-0.002,0,0.1848,0.17480163636792,0.19479836363208,0.4163,0.406638287205179,0.425961712794821,0.5452,0.537008676952506,0.553391323047494,5452,4163,1848
"WMW_Asymp","GLDLS",21516940,10000,20,20,0.5,2,-0.002,-0.02,0,0.1774,0.167559503323052,0.187240496676948,0.4136,0.403947422055927,0.423252577944073,0.5368,0.528597307498729,0.545002692501271,5368,4136,1774
"WMW_Asymp","GLDLS",40130468,10000,20,20,0.5,2,-0.002,-0.05,0,0.1717,0.161985401928647,0.181414598071353,0.3951,0.385518105640407,0.404681894359593,0.5156,0.507379004246711,0.523820995753289,5156,3951,1717
"WMW_Asymp","GLDLS",59034,10000,20,20,0.5,2,-0.002,-0.1,0,0.1652,0.155633741760997,0.174766258239003,0.3806,0.371083526034166,0.390116473965834,0.5077,0.499475975378334,0.515924024621666,5077,3806,1652
"WMW_Asymp","GLDLS",263962,10000,20,20,0.5,2,-0.002,-0.2,0,0.1472,0.138073098584097,0.156326901415903,0.3506,0.341247705602239,0.359952294397761,0.4707,0.462489134305095,0.478910865694905,4707,3506,1472
