"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","Logistic",2689824,10000,10,10,0,1,1,0.007,0.00485232034567536,0.00914767965432464,0.0427,0.0387372740551989,0.0466627259448011,0.0863,0.0816807325021412,0.0909192674978588,863,427,70
"WMW_Asymp","Logistic",23030896,10000,10,10,0,3,1,0.0077,0.00544828864991625,0.00995171135008375,0.0467,0.0425644877829222,0.0508355122170778,0.0958,0.090958489164331,0.100641510835669,958,467,77
"WMW_Asymp","Logistic",273735,10000,10,10,0,5,1,0.0051,0.00326506509471753,0.00693493490528247,0.041,0.0371135122488293,0.0448864877511707,0.0848,0.0802172957112203,0.0893827042887797,848,410,51
"WMW_Asymp","Logistic",281121,10000,10,10,0,2,1,0.0064,0.00434580514519581,0.00845419485480419,0.0412,0.0373044508154048,0.0450955491845952,0.0847,0.0801197483627234,0.0892802516372766,847,412,64
"WMW_Asymp","Logistic",66633988,10000,10,10,0.5,1,0,0.0186,0.0151196304717022,0.0220803695282978,0.0875,0.0819616992678259,0.0930383007321741,0.1566,0.150621687959373,0.162578312040627,1566,875,186
"WMW_Asymp","Logistic",20213963,10000,10,10,1.5,1,0,0.1651,0.155536064779421,0.174663935220579,0.4054,0.395777001990315,0.415022998009685,0.5407,0.532502294548791,0.548897705451209,5407,4054,1651
"WMW_Asymp","Logistic",10123092,10000,10,10,2,1,0,0.3401,0.327896392283942,0.352303607716058,0.6425,0.633106430337726,0.651893569662274,0.7614,0.754388554571338,0.768411445428662,7614,6425,3401
"WMW_Asymp","Logistic",331048546,10000,10,10,2.5,1,0,0.535,0.522151594751099,0.547848405248902,0.8141,0.806475091374292,0.821724908625708,0.8936,0.888527660705197,0.898672339294803,8936,8141,5350
"WMW_Asymp","Logistic",293199462,10000,10,10,0.5,3,0,0.007,0.00485232034567536,0.00914767965432464,0.0444,0.0403627501511053,0.0484372498488947,0.0894,0.0847064820333677,0.0940935179666323,894,444,70
"WMW_Asymp","Logistic",34395870,10000,10,10,1.5,3,0,0.0187,0.0152104649781015,0.0221895350218985,0.0846,0.0791456034784405,0.0900543965215595,0.1534,0.147471870064253,0.159328129935747,1534,846,187
"WMW_Asymp","Logistic",38417849,10000,10,10,2,3,0,0.0264,0.0222701136098067,0.0305298863901933,0.1147,0.108454272783286,0.120945727216714,0.1959,0.189371128043684,0.202428871956316,1959,1147,264
"WMW_Asymp","Logistic",33901,10000,10,10,2.5,3,0,0.045,0.0396598457550367,0.0503401542449633,0.1652,0.157921325252932,0.172478674747068,0.2559,0.248721781108661,0.263078218891339,2559,1652,450
"WMW_Asymp","Logistic",20512571,10000,10,10,1,1,0,0.0627,0.0564551941954216,0.0689448058045784,0.2092,0.201227945816943,0.217172054183057,0.321,0.313320139955865,0.328679860044135,3210,2092,627
"WMW_Asymp","Logistic",1823381,10000,10,10,1,3,0,0.0117,0.00892997819822009,0.0144700218017799,0.0635,0.058720341974576,0.068279658025424,0.1164,0.111124419600499,0.121675580399501,1164,635,117
"WMW_Asymp","Logistic",208813908,10000,10,10,5,1,0,0.9917,0.989362912021524,0.994037087978476,0.9995,0.99906184025744,0.99993815974256,0.9999,0.999735508225206,1.00006449177479,9999,9995,9917
"WMW_Asymp","Logistic",187105,10000,10,10,5,3,0,0.2207,0.210016849087176,0.231383150912824,0.4945,0.484700592917936,0.504299407082064,0.6285,0.62055126620968,0.63644873379032,6285,4945,2207
"WMW_Asymp","Logistic",718735,10000,10,10,0.5,5,0,0.0069,0.00476760873419909,0.00903239126580091,0.0462,0.0420856075139093,0.0503143924860907,0.0947,0.0898834380336411,0.0995165619663589,947,462,69
"WMW_Asymp","Logistic",132966,10000,10,10,1,5,0,0.0082,0.00587691641085044,0.0105230835891496,0.0534,0.0489933358750184,0.0578066641249816,0.1046,0.099565686119132,0.109634313880868,1046,534,82
"WMW_Asymp","Logistic",77410397,10000,10,10,1.5,5,0,0.0103,0.00769914430765258,0.0129008556923474,0.054,0.0495700531109279,0.0584299468890721,0.1062,0.101131863119459,0.111268136880541,1062,540,103
"WMW_Asymp","Logistic",8053232,10000,10,10,2,5,0,0.0125,0.00963800139762438,0.0153619986023756,0.0668,0.0619063639406266,0.0716936360593734,0.1297,0.124173242845866,0.135226757154134,1297,668,125
"WMW_Asymp","Logistic",305390114,10000,10,10,2.5,5,0,0.0183,0.0148472844632759,0.0217527155367241,0.0826,0.0772045774476506,0.0879954225523494,0.1465,0.140683168582091,0.152316831417909,1465,826,183
"WMW_Asymp","Logistic",20587,10000,10,10,5,5,0,0.0618,0.0555971995383556,0.0680028004616444,0.2087,0.200734961511104,0.216665038488896,0.3192,0.311531558352938,0.326868441647062,3192,2087,618
"WMW_Asymp","Logistic",224807,10000,10,10,3,1,0,0.7252,0.713700389768653,0.736699610231347,0.9236,0.918393513906059,0.928806486093941,0.9637,0.960623264629226,0.966776735370774,9637,9236,7252
"WMW_Asymp","Logistic",13394846,10000,10,10,3,3,0,0.0596,0.0535014681149982,0.0656985318850018,0.2036,0.195707572813994,0.211492427186006,0.3155,0.307855443227408,0.323144556772592,3155,2036,596
"WMW_Asymp","Logistic",1602124,10000,10,10,3,5,0,0.0233,0.0194139855331283,0.0271860144668717,0.1019,0.0959706715066207,0.107829328493379,0.174,0.167763649006831,0.180236350993169,1740,1019,233
"WMW_Asymp","Logistic",62321867,10000,10,10,0.5,2,0,0.0088,0.00639415390545114,0.0112058460945489,0.0547,0.0502430828249114,0.0591569171750886,0.107,0.101915087072771,0.112084912927229,1070,547,88
"WMW_Asymp","Logistic",97099161,10000,10,10,1,2,0,0.0201,0.016484779706045,0.023715220293955,0.0838,0.0783690822645155,0.0892309177354845,0.1493,0.143437484249081,0.155162515750919,1493,838,201
"WMW_Asymp","Logistic",1506156,10000,10,10,1.5,2,0,0.0353,0.030546326486977,0.040053673513023,0.1369,0.130162661719759,0.143637338280241,0.2254,0.218526441955501,0.232273558044499,2254,1369,353
"WMW_Asymp","Logistic",253095,10000,10,10,2,2,0,0.0625,0.0562644968126061,0.0687355031873939,0.2133,0.205271099531218,0.221328900468782,0.3257,0.317990941143384,0.333409058856616,3257,2133,625
"WMW_Asymp","Logistic",353438560,10000,10,10,2.5,2,0,0.1068,0.0988437972426681,0.114756202757332,0.3043,0.295281837654954,0.313318162345046,0.434,0.425846971083701,0.442153028916299,4340,3043,1068
"WMW_Asymp","Logistic",165825187,10000,10,10,3,2,0,0.1737,0.163940790427404,0.183459209572596,0.4134,0.403748110597898,0.423051889402102,0.5503,0.542116725819039,0.558483274180961,5503,4134,1737
"WMW_Asymp","Logistic",29888,10000,10,10,5,2,0,0.5474,0.534578007159906,0.560221992840094,0.8201,0.812571558865316,0.827628441134684,0.8981,0.893123599300199,0.903076400699801,8981,8201,5474
"WMW_Asymp","Logistic",367005741,10000,20,20,0,1,1,0.0094,0.00691424141894994,0.0118857585810501,0.0535,0.0490894447016277,0.0579105552983723,0.0991,0.0941848019356312,0.104015198064369,991,535,94
"WMW_Asymp","Logistic",20561001,10000,20,20,0,3,1,0.0081,0.00579100861117587,0.0104089913888241,0.0485,0.0442895226351398,0.0527104773648602,0.0927,0.0879293096943131,0.0974706903056869,927,485,81
"WMW_Asymp","Logistic",1129250,10000,20,20,0,5,1,0.0099,0.00734963120325236,0.0124503687967476,0.0539,0.0494739228964692,0.0583260771035308,0.098,0.0931091740380586,0.102890825961941,980,539,99
"WMW_Asymp","Logistic",17061389,10000,20,20,0,2,1,0.0087,0.00630774187608109,0.0110922581239189,0.0503,0.0460161595938224,0.0545838404061776,0.1001,0.0951628074279025,0.105037192572098,1001,503,87
"WMW_Asymp","Logistic",221890,10000,20,20,0.5,1,0,0.0384,0.0334499601159037,0.0433500398840963,0.1402,0.13339498951701,0.14700501048299,0.2296,0.222681531288385,0.236518468711615,2296,1402,384
"WMW_Asymp","Logistic",96924384,10000,20,20,1.5,1,0,0.4839,0.471026678981308,0.496773321018692,0.7478,0.739288201326065,0.756311798673935,0.8405,0.834476968910974,0.846523031089026,8405,7478,4839
"WMW_Asymp","Logistic",2097501,10000,20,20,2,1,0,0.7914,0.780933510702403,0.801866489297597,0.9353,0.930478483260882,0.940121516739118,0.9681,0.965209177981962,0.970990822018038,9681,9353,7914
"WMW_Asymp","Logistic",48151935,10000,20,20,2.5,1,0,0.9418,0.935769036583582,0.947830963416418,0.9896,0.987611605357481,0.991588394642519,0.9965,0.995528509459966,0.997471490540034,9965,9896,9418
"WMW_Asymp","Logistic",71307218,10000,20,20,0.5,3,0,0.0105,0.00787428002833509,0.0131257199716649,0.0594,0.0547671122156478,0.0640328877843522,0.1127,0.107498086801688,0.117901913198312,1127,594,105
"WMW_Asymp","Logistic",928797,10000,20,20,1.5,3,0,0.0407,0.0356099706620319,0.0457900293379681,0.1442,0.137314668689337,0.151085331310663,0.2249,0.218031854319107,0.231768145680893,2249,1442,407
"WMW_Asymp","Logistic",116159,10000,20,20,2,3,0,0.0784,0.071475712,0.085324288,0.2218,0.213657037111616,0.229942962888384,0.3245,0.31679831185068,0.33220168814932,3245,2218,784
"WMW_Asymp","Logistic",341269,10000,20,20,2.5,3,0,0.1245,0.115995307618403,0.133004692381597,0.3124,0.303315949958394,0.321484050041606,0.4236,0.415471585084926,0.431728414915074,4236,3124,1245
"WMW_Asymp","Logistic",1840047,10000,20,20,1,1,0,0.1902,0.180090259661134,0.200309740338866,0.425,0.41531087723269,0.43468912276731,0.5508,0.542617561649215,0.558982438350785,5508,4250,1902
"WMW_Asymp","Logistic",102046,10000,20,20,1,3,0,0.0195,0.0159380570165147,0.0230619429834853,0.0865,0.0809904211739916,0.0920095788260084,0.1566,0.150621687959373,0.162578312040627,1566,865,195
"WMW_Asymp","Logistic",47129,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",154725,10000,20,20,5,3,0,0.5959,0.583259129662379,0.608540870337621,0.8255,0.818061038247175,0.832938961752825,0.8984,0.893430100256786,0.903369899743214,8984,8255,5959
"WMW_Asymp","Logistic",5164374,10000,20,20,0.5,5,0,0.0087,0.00630774187608109,0.0110922581239189,0.0506,0.0463040823911066,0.0548959176088934,0.097,0.0921314947286154,0.101868505271385,970,506,87
"WMW_Asymp","Logistic",2212796,10000,20,20,1,5,0,0.0133,0.0103490337449683,0.0162509662550317,0.0633,0.0585273653882159,0.0680726346117841,0.1159,0.110634273290231,0.121165726709769,1159,633,133
"WMW_Asymp","Logistic",296545835,10000,20,20,1.5,5,0,0.0195,0.0159380570165147,0.0230619429834853,0.0851,0.0796310032511986,0.0905689967488014,0.146,0.140191402741625,0.151808597258375,1460,851,195
"WMW_Asymp","Logistic",995277,10000,20,20,2,5,0,0.0255,0.0214392442248271,0.0295607557751729,0.1054,0.099381464539076,0.111418535460924,0.1775,0.17121459836332,0.18378540163668,1775,1054,255
"WMW_Asymp","Logistic",1488542,10000,20,20,2.5,5,0,0.0416,0.0364564149362002,0.0467435850637998,0.1453,0.138392900210247,0.152207099789753,0.2274,0.220504933099157,0.234295066900843,2274,1453,416
"WMW_Asymp","Logistic",25794,10000,20,20,5,5,0,0.1927,0.182539754724334,0.202860245275666,0.4267,0.417005880618767,0.436394119381233,0.5503,0.542116725819039,0.558483274180961,5503,4267,1927
"WMW_Asymp","Logistic",42238103,10000,20,20,3,1,0,0.9896,0.986986681326975,0.992213318673026,0.9988,0.99812144358407,0.99947855641593,0.9994,0.998997179837769,0.999802820162231,9994,9988,9896
"WMW_Asymp","Logistic",4051412,10000,20,20,3,3,0,0.1878,0.177739370741449,0.197860629258551,0.4151,0.405442310272203,0.424757689727797,0.5391,0.530900187490438,0.547299812509562,5391,4151,1878
"WMW_Asymp","Logistic",105902095,10000,20,20,3,5,0,0.0586,0.0525496323727641,0.0646503676272359,0.1857,0.17807825805202,0.19332174194798,0.2765,0.269142458204714,0.283857541795286,2765,1857,586
"WMW_Asymp","Logistic",372305,10000,20,20,0.5,2,0,0.0163,0.013038097342431,0.019561902657569,0.0703,0.0652892221456544,0.0753107778543456,0.128,0.122504222653709,0.133495777346291,1280,703,163
"WMW_Asymp","Logistic",21998,10000,20,20,1,2,0,0.0413,0.0361741930192938,0.0464258069807062,0.1412,0.134374736265198,0.148025263734802,0.2208,0.213976771604702,0.227623228395298,2208,1412,413
"WMW_Asymp","Logistic",2055604,10000,20,20,1.5,2,0,0.099,0.0913064664592659,0.106693533540734,0.2633,0.254667693822761,0.271932306177239,0.3761,0.368131527800389,0.384068472199611,3761,2633,990
"WMW_Asymp","Logistic",48946975,10000,20,20,2,2,0,0.1874,0.177347616214836,0.197452383785164,0.4155,0.405840962700144,0.425159037299855,0.5421,0.533904208005142,0.550295791994858,5421,4155,1874
"WMW_Asymp","Logistic",3408554,10000,20,20,2.5,2,0,0.3257,0.313627941875597,0.337772058124403,0.5845,0.574840962700145,0.594159037299856,0.6992,0.691655933151516,0.706744066848484,6992,5845,3257
"WMW_Asymp","Logistic",222358761,10000,20,20,3,2,0,0.485,0.472125797304687,0.497874202695313,0.7458,0.737265952928557,0.754334047071443,0.8375,0.831431449185813,0.843568550814187,8375,7458,4850
"WMW_Asymp","Logistic",200350654,10000,20,20,5,2,0,0.9411,0.935035131444598,0.947164868555402,0.989,0.986955672081099,0.991044327918901,0.9958,0.994736159282646,0.996863840717354,9958,9890,9411
"WMW_Asymp","Logistic",92107,10000,100,100,0,1,1,0.0103,0.00769914430765258,0.0129008556923474,0.0481,0.0439060401072018,0.0522939598927982,0.0966,0.0917404673028058,0.101459532697194,966,481,103
"WMW_Asymp","Logistic",55240,10000,100,100,0,3,1,0.0079,0.00561946296632043,0.0101805370336796,0.0501,0.0458242345061498,0.0543757654938502,0.0984,0.0935002896965637,0.103299710303436,984,501,79
"WMW_Asymp","Logistic",12642814,10000,100,100,0,5,1,0.0085,0.00613516044552701,0.010864839554473,0.0507,0.0464000659817155,0.0549999340182845,0.1066,0.101523463901921,0.111676536098079,1066,507,85
"WMW_Asymp","Logistic",39625,10000,100,100,0,2,1,0.0088,0.00639415390545114,0.0112058460945489,0.0499,0.0456323282977249,0.0541676717022751,0.0998,0.0948693897156741,0.104730610284326,998,499,88
"WMW_Asymp","Logistic",405450,10000,100,100,0.5,1,0,0.2854,0.273766661931553,0.297033338068447,0.5186,0.508806783163516,0.528393216836484,0.6385,0.630596844921528,0.646403155078472,6385,5186,2854
"WMW_Asymp","Logistic",5318584,10000,100,100,1.5,1,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"WMW_Asymp","Logistic",11658353,10000,100,100,2,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",29969762,10000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",224445,10000,100,100,0.5,3,0,0.0287,0.0243990588371083,0.0330009411628917,0.1039,0.0979194368052499,0.10988056319475,0.1793,0.172989725324142,0.185610274675858,1793,1039,287
"WMW_Asymp","Logistic",81385,10000,100,100,1.5,3,0,0.2959,0.284141944293526,0.307658055706474,0.5322,0.522420343178536,0.541979656821464,0.6552,0.647381265335209,0.663018734664791,6552,5322,2959
"WMW_Asymp","Logistic",46307188,10000,100,100,2,3,0,0.5373,0.524455889632953,0.550144110367047,0.7636,0.755272535934247,0.771927464065753,0.848,0.842094106347046,0.853905893652954,8480,7636,5373
"WMW_Asymp","Logistic",916873,10000,100,100,2.5,3,0,0.7902,0.779711409899548,0.800688590100452,0.921,0.91571312025482,0.926286879745181,0.9559,0.952522530562392,0.959277469437608,9559,9210,7902
"WMW_Asymp","Logistic",327643060,10000,100,100,1,1,0,0.9272,0.920507347747536,0.933892652252464,0.982,0.979394158070796,0.984605841929204,0.9919,0.990425508216376,0.993374491783624,9919,9820,9272
"WMW_Asymp","Logistic",19566227,10000,100,100,1,3,0,0.1079,0.0999078550717605,0.115892144928239,0.2661,0.257438423360242,0.274761576639758,0.3845,0.376497455404724,0.392502544595276,3845,2661,1079
"WMW_Asymp","Logistic",32738211,10000,100,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",3687056,10000,100,100,5,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",1609780,10000,100,100,0.5,5,0,0.0168,0.0134892877596843,0.0201107122403157,0.0688,0.0638389709041772,0.0737610290958228,0.1275,0.122013394778246,0.132986605221754,1275,688,168
"WMW_Asymp","Logistic",303900,10000,100,100,1,5,0,0.0357,0.0309204605551815,0.0404795394448185,0.126,0.119495752477035,0.132504247522965,0.2074,0.200730438027344,0.214069561972656,2074,1260,357
"WMW_Asymp","Logistic",24960,10000,100,100,1.5,5,0,0.0833,0.0761816067749009,0.0904183932250991,0.2255,0.217308940974453,0.233691059025547,0.34,0.332207490712229,0.347792509287771,3400,2255,833
"WMW_Asymp","Logistic",311589039,10000,100,100,2,5,0,0.1674,0.157782951886685,0.177017048113315,0.3638,0.354370595831676,0.373229404168324,0.4896,0.481376779424483,0.497823220575517,4896,3638,1674
"WMW_Asymp","Logistic",32442996,10000,100,100,2.5,5,0,0.2886,0.276927847516456,0.300272152483544,0.5263,0.516513566514322,0.536086433485678,0.6451,0.63722895450026,0.65297104549974,6451,5263,2886
"WMW_Asymp","Logistic",103966824,10000,100,100,5,5,0,0.9273,0.920611585280016,0.933988414719984,0.9827,0.980144419292294,0.985255580707706,0.9933,0.991958027793218,0.994641972206782,9933,9827,9273
"WMW_Asymp","Logistic",1130162,10000,100,100,3,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",80447,10000,100,100,3,3,0,0.9235,0.916653083585263,0.930346916414737,0.9807,0.978003485167554,0.983396514832446,0.9907,0.989121013350349,0.992278986649651,9907,9807,9235
"WMW_Asymp","Logistic",19513,10000,100,100,3,5,0,0.4377,0.424920373131547,0.450479626868453,0.6804,0.671260096527074,0.689539903472926,0.7862,0.779455709439837,0.792944290560163,7862,6804,4377
"WMW_Asymp","Logistic",2010435,10000,100,100,0.5,2,0,0.0617,0.0555018897242518,0.0678981102757482,0.1742,0.166766085086739,0.181633914913261,0.2622,0.254964782828145,0.269435217171855,2622,1742,617
"WMW_Asymp","Logistic",27438,10000,100,100,1,2,0,0.2927,0.280979151593946,0.304420848406054,0.5318,0.522019840387724,0.541580159612276,0.651,0.643159042316305,0.658840957683695,6510,5318,2927
"WMW_Asymp","Logistic",86593,10000,100,100,1.5,2,0,0.6778,0.665761859466528,0.689838140533472,0.8572,0.850342572002157,0.864057427997843,0.9143,0.90969530707921,0.91890469292079,9143,8572,6778
"WMW_Asymp","Logistic",30008,10000,100,100,2,2,0,0.9196,0.912595560888894,0.926604439111105,0.9806,0.977896646241721,0.983303353758279,0.9906,0.989012626993079,0.992187373006921,9906,9806,9196
"WMW_Asymp","Logistic",697262,10000,100,100,2.5,2,0,0.9944,0.992477703257438,0.996322296742562,0.9992,0.998645850076604,0.999754149923396,0.9997,0.999415120383714,0.999984879616286,9997,9992,9944
"WMW_Asymp","Logistic",1755474,10000,100,100,3,2,0,0.9999,0.999642412880322,1.00015758711968,1,1,1,1,1,1,10000,10000,9999
"WMW_Asymp","Logistic",192771679,10000,100,100,5,2,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Logistic",7294475,10000,10,100,0,1,1,0.0086,0.00622141025800917,0.0109785897419908,0.0512,0.0468800532862546,0.0555199467137454,0.106,0.100936071158675,0.111063928841325,1060,512,86
"WMW_Asymp","Logistic",4674048,10000,10,100,0,3,1,0.0083,0.00596291202152422,0.0106370879784758,0.0474,0.043235138816431,0.051564861183569,0.1,0.095065,0.104935,1000,474,83
"WMW_Asymp","Logistic",3562655,10000,10,100,0,5,1,0.0082,0.00587691641085044,0.0105230835891496,0.0449,0.0408411438066371,0.0489588561933629,0.0959,0.0910562308093825,0.100743769190617,959,449,82
"WMW_Asymp","Logistic",2285295,10000,10,100,0,2,1,0.0083,0.00596291202152422,0.0106370879784758,0.0458,0.0417025985530339,0.0498974014469661,0.0952,0.090372073248443,0.100027926751557,952,458,83
"WMW_Asymp","Logistic",153971802,10000,10,100,0.5,1,0,0.0347,0.0299854336819156,0.0394145663180844,0.1306,0.123995537512984,0.137204462487016,0.221,0.214174558197633,0.227825441802367,2210,1306,347
"WMW_Asymp","Logistic",273241917,10000,10,100,1.5,1,0,0.4443,0.431500169644414,0.457099830355586,0.7109,0.702014448787475,0.719785551212525,0.8159,0.809524543849106,0.822275456150894,8159,7109,4443
"WMW_Asymp","Logistic",72997,10000,10,100,2,1,0,0.7424,0.731134829489181,0.753665170510819,0.9112,0.905624684998173,0.916775315001827,0.9526,0.949104491506647,0.956095508493353,9526,9112,7424
"WMW_Asymp","Logistic",139640701,10000,10,100,2.5,1,0,0.9202,0.913219469663407,0.927180530336593,0.9824,0.97982274979903,0.98497725020097,0.9935,0.992178075912023,0.994821924087978,9935,9824,9202
"WMW_Asymp","Logistic",122696164,10000,10,100,0.5,3,0,0.0102,0.00761166986137858,0.0127883301386214,0.0556,0.0511087062952419,0.0600912937047581,0.1116,0.106420327816589,0.116779672183411,1116,556,102
"WMW_Asymp","Logistic",662785,10000,10,100,1.5,3,0,0.0358,0.0310140193810739,0.0405859806189261,0.1345,0.127812700877036,0.141187299122964,0.2232,0.216350362220497,0.230049637779503,2232,1345,358
"WMW_Asymp","Logistic",54407,10000,10,100,2,3,0,0.0631,0.0568366431243251,0.0693633568756749,0.2039,0.196003248052117,0.211796751947883,0.3095,0.301895370316421,0.317104629683579,3095,2039,631
"WMW_Asymp","Logistic",38822,10000,10,100,2.5,3,0,0.1112,0.103101580393567,0.119298419606433,0.2931,0.284178395405399,0.302021604594601,0.4181,0.409986090401972,0.426213909598028,4181,2931,1112
"WMW_Asymp","Logistic",29015436,10000,10,100,1,1,0,0.1699,0.160225962755776,0.179574037244224,0.3968,0.387211016539716,0.406388983460284,0.5329,0.524692824959344,0.541107175040657,5329,3968,1699
"WMW_Asymp","Logistic",82560753,10000,10,100,1,3,0,0.0203,0.0166672088434902,0.0239327911565098,0.0873,0.0817674261655537,0.0928325738344463,0.1547,0.148751376346937,0.160648623653063,1547,873,203
"WMW_Asymp","Logistic",29674916,10000,10,100,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
