"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","Normal",64127,10000,10,10,0,1,1,0.0057,0.0037607133569851,0.0076392866430149,0.0439,0.0398844966683615,0.0479155033316385,0.091,0.0862688301449324,0.0957311698550676,910,439,57
"WMW_Asymp","Normal",162037,10000,10,10,0,3,1,0.0068,0.00468301066328241,0.00891698933671759,0.0427,0.0387372740551989,0.0466627259448011,0.0893,0.0846088502134578,0.0939911497865422,893,427,68
"WMW_Asymp","Normal",54862,10000,10,10,0,5,1,0.0069,0.00476760873419909,0.00903239126580091,0.0429,0.0389284194463161,0.0468715805536839,0.085,0.0804123961115306,0.0895876038884695,850,429,69
"WMW_Asymp","Normal",833478,10000,10,10,0.5,1,0,0.0413,0.0361741930192938,0.0464258069807062,0.1584,0.151243733202961,0.165556266797039,0.2536,0.246443077040962,0.260756922959038,2536,1584,413
"WMW_Asymp","Normal",6173105,10000,10,10,1.5,1,0,0.5965,0.583862160014686,0.609137839985314,0.8568,0.849934576863616,0.863665423136384,0.9251,0.920769867840472,0.929430132159528,9251,8568,5965
"WMW_Asymp","Normal",126957244,10000,10,10,2,1,0,0.8836,0.875338665587164,0.891861334412836,0.9779,0.975018627338507,0.980781372661493,0.9921,0.990643678796427,0.993556321203573,9921,9779,8836
"WMW_Asymp","Normal",3957192,10000,10,10,2.5,1,0,0.9852,0.982089437600289,0.988310562399711,0.9987,0.997993771446627,0.999406228553373,1,1,1,10000,9987,9852
"WMW_Asymp","Normal",205001,10000,10,10,0.5,3,0,0.0096,0.00708818996570521,0.0121118100342948,0.0557,0.0512049071820929,0.0601950928179071,0.1083,0.103188015669647,0.113411984330353,1083,557,96
"WMW_Asymp","Normal",3338127,10000,10,10,1.5,3,0,0.0415,0.0363623328369385,0.0466376671630615,0.1573,0.15016396568719,0.16443603431281,0.2477,0.24059891949153,0.25480108050847,2477,1573,415
"WMW_Asymp","Normal",134461389,10000,10,10,2,3,0,0.0881,0.0807985784929191,0.0954014215070809,0.2599,0.251303841527845,0.268496158472155,0.387,0.378987802943168,0.395012197056832,3870,2599,881
"WMW_Asymp","Normal",133157046,10000,10,10,2.5,3,0,0.138,0.129115376373442,0.146884623626558,0.377,0.367501155682926,0.386498844317074,0.5117,0.503477252148839,0.519922747851161,5117,3770,1380
"WMW_Asymp","Normal",348630718,10000,10,10,0.5,5,0,0.0081,0.00579100861117587,0.0104089913888241,0.0506,0.0463040823911066,0.0548959176088934,0.0941,0.0892971298656975,0.0989028701343025,941,506,81
"WMW_Asymp","Normal",10685187,10000,10,10,1.5,5,0,0.0182,0.0147565556668103,0.0216434443331897,0.084,0.0785631988228371,0.0894368011771629,0.152,0.146094106347046,0.157905893652954,1520,840,182
"WMW_Asymp","Normal",9958998,10000,10,10,2,5,0,0.0283,0.0240282563962784,0.0325717436037216,0.1202,0.113826172817404,0.126573827182596,0.1942,0.187692650291255,0.200707349708745,1942,1202,283
"WMW_Asymp","Normal",45640,10000,10,10,2.5,5,0,0.0438,0.0385282199335465,0.0490717800664535,0.1584,0.151243733202961,0.165556266797039,0.2548,0.247631933310271,0.261968066689729,2548,1584,438
"WMW_Asymp","Normal",860638,10000,10,10,1,1,0,0.2326,0.221716674675182,0.243483325324818,0.5166,0.506805402465114,0.526394597534886,0.6549,0.647079655640001,0.662720344359999,6549,5166,2326
"WMW_Asymp","Normal",349270483,10000,10,10,1,3,0,0.02,0.0163936,0.0236064,0.0948,0.089058405559986,0.100541594440014,0.1678,0.16165282274504,0.17394717725496,1678,948,200
"WMW_Asymp","Normal",198405,10000,10,10,1,5,0,0.0114,0.00866530694682127,0.0141346930531787,0.0612,0.0565019425536079,0.0658980574463921,0.1151,0.109850104465423,0.120349895534577,1151,612,114
"WMW_Asymp","Normal",94258032,10000,10,10,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"WMW_Asymp","Normal",52186,10000,10,10,5,3,0,0.7176,0.706003700594646,0.729196299405354,0.9164,0.910974974919284,0.921825025080716,0.9605,0.957295847818943,0.963704152181057,9605,9164,7176
"WMW_Asymp","Normal",1589770,10000,10,10,5,5,0,0.2309,0.220044515018861,0.241755484981139,0.5133,0.503503467657502,0.523096532342498,0.649,0.641148695719977,0.656851304280023,6490,5133,2309
"WMW_Asymp","Normal",29952,10000,20,20,0,1,1,0.0073,0.00510711276402639,0.00949288723597361,0.0459,0.0417983427897495,0.0500016572102505,0.0915,0.086757155181816,0.096242844818184,915,459,73
