"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","Normal2Var",9606797,10000,10,10,0.5,1,3,0,0.0219,0.0181298420474383,0.0256701579525617,0.0854,0.0799222702098041,0.0908777297901959,0.1468,0.140978239254281,0.152621760745719,1468,854,219
"WMW_Asymp","Normal2Var",110289,10000,10,10,1.5,1,3,0,0.108,0.100004600593241,0.115995399406759,0.2759,0.267139453576951,0.284660546423049,0.3881,0.380083626379093,0.396116373620907,3881,2759,1080
"WMW_Asymp","Normal2Var",2397487,10000,10,10,2,1,3,0,0.1996,0.189303736056045,0.209896263943955,0.4338,0.424086275593286,0.443513724406714,0.5587,0.550531878265368,0.566868121734632,5587,4338,1996
"WMW_Asymp","Normal2Var",362933,10000,10,10,2.5,1,3,0,0.3176,0.30560761356082,0.32959238643918,0.5922,0.582568057449009,0.601831942550991,0.7085,0.701024244153975,0.715975755846025,7085,5922,3176
"WMW_Asymp","Normal2Var",125571,10000,10,10,0.5,3,5,0,0.0088,0.00639415390545114,0.0112058460945489,0.0554,0.0509163167491001,0.0598836832508999,0.1125,0.107302118858672,0.117697881141328,1125,554,88
"WMW_Asymp","Normal2Var",45692,10000,10,10,1.5,3,5,0,0.0282,0.0239355909120517,0.0324644090879483,0.1143,0.108063764475134,0.120536235524866,0.1898,0.183349251267031,0.196250748732969,1898,1143,282
"WMW_Asymp","Normal2Var",76700756,10000,10,10,2,3,5,0,0.0444,0.0390939001985956,0.0497060998014044,0.1618,0.154581962097523,0.169018037902477,0.2511,0.24396652450092,0.25823347549908,2511,1618,444
"WMW_Asymp","Normal2Var",167055,10000,10,10,2.5,3,5,0,0.0738,0.0670651732541768,0.0805348267458232,0.2267,0.218493540387134,0.234906459612866,0.3381,0.33031811733544,0.34588188266456,3381,2267,738
"WMW_Asymp","Normal2Var",2455492,10000,10,10,0.5,1,5,0,0.0198,0.0162113111701213,0.0233886888298787,0.0831,0.077689747061144,0.088510252938856,0.1326,0.127021115462111,0.138178884537889,1326,831,198
"WMW_Asymp","Normal2Var",729359,10000,10,10,1.5,1,5,0,0.0511,0.0454276041309598,0.0567723958690402,0.1642,0.156939043563166,0.171460956436834,0.2366,0.229608838249969,0.243591161750031,2366,1642,511
"WMW_Asymp","Normal2Var",53238514,10000,10,10,2,1,5,0,0.0804,0.0733955608888945,0.0874044391111055,0.2264,0.218197381500618,0.234602618499382,0.3136,0.305967926103502,0.321232073896498,3136,2264,804
