"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","ghEqual",48724,10000,10,10,0,3,1,1,0,1,0.0068,0.00468301066328241,0.00891698933671759,0.0447,0.0406497696675868,0.0487502303324132,0.088,0.0833397989056265,0.0926602010943735,880,447,68
"WMW_Asymp","ghEqual",22865895,10000,10,10,0,3,3,3,0,1,0.0075,0.00527750011023622,0.00972249988976378,0.0424,0.0384506004863524,0.0463493995136476,0.088,0.0833397989056265,0.0926602010943735,880,424,75
"WMW_Asymp","ghEqual",1344849,10000,10,10,0,3,-3,-3,0,1,0.0062,0.0041779532159082,0.0082220467840918,0.042,0.0380684530067669,0.0459315469932331,0.087,0.0823638132935029,0.091636186706497,870,420,62
"WMW_Asymp","ghEqual",2755781,10000,10,10,0,3,-1,-1,0,1,0.0081,0.00579100861117587,0.0104089913888241,0.0452,0.041128246354014,0.049271753645986,0.0936,0.0888085851440728,0.0983914148559272,936,452,81
"WMW_Asymp","ghEqual",17984,10000,10,10,0.5,3,1,1,0,0,0.0103,0.00769914430765258,0.0129008556923474,0.0642,0.0593958660741399,0.0690041339258601,0.1223,0.116910454037419,0.127689545962581,1223,642,103
"WMW_Asymp","ghEqual",57499,10000,10,10,0.5,3,3,3,0,0,0.0295,0.0251413235043651,0.0338586764956349,0.129,0.122430081169451,0.135569918830549,0.2161,0.209329455171408,0.222870544828592,2161,1290,295
"WMW_Asymp","ghEqual",12449985,10000,10,10,0.5,3,1,3,0,0,0.0429,0.0376802084151583,0.0481197915848417,0.1615,0.154287366442138,0.168712633557862,0.2618,0.254568344255435,0.269031655744565,2618,1615,429
"WMW_Asymp","ghEqual",27065169,10000,10,10,0.5,3,-1,1,0,0,0.0403,0.0352339889917593,0.0453660110082407,0.1828,0.175224551570659,0.190375448429341,0.2901,0.282634853159584,0.297565146840416,2901,1828,403
"WMW_Asymp","ghEqual",205785,10000,10,10,0.5,3,-3,3,0,0,0.1336,0.124835880117165,0.142364119882835,0.3707,0.361233351972234,0.380166648027766,0.5127,0.504477653648576,0.520922346351424,5127,3707,1336
"WMW_Asymp","ghEqual",2389512,10000,10,10,0.5,3,-1,3,0,0,0.0886,0.0812798963297571,0.0959201036702429,0.2855,0.276647616006973,0.294352383993027,0.4165,0.408390504533612,0.424609495466388,4165,2855,886
"WMW_Asymp","ghEqual",92022,10000,10,10,0.5,3,1,-3,0,0,0.0222,0.0184046890594293,0.0259953109405707,0.109,0.102891871396246,0.115108128603754,0.1881,0.181671471542415,0.194528528457585,1881,1090,222
"WMW_Asymp","ghEqual",35118,10000,10,10,1,3,1,1,0,0,0.0334,0.0287714763463342,0.0380285236536658,0.1382,0.131435848319146,0.144964151680854,0.224,0.217141632194173,0.230858367805827,2240,1382,334
