"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"WMW_Asymp","ghEqualK",61024623,10000,10,10,0,3,1,1,0.2,1,0.0064,0.00434580514519581,0.00845419485480419,0.0403,0.0364454264067734,0.0441545735932266,0.087,0.0823638132935029,0.091636186706497,870,403,64
"WMW_Asymp","ghEqualK",97984103,10000,10,10,0,3,3,3,0.2,1,0.0062,0.0041779532159082,0.0082220467840918,0.0432,0.0392151816551316,0.0471848183448684,0.0899,0.0851946676377778,0.0946053323622221,899,432,62
"WMW_Asymp","ghEqualK",32149908,10000,10,10,0,3,-3,-3,0.2,1,0.0065,0.00442992313031617,0.00857007686968383,0.0408,0.0369225988216848,0.0446774011783152,0.0857,0.0810953070792098,0.0903046929207902,857,408,65
"WMW_Asymp","ghEqualK",831083,10000,10,10,0,3,-1,-1,0.2,1,0.0064,0.00434580514519581,0.00845419485480419,0.0437,0.039693235034395,0.047706764965605,0.0887,0.0840230966263162,0.0933769033736838,887,437,64
"WMW_Asymp","ghEqualK",441228,10000,10,10,0.5,3,1,1,0.2,0,0.0101,0.00752425890101043,0.0126757410989896,0.0588,0.0541891001041445,0.0634108998958555,0.1079,0.102796320494195,0.113003679505805,1079,588,101
"WMW_Asymp","ghEqualK",703532,10000,10,10,0.5,3,3,3,0.2,0,0.0255,0.0214392442248271,0.0295607557751729,0.1033,0.0973347339625462,0.109265266037454,0.1809,0.17456781421214,0.18723218578786,1809,1033,255
"WMW_Asymp","ghEqualK",1229929,10000,10,10,0.5,3,1,3,0.2,0,0.0335,0.028864792384542,0.038135207615458,0.1397,0.13290515998234,0.14649484001766,0.2324,0.225452133786579,0.239347866213421,2324,1397,335
"WMW_Asymp","ghEqualK",2651285,10000,10,10,0.5,3,-1,1,0.2,0,0.031,0.0265353379157656,0.0354646620842344,0.1475,0.140549768421124,0.154450231578876,0.2422,0.235152578092387,0.249247421907613,2422,1475,310
"WMW_Asymp","ghEqualK",4834551,10000,10,10,0.5,3,-3,3,0.2,0,0.1217,0.113278051349009,0.130121948650991,0.3485,0.339160692550301,0.357839307449699,0.4854,0.477178507229761,0.493621492770239,4854,3485,1217
"WMW_Asymp","ghEqualK",289218,10000,10,10,0.5,3,-1,3,0.2,0,0.0741,0.0673525914872342,0.0808474085127658,0.2535,0.244973712763459,0.262026287236541,0.3813,0.373310136442856,0.389289863557144,3813,2535,741
