"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","Cauchy",14272201,10000,10,10,0,1,1,1,0.0036,0.00205718458838914,0.00514281541161086,0.0294,0.0260890709064675,0.0327109290935325,0.0724,0.0681369978137937,0.0766630021862063,724,294,36
"Yuen","Cauchy",77247071,10000,10,10,0,0.5,0.5,1,0.004,0.00237405622532635,0.00562594377467365,0.03,0.0266564904665905,0.0333435095334095,0.0713,0.0670669988156422,0.0755330011843579,713,300,40
"Yuen","Cauchy",317328,10000,10,10,0,2,2,1,0.0044,0.00269503824744835,0.00610496175255165,0.0294,0.0260890709064675,0.0327109290935325,0.0725,0.0682342847189041,0.0767657152810959,725,294,44
"Yuen","Cauchy",361354,10000,10,10,0.5,1,1,0,0.0114,0.00866530694682127,0.0141346930531787,0.0661,0.0612302463833989,0.0709697536166012,0.1324,0.126824681702396,0.137975318297604,1324,661,114
"Yuen","Cauchy",327580,10000,10,10,0.5,0.5,0.5,0,0.0538,0.0479879616887484,0.0596120383112516,0.1863,0.178668768001849,0.193931231998151,0.3005,0.292958078636755,0.308041921363245,3005,1863,538
"Yuen","Cauchy",298359,10000,10,10,0.5,2,2,0,0.0054,0.00351215225264748,0.00728784774735252,0.0428,0.0388328437961683,0.0467671562038317,0.0904,0.0856828971737305,0.0951171028262695,904,428,54
"Yuen","Cauchy",244582497,10000,10,10,0.5,0.5,2,0,0.0104,0.00778668132697445,0.0130133186730255,0.0557,0.0512049071820929,0.0601950928179071,0.1127,0.107498086801688,0.117901913198312,1127,557,104
"Yuen","Cauchy",192808,10000,10,10,0.5,1,2,0,0.0081,0.00579100861117587,0.0104089913888241,0.0463,0.0421813730383051,0.0504186269616949,0.0983,0.0934025084421946,0.103197491557805,983,463,81
"Yuen","Cauchy",58385548,10000,10,10,1,1,1,0,0.0533,0.0475135040731081,0.0590864959268919,0.1904,0.182704713506672,0.198095286493328,0.3044,0.296830485713363,0.311969514286637,3044,1904,533
"Yuen","Cauchy",41077690,10000,10,10,1,0.5,0.5,0,0.2821,0.270507439304227,0.293692560695773,0.5466,0.536842655406803,0.556357344593197,0.6706,0.662868576300376,0.678331423699624,6706,5466,2821
"Yuen","Cauchy",33061106,10000,10,10,1,2,2,0,0.0139,0.0108841222153569,0.0169158777846431,0.0714,0.0663531602277861,0.0764468397722139,0.1369,0.131245448229083,0.142554551770916,1369,714,139
"Yuen","Cauchy",5596496,10000,10,10,1,0.5,2,0,0.0265,0.0223625117486088,0.0306374882513912,0.1124,0.106209184322046,0.118590815677954,0.1995,0.192926176789769,0.206073823210231,1995,1124,265
"Yuen","Cauchy",817632,10000,10,10,1,1,2,0,0.0232,0.019322135083248,0.027077864916752,0.0947,0.0889611176571043,0.100438882342896,0.1744,0.168157996832298,0.180642003167702,1744,947,232
