"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","Exp",46757,10000,10,10,0,1,1,0.0066,0.00451416522232848,0.00868583477767152,0.0399,0.0360638043013423,0.0437361956986577,0.0867,0.0820710533029884,0.0913289466970116,867,399,66
"Yuen","Exp",37083363,10000,10,10,0,0.5,1,0.0061,0.0040942254270472,0.0081057745729528,0.038,0.0342525538082582,0.0417474461917418,0.0816,0.0770967410670049,0.0861032589329951,816,380,61
"Yuen","Exp",47139,10000,10,10,0,0.25,1,0.0067,0.00459852862937988,0.00880147137062012,0.0335,0.0299732115969341,0.0370267884030659,0.0798,0.0753423243774474,0.0842576756225526,798,335,67
"Yuen","Exp",64771,10000,10,10,0,0.125,1,0.0071,0.00493714308998861,0.00926285691001139,0.0406,0.0367317107111282,0.0444682892888718,0.089,0.0843159654038959,0.0936840345961041,890,406,71
"Yuen","Exp",1561947,10000,10,10,0.5,1,0,0.066,0.0596042531652355,0.0723957468347645,0.2158,0.207737026907052,0.223862973092948,0.3354,0.32763345970389,0.34316654029611,3354,2158,660
"Yuen","Exp",1532239,10000,10,10,0.5,0.5,0,0.0176,0.0142127568787251,0.0209872431212749,0.0825,0.0771075505565652,0.0878924494434348,0.1515,0.145602089987176,0.157397910012824,1515,825,176
"Yuen","Exp",133070537,10000,10,10,0.5,0.25,0,0.0083,0.00596291202152422,0.0106370879784758,0.047,0.0428518786710126,0.0511481213289874,0.0984,0.0935002896965637,0.103299710303436,984,470,83
"Yuen","Exp",1262698,10000,10,10,0.5,0.125,0,0.0068,0.00468301066328241,0.00891698933671759,0.045,0.0409368391614409,0.0490631608385591,0.0932,0.0884177793086893,0.0979822206913107,932,450,68
"Yuen","Exp",189670,10000,10,10,1,1,0,0.3126,0.30065887871579,0.32454112128421,0.6,0.59039800020829,0.60960199979171,0.7251,0.7177556692872,0.7324443307128,7251,6000,3126
"Yuen","Exp",99536423,10000,10,10,1,0.5,0,0.0547,0.0488423374270264,0.0605576625729736,0.2009,0.193046800955636,0.208753199044364,0.3235,0.315804498179496,0.331195501820504,3235,2009,547
"Yuen","Exp",2437881,10000,10,10,1,0.25,0,0.0177,0.0143033205488748,0.0210966794511252,0.0851,0.0796310032511986,0.0905689967488014,0.1544,0.148456092565862,0.160343907434138,1544,851,177
"Yuen","Exp",234372524,10000,10,10,1,0.125,0,0.0079,0.00561946296632043,0.0101805370336796,0.0448,0.0407454539694807,0.0488545460305193,0.0952,0.090372073248443,0.100027926751557,952,448,79
"Yuen","Exp",161731,10000,10,10,1.5,1,0,0.6422,0.629851870444362,0.654548129555638,0.866,0.859323214617797,0.872676785382203,0.9253,0.920975185501576,0.929624814498424,9253,8660,6422
"Yuen","Exp",72341,10000,10,10,1.5,0.5,0,0.1547,0.145384708492225,0.164015291507775,0.4003,0.390696801833472,0.409903198166528,0.5487,0.54051410727185,0.55688589272815,5487,4003,1547
"Yuen","Exp",141745,10000,10,10,1.5,0.25,0,0.0337,0.0290514575751687,0.0383485424248313,0.1318,0.125169845217372,0.138430154782628,0.2346,0.227629336228801,0.241570663771199,2346,1318,337
"Yuen","Exp",24769,10000,10,10,1.5,0.125,0,0.0129,0.00999315891531993,0.0158068410846801,0.0604,0.0557307616408669,0.0650692383591331,0.1221,0.116714249148635,0.127485750851365,1221,604,129
"Yuen","Exp",844241,10000,10,10,2,1,0,0.8562,0.847161155533308,0.865238844466692,0.9653,0.961712829975371,0.96888717002463,0.9855,0.983533571238419,0.987466428761582,9855,9653,8562
"Yuen","Exp",6428580,10000,10,10,2,0.5,0,0.3117,0.29976827749106,0.32363172250894,0.6012,0.591602831229493,0.610797168770507,0.7327,0.725420048643516,0.739979951356484,7327,6012,3117
"Yuen","Exp",12260552,10000,10,10,2,0.25,0,0.0605,0.0543585356070722,0.0666414643929278,0.2068,0.19886178803246,0.21473821196754,0.3292,0.321469771304521,0.336930228695479,3292,2068,605
"Yuen","Exp",185022,10000,10,10,2,0.125,0,0.0185,0.0150288220779683,0.0219711779220317,0.0801,0.074779620164086,0.085420379835914,0.1512,0.145306890873028,0.157093109126972,1512,801,185
"Yuen","Exp",162953773,10000,10,10,2.5,1,0,0.9486,0.942911877008722,0.954288122991278,0.9931,0.991477528384717,0.994722471615283,0.9974,0.996562302425036,0.998237697574964,9974,9931,9486
"Yuen","Exp",4930307,10000,10,10,2.5,0.5,0,0.4987,0.485820043534474,0.511579956465526,0.7703,0.762055458320464,0.778544541679536,0.8656,0.85998920811065,0.87121079188935,8656,7703,4987
"Yuen","Exp",7353941,10000,10,10,2.5,0.25,0,0.1001,0.0923685665253962,0.107831433474604,0.2934,0.284475725038391,0.302324274961609,0.4308,0.422654154000695,0.438945845999305,4308,2934,1001
"Yuen","Exp",96943738,10000,10,10,2.5,0.125,0,0.0224,0.0185880213086346,0.0262119786913654,0.0966,0.0908099184884494,0.102390081511551,0.178,0.17170766534663,0.18429233465337,1780,966,224
"Yuen","Exp",6050609,10000,10,10,5,1,0,0.9997,0.999253890643434,1.00014610935657,1,1,1,1,1,1,10000,10000,9997
"Yuen","Exp",1346088,10000,10,10,5,0.5,0,0.949,0.943332858545757,0.954667141454243,0.9923,0.990586741364067,0.994013258635933,0.9979,0.997146958239554,0.998653041760446,9979,9923,9490
"Yuen","Exp",4155524,10000,10,10,5,0.25,0,0.4883,0.475423526769246,0.501176473230754,0.766,0.757701905336766,0.774298094663235,0.8643,0.85866637308479,0.86993362691521,8643,7660,4883
"Yuen","Exp",73957494,10000,10,10,5,0.12,0,0.0912,0.0837838682423614,0.0986161317576386,0.2852,0.276350410947756,0.294049589052244,0.4147,0.406595575476582,0.422804424523418,4147,2852,912
"Yuen","Exp",5178192,10000,10,10,0,1.5,1,0.0074,0.00519225528409102,0.00960774471590898,0.0385,0.0347289605093555,0.0422710394906445,0.0879,0.0832421921585391,0.0925578078414609,879,385,74
"Yuen","Exp",298543350,10000,10,10,0.5,1.5,0,0.1615,0.152020538752524,0.170979461247476,0.4037,0.394083481958131,0.413316518041869,0.5508,0.542617561649215,0.558982438350785,5508,4037,1615
"Yuen","Exp",34531448,10000,10,10,1,1.5,0,0.6527,0.640435352892835,0.664964647107165,0.8706,0.864021414235385,0.877178585764615,0.9333,0.929195696649396,0.937404303350604,9333,8706,6527
"Yuen","Exp",275069,10000,10,10,1.5,1.5,0,0.9135,0.906258839257246,0.920741160742754,0.9819,0.979287062698341,0.984512937301659,0.9918,0.990316509121059,0.993283490878941,9918,9819,9135
"Yuen","Exp",1970439,10000,10,10,2,1.5,0,0.9828,0.979450787865361,0.986149212134639,0.9988,0.99812144358407,0.99947855641593,0.9998,0.999567385133966,1.00003261486603,9998,9988,9828
"Yuen","Exp",47617,10000,10,10,2.5,1.5,0,0.9986,0.997636823989136,0.999563176010864,1,1,1,1,1,1,10000,10000,9986
"Yuen","Exp",21536688,10000,10,10,5,1.5,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Yuen","Exp",11416234,10000,20,20,0,1,1,0.0062,0.0041779532159082,0.0082220467840918,0.0423,0.0383550545816704,0.0462449454183296,0.0926,0.0878316208197019,0.0973683791802981,926,423,62
"Yuen","Exp",1988122,10000,20,20,0,0.5,1,0.0053,0.00342961998908885,0.00717038001091115,0.0404,0.0365408480964854,0.0442591519035146,0.0903,0.0855852477678276,0.0950147522321724,903,404,53
"Yuen","Exp",119321971,10000,20,20,0,0.25,1,0.0059,0.00392718254677631,0.00787281745322369,0.0414,0.0374954143463871,0.0453045856536129,0.0898,0.0850970269917955,0.0945029730082045,898,414,59
"Yuen","Exp",168053,10000,20,20,0,0.125,1,0.0077,0.00544828864991625,0.00995171135008375,0.0465,0.0423729199135466,0.0506270800864534,0.0999,0.0949671940952461,0.104832805904754,999,465,77
"Yuen","Exp",1191384,10000,20,20,0.5,1,0,0.1864,0.176368305852394,0.196431694147606,0.4157,0.406040291370771,0.425359708629229,0.5459,0.537709730349557,0.554090269650444,5459,4157,1864
"Yuen","Exp",48399,10000,20,20,0.5,0.5,0,0.0328,0.0282118149607044,0.0373881850392956,0.1338,0.127127428782726,0.140472571217274,0.2269,0.220010289289457,0.233789710710543,2269,1338,328
"Yuen","Exp",22055995,10000,20,20,0.5,0.25,0,0.013,0.0100820616549351,0.0159179383450649,0.0614,0.0566947735265558,0.0661052264734442,0.1194,0.11406594602173,0.12473405397827,1194,614,130
