"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","GLDLS",25507909,10000,10,10,0,2,-0.002,-0.002,1,0.0076,0.00536284521817913,0.00983715478182087,0.0415,0.0375909054194098,0.0454090945805902,0.0928,0.088027000254934,0.097572999745066,928,415,76
"Yuen","GLDLS",666377,10000,10,10,0,2,-0.02,-0.02,1,0.0095,0.00700118041435561,0.0119988195856444,0.044,0.0399801360421029,0.0480198639578971,0.0959,0.0910562308093825,0.100743769190617,959,440,95
"Yuen","GLDLS",33285959,10000,10,10,0,2,-0.05,-0.05,1,0.0099,0.00734963120325236,0.0124503687967476,0.0488,0.0445771864817873,0.0530228135182127,0.0958,0.090958489164331,0.100641510835669,958,488,99
"Yuen","GLDLS",536266,10000,10,10,0,2,-0.1,-0.1,1,0.0083,0.00596291202152422,0.0106370879784758,0.0458,0.0417025985530339,0.0498974014469661,0.0917,0.0869524972255116,0.0964475027744884,917,458,83
"Yuen","GLDLS",149166365,10000,10,10,0,2,-0.2,-0.2,1,0.0073,0.00510711276402639,0.00949288723597361,0.0427,0.0387372740551989,0.0466627259448011,0.0931,0.0883200820284261,0.0978799179715739,931,427,73
"Yuen","GLDLS",82032,10000,10,10,0.5,2,-0.002,-0.002,0,0.0586,0.0525496323727641,0.0646503676272359,0.2006,0.192751193765776,0.208448806234224,0.3076,0.300008325178223,0.315191674821777,3076,2006,586
"Yuen","GLDLS",8618345,10000,10,10,0.5,2,-0.002,-0.02,0,0.0643,0.0579814175063883,0.0706185824936117,0.2,0.19216,0.20784,0.3116,0.303981226586412,0.319218773413588,3116,2000,643
"Yuen","GLDLS",18078682,10000,10,10,0.5,2,-0.002,-0.05,0,0.0599,0.0537871140060178,0.0660128859939822,0.2011,0.193243876225109,0.208956123774891,0.314,0.306365285800372,0.321634714199628,3140,2011,599
"Yuen","GLDLS",60792389,10000,10,10,0.5,2,-0.002,-0.1,0,0.0497,0.0441017225572489,0.0552982774427511,0.1831,0.175519729710465,0.190680270289535,0.2916,0.28412348965843,0.29907651034157,2916,1831,497
"Yuen","GLDLS",40760,10000,10,10,0.5,2,-0.002,-0.2,0,0.0469,0.0414537005668744,0.0523462994331256,0.161,0.153796393358879,0.168203606641121,0.271,0.263688368219235,0.278311631780766,2710,1610,469
"Yuen","GLDLS",50507378,10000,10,10,1,2,-0.002,-0.002,0,0.2999,0.288096409602997,0.311703590397003,0.599,0.58939402020406,0.60860597979594,0.7398,0.732582667527687,0.747017332472313,7398,5990,2999
"Yuen","GLDLS",6372548,10000,10,10,1,2,-0.002,-0.02,0,0.2948,0.283054655754143,0.306545344245857,0.587,0.577349492606085,0.596650507393915,0.734,0.726731333374683,0.741268666625317,7340,5870,2948
"Yuen","GLDLS",4765206,10000,10,10,1,2,-0.002,-0.05,0,0.2846,0.272976477129528,0.296223522870472,0.5844,0.574740626830772,0.594059373169228,0.7237,0.716344103142255,0.731055896857745,7237,5844,2846
"Yuen","GLDLS",1293445,10000,10,10,1,2,-0.002,-0.1,0,0.2623,0.250968565422468,0.273631434577532,0.562,0.552275634264385,0.571724365735615,0.7089,0.701427266519139,0.716372733480861,7089,5620,2623
"Yuen","GLDLS",114733,10000,10,10,1,2,-0.002,-0.2,0,0.2375,0.226537803322326,0.248462196677674,0.5297,0.519917304241386,0.539482695758614,0.6709,0.663170369401001,0.678629630598999,6709,5297,2375
"Yuen","GLDLS",84216,10000,10,10,1.5,2,-0.002,-0.002,0,0.6703,0.658190117146611,0.682409882853389,0.9038,0.898020639626256,0.909579360373744,0.9584,0.955115373668497,0.961684626331503,9584,9038,6703
"Yuen","GLDLS",16591868,10000,10,10,1.5,2,-0.002,-0.02,0,0.6558,0.643561251852189,0.668038748147811,0.8983,0.892375833613275,0.904224166386725,0.955,0.951589847153352,0.958410152846648,9550,8983,6558
"Yuen","GLDLS",11453805,10000,10,10,1.5,2,-0.002,-0.05,0,0.6491,0.636805996077187,0.661394003922813,0.889,0.882843010099083,0.895156989900918,0.9479,0.944244338073895,0.951555661926105,9479,8890,6491
"Yuen","GLDLS",289373850,10000,10,10,1.5,2,-0.002,-0.1,0,0.6124,0.599849664551885,0.624950335448116,0.8714,0.864838768919905,0.877961231080095,0.9393,0.935372082034363,0.943227917965637,9393,8714,6124
"Yuen","GLDLS",78522601,10000,10,10,1.5,2,-0.002,-0.2,0,0.5685,0.555741444909144,0.581258555090856,0.834,0.826707219526134,0.841292780473866,0.9115,0.906827859717498,0.916172140282502,9115,8340,5685
"Yuen","GLDLS",2870294,10000,10,10,2,2,-0.002,-0.002,0,0.9001,0.89237543585979,0.90782456414021,0.9885,0.986410254838503,0.990589745161497,0.9973,0.996446387641974,0.998153612358026,9973,9885,9001
"Yuen","GLDLS",22067967,10000,10,10,2,2,-0.002,-0.02,0,0.9006,0.892892651048249,0.908307348951751,0.9873,0.985105262923811,0.989494737076189,0.9971,0.996215425818275,0.997984574181725,9971,9873,9006
"Yuen","GLDLS",43918,10000,10,10,2,2,-0.002,-0.05,0,0.8878,0.879669825679236,0.895930174320764,0.9846,0.982186505310882,0.987013494689118,0.9955,0.99439898612662,0.99660101387338,9955,9846,8878
"Yuen","GLDLS",94661,10000,10,10,2,2,-0.002,-0.1,0,0.8659,0.857122029490882,0.874677970509118,0.9784,0.975550680377634,0.981249319622366,0.992,0.990534564419703,0.993465435580297,9920,9784,8659
"Yuen","GLDLS",8214349,10000,10,10,2,2,-0.002,-0.2,0,0.8259,0.816131925184247,0.835668074815753,0.961,0.957205539216173,0.964794460783827,0.9858,0.983853723757557,0.987746276242443,9858,9610,8259
"Yuen","GLDLS",389064,10000,10,10,2.5,2,-0.002,-0.002,0,0.9782,0.974438267279381,0.981961732720619,0.9994,0.998920044062022,0.999879955937978,1,1,1,10000,9994,9782
"Yuen","GLDLS",1048172,10000,10,10,2.5,2,-0.002,-0.02,0,0.9818,0.97835655566681,0.98524344433319,0.9989,0.998250299171618,0.999549700828382,0.9999,0.999735508225206,1.00006449177479,9999,9989,9818
"Yuen","GLDLS",270537369,10000,10,10,2.5,2,-0.002,-0.05,0,0.9744,0.970331498513695,0.978468501486305,0.9987,0.997993771446627,0.999406228553373,0.9997,0.999415120383714,0.999984879616286,9997,9987,9744
"Yuen","GLDLS",568492,10000,10,10,2.5,2,-0.002,-0.1,0,0.966,0.961331537437828,0.970668462562172,0.9972,0.996164318492199,0.998235681507801,0.9993,0.998864926265128,0.999735073734871,9993,9972,9660
