"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","Logistic",259370,10000,10,10,0,1,1,0.0088,0.00639415390545114,0.0112058460945489,0.0476,0.0434267995928305,0.0517732004071695,0.0947,0.0898834380336411,0.0995165619663589,947,476,88
"Yuen","Logistic",27332303,10000,10,10,0,3,1,0.0093,0.00682737409756834,0.0117726259024317,0.0464,0.0422771438435958,0.0505228561564042,0.0966,0.0917404673028058,0.101459532697194,966,464,93
"Yuen","Logistic",9134016,10000,10,10,0,5,1,0.0101,0.00752425890101043,0.0126757410989896,0.0495,0.0452485729501731,0.0537514270498269,0.0956,0.0907630107157861,0.100436989284214,956,495,101
"Yuen","Logistic",130031895,10000,10,10,0,2,1,0.01,0.00743691236201335,0.0125630876379867,0.0492,0.0449608068058179,0.0534391931941821,0.1001,0.0951628074279025,0.105037192572098,1001,492,100
"Yuen","Logistic",97931,10000,10,10,0.5,1,0,0.0177,0.0143033205488748,0.0210966794511252,0.0819,0.0765254387581497,0.0872745612418503,0.1481,0.142256975051399,0.153943024948601,1481,819,177
"Yuen","Logistic",80504444,10000,10,10,1.5,1,0,0.153,0.14372672200559,0.16227327799441,0.3904,0.380838336514267,0.399961663485733,0.5429,0.534705330668479,0.551094669331521,5429,3904,1530
"Yuen","Logistic",23234553,10000,10,10,2,1,0,0.3056,0.293733370317126,0.317466629682874,0.6125,0.602951284117747,0.622048715882254,0.7496,0.742473146139172,0.756726853860828,7496,6125,3056
"Yuen","Logistic",588995,10000,10,10,2.5,1,0,0.4878,0.47492383468924,0.50067616531076,0.7826,0.77451545164413,0.79068454835587,0.8851,0.879854074882447,0.890345925117553,8851,7826,4878
"Yuen","Logistic",6742491,10000,10,10,0.5,3,0,0.0106,0.00796193954184822,0.0132380604581518,0.0493,0.0450567240295262,0.0535432759704738,0.0987,0.093793642789016,0.103606357210984,987,493,106
"Yuen","Logistic",20515738,10000,10,10,1.5,3,0,0.0202,0.0165759827102929,0.0238240172897071,0.0882,0.0826417233640633,0.0937582766359367,0.1584,0.152393847509628,0.164406152490372,1584,882,202
"Yuen","Logistic",199882767,10000,10,10,2,3,0,0.0299,0.0255127770480834,0.0342872229519166,0.118,0.111676880820355,0.124323119179645,0.2021,0.195494232384274,0.208705767615726,2021,1180,299
"Yuen","Logistic",21566,10000,10,10,2.5,3,0,0.0412,0.0360801353573892,0.0463198646426108,0.154,0.146925404503436,0.161074595496564,0.256,0.248820861154707,0.263179138845293,2560,1540,412
"Yuen","Logistic",301195,10000,10,10,1,1,0,0.0613,0.0551206968056053,0.0674793031943947,0.2011,0.193243876225109,0.208956123774891,0.3171,0.309445046099226,0.324754953900774,3171,2011,613
"Yuen","Logistic",76188,10000,10,10,1,3,0,0.0146,0.0115102128295328,0.0176897871704672,0.0653,0.0604577324334977,0.0701422675665023,0.1251,0.119657809180213,0.130542190819787,1251,653,146
"Yuen","Logistic",28643209,10000,10,10,5,1,0,0.9828,0.979450787865361,0.986149212134639,0.9987,0.997993771446627,0.999406228553373,0.9998,0.999567385133966,1.00003261486603,9998,9987,9828
"Yuen","Logistic",74519628,10000,10,10,5,3,0,0.1903,0.180188226745441,0.200411773254559,0.4591,0.449332842106815,0.468867157893185,0.6129,0.604887421476954,0.620912578523046,6129,4591,1903
"Yuen","Logistic",105044235,10000,10,10,0.5,5,0,0.0089,0.00648064499126234,0.0113193550087377,0.0489,0.0446730842489588,0.0531269157510412,0.0995,0.0945759857484594,0.104424014251541,995,489,89
"Yuen","Logistic",13041945,10000,10,10,1,5,0,0.0115,0.00875347778774684,0.0142465222122532,0.0521,0.0477443177050662,0.0564556822949338,0.1068,0.101719272695726,0.111880727304274,1068,521,115
"Yuen","Logistic",593265,10000,10,10,1.5,5,0,0.0136,0.0106163914386931,0.0165836085613069,0.061,0.0563091258128148,0.0656908741871852,0.1183,0.112987258379257,0.123612741620743,1183,610,136
"Yuen","Logistic",22640948,10000,10,10,2,5,0,0.0156,0.0124077715753311,0.0187922284246689,0.069,0.0640322988978804,0.0739677011021196,0.1332,0.127610442012073,0.138789557987927,1332,690,156
"Yuen","Logistic",2080610,10000,10,10,2.5,5,0,0.0188,0.015301325391944,0.022298674608056,0.0818,0.0764284284197639,0.0871715715802361,0.1544,0.148456092565862,0.160343907434138,1544,818,188
"Yuen","Logistic",238933,10000,10,10,5,5,0,0.0611,0.0549301282972898,0.0672698717027102,0.2033,0.195411904330093,0.211188095669907,0.3237,0.316003257703302,0.331396742296698,3237,2033,611
"Yuen","Logistic",520817,10000,10,10,3,1,0,0.6647,0.652538826771219,0.676861173228781,0.9031,0.897301897601594,0.908898102398406,0.9578,0.95449280696906,0.96110719303094,9578,9031,6647
"Yuen","Logistic",63337,10000,10,10,3,3,0,0.0623,0.0560738175920637,0.0685261824079363,0.206,0.198073162910719,0.213926837089281,0.3176,0.309941818442372,0.325258181557628,3176,2060,623
"Yuen","Logistic",20683444,10000,10,10,3,5,0,0.0251,0.0210703924215596,0.0291296075784404,0.0996,0.0937304678777265,0.105469532122273,0.1796,0.173285602842424,0.185914397157576,1796,996,251
"Yuen","Logistic",270152,10000,10,10,0.5,2,0,0.0115,0.00875347778774684,0.0142465222122532,0.0557,0.0512049071820929,0.0601950928179071,0.1092,0.104069409819095,0.114330590180905,1092,557,115
"Yuen","Logistic",214129105,10000,10,10,1,2,0,0.0196,0.0160291176175651,0.0231708823824349,0.0852,0.0797280899867048,0.0906719100132952,0.1582,0.152196927304463,0.164203072695537,1582,852,196
"Yuen","Logistic",5055023,10000,10,10,1.5,2,0,0.0385,0.0335437766694387,0.0434562233305613,0.1362,0.129477184000019,0.142922815999981,0.2279,0.220999590870247,0.234800409129753,2279,1362,385
"Yuen","Logistic",75737,10000,10,10,2,2,0,0.0596,0.0535014681149982,0.0656985318850018,0.2046,0.19669318314526,0.21250681685474,0.3141,0.306464626753264,0.321735373246736,3141,2046,596
"Yuen","Logistic",2387770,10000,10,10,2.5,2,0,0.0972,0.089569117500078,0.104830882499922,0.2814,0.272586229773451,0.290213770226549,0.4191,0.410983376129697,0.427216623870303,4191,2814,972
"Yuen","Logistic",1073076,10000,10,10,3,2,0,0.1507,0.141484199878959,0.159915800121041,0.3913,0.381734390530154,0.400865609469846,0.5436,0.535406330463608,0.551793669536392,5436,3913,1507
"Yuen","Logistic",6223186,10000,10,10,5,2,0,0.4771,0.46423351589319,0.48996648410681,0.7826,0.77451545164413,0.79068454835587,0.8792,0.873839032071127,0.884560967928873,8792,7826,4771
"Yuen","Logistic",228505973,10000,20,20,0,1,1,0.0092,0.00674057959837363,0.0116594204016264,0.0477,0.0435226376032717,0.0518773623967283,0.0947,0.0898834380336411,0.0995165619663589,947,477,92
"Yuen","Logistic",269836,10000,20,20,0,3,1,0.0102,0.00761166986137858,0.0127883301386214,0.0465,0.0423729199135466,0.0506270800864534,0.0977,0.0928158537170991,0.102584146282901,977,465,102
"Yuen","Logistic",12940716,10000,20,20,0,5,1,0.0078,0.0055338285107221,0.0100661714892779,0.0509,0.0465920470719378,0.0552079529280622,0.0977,0.0928158537170991,0.102584146282901,977,509,78
"Yuen","Logistic",41998,10000,20,20,0,2,1,0.0104,0.00778668132697445,0.0130133186730255,0.0533,0.0488972313599736,0.0577027686400264,0.1042,0.099174198972114,0.109225801027886,1042,533,104
"Yuen","Logistic",33959304,10000,20,20,0.5,1,0,0.0408,0.0357039870227858,0.0458960129772142,0.1361,0.129379263459531,0.142820736540469,0.2244,0.217537280808921,0.231262719191079,2244,1361,408
"Yuen","Logistic",29052,10000,20,20,1.5,1,0,0.4636,0.450754176312003,0.476445823687997,0.7274,0.718672182721986,0.736127817278014,0.8259,0.819662234832332,0.832137765167668,8259,7274,4636
"Yuen","Logistic",468015,10000,20,20,2,1,0,0.7494,0.738236683539733,0.760563316460267,0.9184,0.913034414888346,0.923765585111654,0.9609,0.957711448927495,0.964088551072505,9609,9184,7494
"Yuen","Logistic",2160224,10000,20,20,2.5,1,0,0.9287,0.922071300273006,0.935328699726994,0.9874,0.985213809990326,0.989586190009674,0.9959,0.994848847574338,0.996951152425662,9959,9874,9287
"Yuen","Logistic",2114251,10000,20,20,0.5,3,0,0.0123,0.00946070223032243,0.0151392977696776,0.0586,0.0539964594140597,0.0632035405859403,0.1164,0.111124419600499,0.121675580399501,1164,586,123
