"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","Normal",79162614,10000,10,10,0,1,1,0.0103,0.00769914430765258,0.0129008556923474,0.0468,0.0426602795503078,0.0509397204496922,0.0938,0.0890039980567247,0.0985960019432753,938,468,103
"Yuen","Normal",38387469,10000,10,10,0,3,1,0.0113,0.00857718993386318,0.0140228100661368,0.0509,0.0465920470719378,0.0552079529280622,0.0963,0.0914472134755612,0.101152786524439,963,509,113
"Yuen","Normal",2296636,10000,10,10,0,5,1,0.0085,0.00613516044552701,0.010864839554473,0.0468,0.0426602795503078,0.0509397204496922,0.0966,0.0917404673028058,0.101459532697194,966,468,85
"Yuen","Normal",151203871,10000,10,10,0.5,1,0,0.0446,0.0392825194931073,0.0499174805068927,0.1505,0.143491807653895,0.157508192346105,0.2457,0.23861825092687,0.25278174907313,2457,1505,446
"Yuen","Normal",13599937,10000,10,10,1.5,1,0,0.4776,0.464732931829534,0.490467068170466,0.7898,0.781813968996203,0.797786031003797,0.8879,0.88271019862731,0.89308980137269,8879,7898,4776
"Yuen","Normal",45966054,10000,10,10,2,1,0,0.7694,0.758549453782668,0.780250546217332,0.9575,0.953546152380276,0.961453847619724,0.985,0.983000462069002,0.986999537930998,9850,9575,7694
"Yuen","Normal",3379677,10000,10,10,2.5,1,0,0.9343,0.927917780774262,0.940682219225738,0.994,0.992486352009217,0.995513647990783,0.9989,0.99835471537618,0.99944528462382,9989,9940,9343
"Yuen","Normal",48557721,10000,10,10,0.5,3,0,0.0115,0.00875347778774684,0.0142465222122532,0.0554,0.0509163167491001,0.0598836832508999,0.1079,0.102796320494195,0.113003679505805,1079,554,115
"Yuen","Normal",64626,10000,10,10,1.5,3,0,0.0468,0.0413592245518331,0.0522407754481669,0.1524,0.145355599667935,0.159444400332065,0.2482,0.241094118650871,0.255305881349129,2482,1524,468
"Yuen","Normal",2745102,10000,10,10,2,3,0,0.0762,0.0693654122582078,0.0830345877417922,0.2346,0.226294528272615,0.242905471727385,0.3563,0.348422007409132,0.364177992590868,3563,2346,762
"Yuen","Normal",14192154,10000,10,10,2.5,3,0,0.1265,0.117937066405116,0.135062933594884,0.3354,0.326146249859954,0.344653750140046,0.4845,0.476278953062451,0.492721046937548,4845,3354,1265
"Yuen","Normal",1117773,10000,10,10,0.5,5,0,0.012,0.00919511568409676,0.0148048843159032,0.0563,0.0517821974490246,0.0608178025509754,0.1115,0.10632235760028,0.11667764239972,1115,563,120
"Yuen","Normal",538961,10000,10,10,1.5,5,0,0.0223,0.0184963451818947,0.0261036548181053,0.0835,0.0780779247109617,0.0889220752890383,0.1538,0.147865548559479,0.159734451440521,1538,835,223
"Yuen","Normal",417992,10000,10,10,2,5,0,0.0352,0.0304528184856174,0.0399471815143826,0.1206,0.114217027756413,0.126982972243587,0.2035,0.196877209774621,0.210122790225379,2035,1206,352
