"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","Normal2Var",559101,10000,10,10,0.5,1,3,0,0.0221,0.0183130530734662,0.0258869469265338,0.08,0.0746826532932298,0.0853173467067702,0.138,0.132326395238475,0.143673604761525,1380,800,221
"Yuen","Normal2Var",3076439,10000,10,10,1.5,1,3,0,0.0844,0.0772390610038024,0.0915609389961976,0.2359,0.227578624083098,0.244221375916902,0.3596,0.351705922142289,0.367494077857711,3596,2359,844
"Yuen","Normal2Var",136521187,10000,10,10,2,1,3,0,0.1476,0.138462849928724,0.156737150071276,0.3639,0.35447004116412,0.37332995883588,0.5124,0.504177529741033,0.520622470258967,5124,3639,1476
"Yuen","Normal2Var",2133166,10000,10,10,2.5,1,3,0,0.2364,0.225455332942154,0.247344667057846,0.5126,0.50280311219017,0.52239688780983,0.6661,0.658342106226496,0.673857893773504,6661,5126,2364
"Yuen","Normal2Var",1549758,10000,10,10,0.5,3,5,0,0.0137,0.0107055941757577,0.0166944058242423,0.0615,0.056791194329769,0.066208805670231,0.1145,0.109262030944691,0.119737969055309,1145,615,137
"Yuen","Normal2Var",9372761,10000,10,10,1.5,3,5,0,0.0299,0.0255127770480834,0.0342872229519166,0.1104,0.1042576014087,0.1165423985913,0.1841,0.177724543849106,0.190475456150894,1841,1104,299
"Yuen","Normal2Var",262794,10000,10,10,2,3,5,0,0.0457,0.0403204441504734,0.0510795558495266,0.1506,0.143589892375833,0.157610107624167,0.2464,0.239311461558149,0.253488538441851,2464,1506,457
"Yuen","Normal2Var",2115485,10000,10,10,2.5,3,5,0,0.0638,0.0575043508615985,0.0700956491384015,0.2006,0.192751193765776,0.208448806234224,0.316,0.30835218287614,0.32364781712386,3160,2006,638
"Yuen","Normal2Var",42014426,10000,10,10,0.5,1,5,0,0.0186,0.0151196304717022,0.0220803695282978,0.0688,0.0638389709041772,0.0737610290958228,0.1219,0.116518048947178,0.127281951052822,1219,688,186
"Yuen","Normal2Var",4634861,10000,10,10,1.5,1,5,0,0.0403,0.0352339889917593,0.0453660110082407,0.1264,0.11988692737286,0.13291307262714,0.2139,0.20715456141226,0.22064543858774,2139,1264,403
"Yuen","Normal2Var",94624,10000,10,10,2,1,5,0,0.0618,0.0555971995383556,0.0680028004616444,0.1827,0.175126160554012,0.190273839445988,0.2843,0.276879727734795,0.291720272265205,2843,1827,618
"Yuen","Normal2Var",217050,10000,10,10,2.5,1,5,0,0.0863,0.0790664236629274,0.0935335763370726,0.2476,0.239140283974128,0.256059716025872,0.3681,0.360166350887519,0.376033649112481,3681,2476,863
"Yuen","Normal2Var",388362,10000,10,10,1,1,3,0,0.0441,0.0388110265828099,0.0493889734171901,0.1433,0.136432580931849,0.150167419068151,0.2305,0.22357203509143,0.23742796490857,2305,1433,441
"Yuen","Normal2Var",13158331,10000,10,10,1,3,5,0,0.0196,0.0160291176175651,0.0231708823824349,0.0755,0.0703217501064549,0.0806782498935451,0.1362,0.130557636571445,0.141842363428555,1362,755,196
"Yuen","Normal2Var",22599076,10000,10,10,1,1,5,0,0.0266,0.0224549254297004,0.0307450745702995,0.0954,0.0896421738151973,0.101157826184803,0.1628,0.156726938034533,0.168873061965467,1628,954,266
"Yuen","Normal2Var",23734537,10000,10,10,5,1,3,0,0.7675,0.75661830549225,0.77838169450775,0.9641,0.960453599754498,0.967746400245502,0.9908,0.989229446210918,0.992370553789082,9908,9641,7675
"Yuen","Normal2Var",271972,10000,10,10,5,3,5,0,0.3037,0.291854143911449,0.315545856088551,0.6015,0.59190404837236,0.61109595162764,0.7487,0.741564637146103,0.755835362853897,7487,6015,3037
"Yuen","Normal2Var",343070664,10000,10,10,5,1,5,0,0.3348,0.322643327874155,0.346956672125845,0.6627,0.653433350700841,0.671966649299159,0.804,0.797469867967644,0.810530132032356,8040,6627,3348
"Yuen","Normal2Var",1200602,10000,20,20,0.5,1,3,0,0.0261,0.0219930133110632,0.0302069866889368,0.1004,0.0945095611594381,0.106290438840562,0.174,0.167763649006831,0.180236350993169,1740,1004,261
"Yuen","Normal2Var",197161,10000,20,20,1.5,1,3,0,0.2129,0.202354949944377,0.223445050055623,0.4478,0.438053553187669,0.457546446812331,0.5938,0.585721030688268,0.601878969311732,5938,4478,2129
"Yuen","Normal2Var",1637304,10000,20,20,2,1,3,0,0.4084,0.395737985455207,0.421062014544793,0.6858,0.676701749246278,0.694898250753722,0.807,0.800507957950113,0.813492042049887,8070,6858,4084
"Yuen","Normal2Var",25249,10000,20,20,2.5,1,3,0,0.6237,0.611220394987266,0.636179605012734,0.8604,0.853607197599341,0.867192802400659,0.9269,0.922618055520564,0.931181944479436,9269,8604,6237
"Yuen","Normal2Var",435925,10000,20,20,0.5,3,5,0,0.0156,0.0124077715753311,0.0187922284246689,0.0651,0.0602646363033997,0.0699353636966003,0.1234,0.117989664271498,0.128810335728502,1234,651,156
"Yuen","Normal2Var",139291,10000,20,20,1.5,3,5,0,0.064,0.0576951643518328,0.0703048356481672,0.1809,0.173355267997444,0.188444732002556,0.2765,0.269142458204714,0.283857541795286,2765,1809,640
"Yuen","Normal2Var",3669436,10000,20,20,2,3,5,0,0.1069,0.0989405188974115,0.114859481102589,0.2799,0.27110058245573,0.28869941754427,0.4026,0.394532566453506,0.410667433546494,4026,2799,1069
"Yuen","Normal2Var",101954429,10000,20,20,2.5,3,5,0,0.1735,0.163745230151849,0.183254769848151,0.3957,0.386115589779147,0.405284410220853,0.5301,0.521889917392074,0.538310082607926,5301,3957,1735
"Yuen","Normal2Var",369795,10000,20,20,0.5,1,5,0,0.0203,0.0166672088434902,0.0239327911565098,0.0706,0.065579352206896,0.075620647793104,0.1233,0.117891548446295,0.128708451553705,1233,706,203
"Yuen","Normal2Var",114406,10000,20,20,1.5,1,5,0,0.0719,0.0652456185829738,0.0785543814170262,0.2114,0.203397292397794,0.219402707602206,0.3199,0.312227102268114,0.327572897731886,3199,2114,719
"Yuen","Normal2Var",172729,10000,20,20,2,1,5,0,0.1337,0.124933106727497,0.142466893272503,0.3276,0.318400973492896,0.336799026507104,0.4614,0.453199546469914,0.469600453530086,4614,3276,1337
"Yuen","Normal2Var",26387705,10000,20,20,2.5,1,5,0,0.2233,0.21257204673739,0.23402795326261,0.4793,0.469508402005719,0.489091597994281,0.6198,0.611814580343157,0.627785419656843,6198,4793,2233
"Yuen","Normal2Var",24543,10000,20,20,1,1,3,0,0.0848,0.0776236800924641,0.0919763199075359,0.2389,0.230542334079039,0.247257665920961,0.3457,0.33787644658197,0.35352355341803,3457,2389,848
"Yuen","Normal2Var",6506302,10000,20,20,1,3,5,0,0.0298,0.0254198939478483,0.0341801060521517,0.1011,0.0951913625964695,0.107008637403531,0.174,0.167763649006831,0.180236350993169,1740,1011,298
"Yuen","Normal2Var",391701,10000,20,20,1,1,5,0,0.0392,0.0342007438516579,0.0441992561483421,0.1248,0.118322356861203,0.131277643138797,0.206,0.199347118871496,0.212652881128504,2060,1248,392
"Yuen","Normal2Var",4295888,10000,20,20,5,1,3,0,0.9978,0.996593078708276,0.999006921291724,1,1,1,1,1,1,10000,10000,9978
"Yuen","Normal2Var",17228111,10000,20,20,5,3,5,0,0.7454,0.734178013225013,0.756621986774987,0.9176,0.912210526018395,0.922989473981605,0.9625,0.959374770570922,0.965625229429078,9625,9176,7454
"Yuen","Normal2Var",17651412,10000,20,20,5,1,5,0,0.8215,0.811635643649259,0.831364356350741,0.9601,0.956263804301342,0.963936195698658,0.9854,0.983426902214511,0.987373097785489,9854,9601,8215
"Yuen","Normal2Var",539114,10000,100,100,0.5,1,3,0,0.1343,0.125516500644198,0.143083499355802,0.3095,0.300439164632331,0.318560835367669,0.4314,0.423252780814345,0.439547219185655,4314,3095,1343
"Yuen","Normal2Var",25921,10000,100,100,1.5,1,3,0,0.9629,0.958031183499496,0.967768816500504,0.9935,0.991924941512197,0.995075058487803,0.998,0.997265069669969,0.998734930330031,9980,9935,9629
"Yuen","Normal2Var",3606246,10000,100,100,2,1,3,0,0.9998,0.999435735018296,1.0001642649817,1,1,1,1,1,1,10000,10000,9998
"Yuen","Normal2Var",824351,10000,100,100,2.5,1,3,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"Yuen","Normal2Var",1001036,10000,100,100,0.5,3,5,0,0.0394,0.0343885285477353,0.0444114714522647,0.1211,0.114705628339985,0.127494371660015,0.1995,0.192926176789769,0.206073823210231,1995,1211,394
"Yuen","Normal2Var",16675095,10000,100,100,1.5,3,5,0,0.4167,0.404000003620979,0.429399996379021,0.6645,0.655245566772622,0.673754433227378,0.7707,0.763784706628799,0.777615293371201,7707,6645,4167
"Yuen","Normal2Var",127065,10000,100,100,2,3,5,0,0.7242,0.712687430901561,0.735712569098439,0.8882,0.882023643471949,0.894376356528051,0.9371,0.933106219483625,0.941093780516375,9371,8882,7242
"Yuen","Normal2Var",8523074,10000,100,100,2.5,3,5,0,0.912,0.904702323392641,0.919297676607359,0.976,0.97300023936955,0.97899976063045,0.9904,0.988795990874839,0.992004009125161,9904,9760,9120
"Yuen","Normal2Var",971311,10000,100,100,0.5,1,5,0,0.0476,0.0421152223220058,0.0530847776779943,0.151,0.143982241964844,0.158017758035156,0.2344,0.227431397885831,0.241368602114169,2344,1510,476
"Yuen","Normal2Var",12562641,10000,100,100,1.5,1,5,0,0.5433,0.530468388059424,0.556131611940576,0.7766,0.768436124954998,0.784763875045002,0.8614,0.855716053897238,0.867083946102762,8614,7766,5433
"Yuen","Normal2Var",17795062,10000,100,100,2,1,5,0,0.8453,0.835984708492226,0.854615291507775,0.9516,0.947393644552537,0.955806355447463,0.9785,0.976114026876854,0.980885973123146,9785,9516,8453
