"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","ghEqual",488701,10000,10,10,0,3,1,1,0,1,0.0073,0.00510711276402639,0.00949288723597361,0.0363,0.0326341025369495,0.0399658974630505,0.0845,0.0799246593843327,0.0890753406156673,845,363,73
"Yuen","ghEqual",1039046,10000,10,10,0,3,3,3,0,1,0.0043,0.0026144395204633,0.0059855604795367,0.0229,0.0199681393869421,0.0258318606130579,0.0589,0.0550270540475014,0.0627729459524986,589,229,43
"Yuen","ghEqual",17147,10000,10,10,0,3,-3,-3,0,1,0.0041,0.00245394003130384,0.00574605996869616,0.0219,0.0190314015578335,0.0247685984421665,0.0585,0.0546394071900322,0.0623605928099678,585,219,41
"Yuen","ghEqual",76938359,10000,10,10,0,3,-1,-1,0,1,0.0077,0.00544828864991625,0.00995171135008375,0.0403,0.0364454264067734,0.0441545735932266,0.0855,0.0809001802400121,0.0900998197599879,855,403,77
"Yuen","ghEqual",24494,10000,10,10,0.5,3,1,1,0,0,0.0117,0.00892997819822009,0.0144700218017799,0.0504,0.0461121291840355,0.0546878708159645,0.1073,0.102208819076798,0.112391180923202,1073,504,117
"Yuen","ghEqual",7614000,10000,10,10,0.5,3,3,3,0,0,0.0061,0.0040942254270472,0.0081057745729528,0.0354,0.0317781427341211,0.0390218572658789,0.0904,0.0856828971737305,0.0951171028262695,904,354,61
"Yuen","ghEqual",2179608,10000,10,10,0.5,3,1,3,0,0,0.0117,0.00892997819822009,0.0144700218017799,0.071,0.0659662330765122,0.0760337669234878,0.1394,0.133702321235529,0.145097678764471,1394,710,117
"Yuen","ghEqual",6489535,10000,10,10,0.5,3,-1,1,0,0,0.013,0.0100820616549351,0.0159179383450649,0.0678,0.0628725132221791,0.0727274867778209,0.1441,0.138322906375004,0.149877093624996,1441,678,130
"Yuen","ghEqual",6612662,10000,10,10,0.5,3,-3,3,0,0,0.0215,0.0177636676199246,0.0252363323800754,0.1127,0.106501975763713,0.118898024236287,0.2424,0.235350599369478,0.249449400630522,2424,1127,215
"Yuen","ghEqual",173438523,10000,10,10,0.5,3,-1,3,0,0,0.0135,0.0105272301497761,0.0164727698502239,0.0843,0.0788543908695537,0.0897456091304463,0.1842,0.17782320338321,0.19057679661679,1842,843,135
"Yuen","ghEqual",42473254,10000,10,10,0.5,3,1,-3,0,0,0.0151,0.0119585481968644,0.0182414518031356,0.0508,0.0464960542129808,0.0551039457870192,0.1004,0.0954562388302427,0.105343761169757,1004,508,151
"Yuen","ghEqual",196057,10000,10,10,1,3,1,1,0,0,0.0199,0.0163024437635217,0.0234975562364783,0.0876,0.0820588390784602,0.0931411609215398,0.1668,0.16066748589073,0.17293251410927,1668,876,199
"Yuen","ghEqual",61566,10000,10,10,1,3,3,3,0,0,0.0176,0.0142127568787251,0.0209872431212749,0.0895,0.083904903722008,0.095095096277992,0.1691,0.162933878392622,0.175266121607378,1691,895,176
"Yuen","ghEqual",10247153,10000,10,10,1,3,1,3,0,0,0.0238,0.0198735168427388,0.0277264831572612,0.1206,0.114217027756413,0.126982972243587,0.2261,0.219218888315034,0.232981111684966,2261,1206,238
"Yuen","ghEqual",42261775,10000,10,10,1,3,-1,1,0,0,0.0239,0.0199654781130226,0.0278345218869774,0.1203,0.113923884418739,0.126676115581261,0.2273,0.220406003219266,0.234193996780734,2273,1203,239
"Yuen","ghEqual",72335924,10000,10,10,1,3,-3,3,0,0,0.0279,0.0236576799271644,0.0321423200728356,0.1838,0.176208508325131,0.191391491674869,0.3796,0.371617022619123,0.387582977380877,3796,1838,279
"Yuen","ghEqual",40255,10000,10,10,1,3,-1,3,0,0,0.0235,0.0195977425930111,0.0274022574069889,0.1446,0.137706737122784,0.151493262877216,0.2902,0.28273409251759,0.29766590748241,2902,1446,235
"Yuen","ghEqual",15383308,10000,10,10,1,3,1,-3,0,0,0.0252,0.0211625803783981,0.0292374196216019,0.0699,0.0649024231473243,0.0748975768526757,0.117,0.111712636301757,0.122287363698243,1170,699,252
"Yuen","ghEqual",135312765,10000,10,10,1.5,3,1,1,0,0,0.0381,0.0331685650485823,0.0430314349514177,0.1437,0.136824608586444,0.150575391413556,0.2504,0.243273146139172,0.257526853860828,2504,1437,381
"Yuen","ghEqual",310037098,10000,10,10,1.5,3,3,3,0,0,0.0411,0.0359860858980323,0.0462139141019677,0.161,0.153796393358879,0.168203606641121,0.2733,0.265968998671138,0.280631001328862,2733,1610,411
"Yuen","ghEqual",27517,10000,10,10,1.5,3,1,3,0,0,0.0505,0.0448592216826399,0.0561407783173601,0.202,0.194130752554405,0.209869247445595,0.3331,0.32534675375762,0.34085324624238,3331,2020,505
"Yuen","ghEqual",3605351,10000,10,10,1.5,3,-1,1,0,0,0.0402,0.035140014666494,0.045259985333506,0.1964,0.188613419512623,0.204186580487377,0.355,0.347128455841609,0.362871544158391,3550,1964,402
"Yuen","ghEqual",2193223,10000,10,10,1.5,3,-3,3,0,0,0.0535,0.0477032701792821,0.0592967298207179,0.3314,0.322173956253821,0.340626043746178,0.6016,0.593546596094967,0.609653403905033,6016,3314,535
"Yuen","ghEqual",24918582,10000,10,10,1.5,3,-1,3,0,0,0.0466,0.0411702930477839,0.0520297069522161,0.2528,0.244281501764654,0.261318498235346,0.4527,0.444511886130935,0.460888113869065,4527,2528,466
"Yuen","ghEqual",79041,10000,10,10,1.5,3,1,-3,0,0,0.0418,0.0366446033756678,0.0469553966243322,0.0994,0.0935357127541022,0.105264287245898,0.1545,0.148554519622068,0.160445480377932,1545,994,418
"Yuen","ghEqual",4756876,10000,10,10,2,3,1,1,0,0,0.0721,0.0654370879843432,0.0787629120156568,0.2369,0.22856646375766,0.24523353624234,0.3681,0.360166350887519,0.376033649112481,3681,2369,721
