"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"Yuen","ghEqualK",118300,10000,10,10,0,3,1,1,0.2,1,0.005,0.00318305240581903,0.00681694759418097,0.0352,0.0315880140651437,0.0388119859348563,0.08,0.0755372268711036,0.0844627731288964,800,352,50
"Yuen","ghEqualK",17279834,10000,10,10,0,3,3,3,0.2,1,0.0037,0.00213598185986991,0.00526401814013009,0.0203,0.0175359197722208,0.0230640802277792,0.0549,0.0511529373358623,0.0586470626641377,549,203,37
"Yuen","ghEqualK",162188149,10000,10,10,0,3,-3,-3,0.2,1,0.0042,0.0025340707064416,0.0058659292935584,0.0199,0.0171627289505056,0.0226372710494944,0.0573,0.0534767740365269,0.0611232259634731,573,199,42
"Yuen","ghEqualK",109663,10000,10,10,0,3,-1,-1,0.2,1,0.0051,0.00326506509471753,0.00693493490528247,0.0347,0.0311128299753706,0.0382871700246294,0.0827,0.0781692056129443,0.0872307943870557,827,347,51
"Yuen","ghEqualK",116571227,10000,10,10,0.5,3,1,1,0.2,0,0.008,0.00570519024021598,0.010294809759784,0.0449,0.0408411438066371,0.0489588561933629,0.0952,0.090372073248443,0.100027926751557,952,449,80
"Yuen","ghEqualK",1326255,10000,10,10,0.5,3,3,3,0.2,0,0.0044,0.00269503824744835,0.00610496175255165,0.0306,0.0272242654218082,0.0339757345781918,0.0809,0.0764143896399737,0.0853856103600263,809,306,44
"Yuen","ghEqualK",25456978,10000,10,10,0.5,3,1,3,0.2,0,0.0091,0.00665385910075809,0.0115461408992419,0.0588,0.0541891001041445,0.0634108998958555,0.1299,0.124369618868561,0.135430381131439,1299,588,91
"Yuen","ghEqualK",7425135,10000,10,10,0.5,3,-1,1,0.2,0,0.0108,0.00813743762725904,0.013462562372741,0.0595,0.0548634606051496,0.0641365393948504,0.13,0.124467808503857,0.135532191496143,1300,595,108
"Yuen","ghEqualK",279834575,10000,10,10,0.5,3,-3,3,0.2,0,0.0124,0.00954932805320851,0.0152506719467915,0.0854,0.0799222702098041,0.0908777297901959,0.2012,0.194605241161923,0.207794758838077,2012,854,124
"Yuen","ghEqualK",2930955,10000,10,10,0.5,3,-1,3,0.2,0,0.0116,0.00884170176410454,0.0143582982358955,0.0723,0.0672239136853674,0.0773760863146326,0.1649,0.158795565025002,0.171004434974998,1649,723,116
"Yuen","ghEqualK",9853393,10000,10,10,0.5,3,1,-3,0.2,0,0.0137,0.0107055941757577,0.0166944058242423,0.0511,0.0467840466213825,0.0554159533786175,0.1005,0.0955540523305058,0.105445947669494,1005,511,137
"Yuen","ghEqualK",36424,10000,10,10,1,3,1,1,0.2,0,0.0174,0.01403171475587,0.02076828524413,0.0761,0.0709029022746921,0.0812970977253079,0.1466,0.14078152454374,0.15241847545626,1466,761,174
"Yuen","ghEqualK",15765359,10000,10,10,1,3,3,3,0.2,0,0.0154,0.012227978408588,0.018572021591412,0.0741,0.0689661022185478,0.0792338977814522,0.1553,0.149341967371626,0.161258032628374,1553,741,154
"Yuen","ghEqualK",33982,10000,10,10,1,3,1,3,0.2,0,0.0188,0.015301325391944,0.022298674608056,0.1106,0.104452731290858,0.116747268709142,0.2064,0.199742340522256,0.213057659477744,2064,1106,188
"Yuen","ghEqualK",24511760,10000,10,10,1,3,-1,1,0.2,0,0.0161,0.0128578412422733,0.0193421587577267,0.0952,0.0894475766364427,0.100952423363557,0.2007,0.194111379472547,0.207288620527453,2007,952,161
"Yuen","ghEqualK",113411,10000,10,10,1,3,-3,3,0.2,0,0.021,0.0173064255959301,0.0246935744040699,0.151,0.143982241964844,0.158017758035156,0.329,0.321270967893876,0.336729032106124,3290,1510,210
"Yuen","ghEqualK",186643,10000,10,10,1,3,-1,3,0.2,0,0.0189,0.015392211510723,0.022407788489277,0.1245,0.118029038405306,0.130970961594694,0.2633,0.256055028744103,0.270544971255897,2633,1245,189
"Yuen","ghEqualK",14807880,10000,10,10,1,3,1,-3,0.2,0,0.0236,0.0196896489697338,0.0275103510302662,0.0589,0.0542854260991507,0.0635145739008494,0.1025,0.0975106374420799,0.10748936255792,1025,589,236
"Yuen","ghEqualK",8342829,10000,10,10,1.5,3,1,1,0.2,0,0.0323,0.0277457434629024,0.0368542565370976,0.136,0.129281344134427,0.142718655865573,0.2325,0.225551091822497,0.239448908177503,2325,1360,323
"Yuen","ghEqualK",6013665,10000,10,10,1.5,3,3,3,0.2,0,0.0344,0.0297051285160013,0.0390948714839987,0.1386,0.131827638686071,0.145372361313929,0.2482,0.241094118650871,0.255305881349129,2482,1386,344
"Yuen","ghEqualK",1476760,10000,10,10,1.5,3,1,3,0.2,0,0.0436,0.0383397196951584,0.0488602803048416,0.1887,0.181031105567971,0.196368894432029,0.3136,0.305967926103502,0.321232073896498,3136,1887,436
"Yuen","ghEqualK",112171959,10000,10,10,1.5,3,-1,1,0.2,0,0.0288,0.024491794216213,0.033108205783787,0.1648,0.157528401056604,0.172071598943396,0.309,0.30139876489,0.31660123511,3090,1648,288
"Yuen","ghEqualK",36995859,10000,10,10,1.5,3,-3,3,0.2,0,0.0395,0.0344824340313654,0.0445175659686346,0.2798,0.271001543626658,0.288598456373342,0.5305,0.522290316874302,0.538709683125698,5305,2798,395
"Yuen","ghEqualK",20957,10000,10,10,1.5,3,-1,3,0.2,0,0.0376,0.0326997573231294,0.0425002426768706,0.2184,0.21030205796573,0.22649794203427,0.4113,0.403205458109518,0.419394541890482,4113,2184,376
"Yuen","ghEqualK",32956,10000,10,10,1.5,3,1,-3,0.2,0,0.0406,0.0355159626489114,0.0456840373510886,0.0943,0.0885719855934539,0.100028014406546,0.1461,0.140289754044709,0.151910245955291,1461,943,406
"Yuen","ghEqualK",1089829,10000,10,10,2,3,1,1,0.2,0,0.0671,0.0606549741243356,0.0735450258756644,0.2209,0.212768876985902,0.229031123014098,0.3418,0.333997552224596,0.349602447775404,3418,2209,671
"Yuen","ghEqualK",27547,10000,10,10,2,3,3,3,0.2,0,0.0721,0.0654370879843432,0.0787629120156568,0.2235,0.215334823722662,0.231665176277338,0.342,0.334196455664892,0.349803544335108,3420,2235,721
"Yuen","ghEqualK",30024,10000,10,10,2,3,1,3,0.2,0,0.0832,0.0760854927848672,0.0903145072151327,0.2815,0.272685277245426,0.290314722754574,0.4253,0.417167310488173,0.433432689511827,4253,2815,832
"Yuen","ghEqualK",11629663,10000,10,10,2,3,-1,1,0.2,0,0.0586,0.0525496323727641,0.0646503676272359,0.2661,0.257438423360242,0.274761576639758,0.4526,0.444412042615701,0.460787957384299,4526,2661,586
"Yuen","ghEqualK",1291541,10000,10,10,2,3,-3,3,0.2,0,0.0888,0.0814724431404556,0.0961275568595444,0.4741,0.464313156707579,0.483886843292421,0.7522,0.745097958301735,0.759302041698265,7522,4741,888
"Yuen","ghEqualK",3158084,10000,10,10,2,3,-1,3,0.2,0,0.0732,0.0664904342703439,0.0799095657296561,0.3399,0.33061597032327,0.34918402967673,0.5749,0.566767808273966,0.583032191726034,5749,3399,732
"Yuen","ghEqualK",4252488,10000,10,10,2,3,1,-3,0.2,0,0.0677,0.0612283050951319,0.0741716949048681,0.1457,0.138785018056307,0.152614981943693,0.2041,0.197469952238334,0.210730047761666,2041,1457,677
"Yuen","ghEqualK",7954807,10000,10,10,2.5,3,1,1,0.2,0,0.1097,0.101649601863286,0.117750398136714,0.3132,0.304109618887989,0.322290381112011,0.4503,0.442115733846534,0.458484266153466,4503,3132,1097
"Yuen","ghEqualK",412441,10000,10,10,2.5,3,3,3,0.2,0,0.1175,0.109204890009168,0.125795109990832,0.3215,0.312345777037891,0.330654222962109,0.4574,0.449204907175199,0.465595092824801,4574,3215,1175
"Yuen","ghEqualK",827151,10000,10,10,2.5,3,1,3,0.2,0,0.1436,0.13456638852875,0.15263361147125,0.3897,0.380141429245666,0.399258570754334,0.5429,0.534705330668479,0.551094669331521,5429,3897,1436
"Yuen","ghEqualK",93140,10000,10,10,2.5,3,-1,1,0.2,0,0.0995,0.0917892032146088,0.107210796785391,0.39,0.380440101255766,0.399559898744234,0.6117,0.603682871625465,0.619717128374535,6117,3900,995
"Yuen","ghEqualK",29420277,10000,10,10,2.5,3,-3,3,0.2,0,0.1775,0.167657328500859,0.187342671499141,0.6752,0.666021318535127,0.684378681464873,0.8905,0.885363232327195,0.895636767672805,8905,6752,1775
"Yuen","ghEqualK",45480288,10000,10,10,2.5,3,-1,3,0.2,0,0.1294,0.120753858709363,0.138046141290637,0.5157,0.505904832395431,0.525495167604569,0.7512,0.744088374476788,0.758311625523212,7512,5157,1294
"Yuen","ghEqualK",91374,10000,10,10,2.5,3,1,-3,0.2,0,0.0913,0.0838802117472629,0.0987197882527371,0.1914,0.183689298220888,0.199110701779112,0.2634,0.256154144901042,0.270645855098958,2634,1914,913
"Yuen","ghEqualK",13751159,10000,20,20,0,3,1,1,0.2,1,0.0072,0.00502207464379148,0.00937792535620852,0.0431,0.0391195883953541,0.0470804116046459,0.093,0.0882223864244269,0.0977776135755731,930,431,72
"Yuen","ghEqualK",5041076,10000,20,20,0,3,3,3,0.2,1,0.0029,0.00151479447287271,0.00428520552712729,0.0295,0.026183615709843,0.032816384290157,0.0763,0.0719328949083203,0.0806671050916797,763,295,29
"Yuen","ghEqualK",5397550,10000,20,20,0,3,-3,-3,0.2,1,0.0034,0.00190050245650618,0.00489949754349382,0.0304,0.0270349682476387,0.0337650317523613,0.0769,0.0725171818883309,0.0812828181116691,769,304,34
"Yuen","ghEqualK",154098,10000,20,20,0,3,-1,-1,0.2,1,0.0068,0.00468301066328241,0.00891698933671759,0.0405,0.036636276205524,0.044363723794476,0.0892,0.0845112201667811,0.0938887798332189,892,405,68
"Yuen","ghEqualK",19095,10000,20,20,0.5,3,1,1,0.2,0,0.0134,0.0104381107640318,0.0163618892359682,0.0663,0.0614234069546865,0.0711765930453135,0.1289,0.123387782217113,0.134412217782887,1289,663,134
"Yuen","ghEqualK",401661,10000,20,20,0.5,3,3,3,0.2,0,0.009,0.00656721381654696,0.011432786183453,0.0544,0.0499546162975059,0.0588453837024941,0.1181,0.112791149171904,0.123408850828096,1181,544,90
"Yuen","ghEqualK",472506,10000,20,20,0.5,3,1,3,0.2,0,0.0211,0.0173978309092231,0.0248021690907769,0.1009,0.0949965532076252,0.106803446792375,0.1858,0.179401851641928,0.192198148358072,1858,1009,211
"Yuen","ghEqualK",138032914,10000,20,20,0.5,3,-1,1,0.2,0,0.02,0.0163936,0.0236064,0.1137,0.107478047685043,0.119921952314957,0.2205,0.213680096038112,0.227319903961888,2205,1137,200
"Yuen","ghEqualK",1029370,10000,20,20,0.5,3,-3,3,0.2,0,0.0494,0.0438177634224207,0.0549822365775793,0.2705,0.261793324586273,0.279206675413727,0.4679,0.459691967746288,0.476108032253712,4679,2705,494
"Yuen","ghEqualK",350431329,10000,20,20,0.5,3,-1,3,0.2,0,0.0321,0.0275593960792441,0.0366406039207559,0.1729,0.165488048337017,0.180311951662983,0.3189,0.311233474190941,0.326566525809059,3189,1729,321
"Yuen","ghEqualK",51825445,10000,20,20,0.5,3,1,-3,0.2,0,0.0093,0.00682737409756834,0.0117726259024317,0.0481,0.0439060401072018,0.0522939598927982,0.1048,0.0997614383085646,0.109838561691435,1048,481,93
"Yuen","ghEqualK",3996145,10000,20,20,1,3,1,1,0.2,0,0.0359,0.0311075882487683,0.0406924117512317,0.1376,0.130848198554578,0.144351801445422,0.2276,0.220702794534045,0.234497205465955,2276,1376,359
"Yuen","ghEqualK",700458,10000,20,20,1,3,3,3,0.2,0,0.0345,0.0297985529927904,0.0392014470072096,0.1394,0.132611276365737,0.146188723634263,0.2336,0.226639666171684,0.240560333828316,2336,1394,345
