"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","Normal",47103,1000,10,10,0,1,1,0.017,0.00646954641356793,0.0275304535864321,0.051,0.0373643995951773,0.0646356004048227,0.095,0.0797471150474738,0.110252884952526
"Yuenbt","Normal",34269760,1000,10,10,0,3,1,0.005,-0.000745692786775151,0.0107456927867752,0.048,0.0347506319546931,0.0612493680453069,0.104,0.0881205090257905,0.119879490974209
"Yuenbt","Normal",60018,1000,10,10,0.5,1,0,0.036,0.0208247579820287,0.0511752420179712,0.136,0.114753744649939,0.157246255350061,0.24,0.217783362990767,0.262216637009233
"Yuenbt","Normal",48850,1000,10,10,1.5,1,0,0.359,0.319922920562765,0.398077079437235,0.721,0.693201215594922,0.748798784405078,0.867,0.84933550315534,0.88466449684466
"Yuenbt","Normal",28890,1000,10,10,2,1,0,0.596,0.55602765095239,0.63597234904761,0.906,0.887912268732647,0.924087731267354,0.972,0.963418206690907,0.980581793309093
"Yuenbt","Normal",6466089,1000,10,10,2.5,1,0,0.796,0.76317403695268,0.82882596304732,0.979,0.970112961438139,0.987887038561861,0.997,0.994155053467111,0.999844946532889
"Yuenbt","Normal",314516,1000,10,10,0.5,3,0,0.008,0.000743174362298623,0.0152568256377014,0.046,0.0330159800369839,0.0589840199630161,0.095,0.0797471150474738,0.110252884952526
"Yuenbt","Normal",150682,1000,10,10,1.5,3,0,0.035,0.0200292507067949,0.0499707492932051,0.156,0.133509992832371,0.178490007167629,0.25,0.2274749098226,0.2725250901774
"Yuenbt","Normal",20045,1000,10,10,2,3,0,0.07,0.0492156545063358,0.0907843454936642,0.227,0.20103676842918,0.25296323157082,0.348,0.323221254099531,0.372778745900469
"Yuenbt","Normal",169618614,1000,10,10,2.5,3,0,0.085,0.062282221094482,0.107717778905518,0.303,0.274516472381392,0.331483527618608,0.447,0.421136801710249,0.472863198289751
"Yuenbt","Normal",849245,1000,20,20,0,1,1,0.014,0.00442919794876103,0.023570802051239,0.047,0.0338824885896753,0.0601175114103247,0.108,0.0918541762551426,0.124145823744857
"Yuenbt","Normal",4210359,1000,20,20,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.043,0.0304267871409094,0.0555732128590905,0.09,0.0751129772116786,0.104887022788321
"Yuenbt","Normal",25114622,1000,20,20,0.5,1,0,0.115,0.0890123855962114,0.140987614403789,0.297,0.268678779941535,0.325321220058465,0.435,0.409210985005724,0.460789014994276
"Yuenbt","Normal",43777614,1000,20,20,1.5,1,0,0.88,0.853528544701887,0.906471455298113,0.993,0.987832509158208,0.998167490841792,0.998,0.995675946235562,1.00032405376444
"Yuenbt","Normal",6884363,1000,20,20,2,1,0,0.99,0.981894805221341,0.998105194778659,1,1,1,1,1,1
"Yuenbt","Normal",200677,1000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Normal",61372,1000,20,20,0.5,3,0,0.011,0.00250349441805633,0.0194965055819437,0.062,0.0470530240650491,0.0769469759349509,0.125,0.107796178204393,0.142203821795607
"Yuenbt","Normal",265054475,1000,20,20,1.5,3,0,0.104,0.0791333928574081,0.128866607142592,0.279,0.251201215594922,0.306798784405078,0.423,0.397300540321341,0.448699459678659
"Yuenbt","Normal",170068,1000,20,20,2,3,0,0.209,0.175878709980679,0.242121290019321,0.475,0.444048441073187,0.505951558926813,0.616,0.590699921391426,0.641300078608574
"Yuenbt","Normal",39086985,1000,20,20,2.5,3,0,0.335,0.296551528009555,0.373448471990445,0.652,0.622476387863271,0.681523612136729,0.764,0.741911380043108,0.786088619956892
"Yuenbt","Normal",18207,1000,100,100,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.059,0.0443958296914888,0.0736041703085112,0.105,0.0890532542700713,0.120946745729929
"Yuenbt","Normal",112493,1000,100,100,0,3,1,0.005,-0.000745692786775151,0.0107456927867752,0.035,0.0236092124943005,0.0463907875056995,0.089,0.0741877820372842,0.103812217962716
"Yuenbt","Normal",112520,1000,100,100,0.5,1,0,0.711,0.6740742282856,0.7479257717144,0.88,0.859858675316653,0.900141324683347,0.936,0.923268082563887,0.948731917436113
"Yuenbt","Normal",32209522,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Normal",31654,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Normal",1118002,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Yuenbt","Normal",773414,1000,100,100,0.5,3,0,0.069,0.0483535568568337,0.0896464431431663,0.206,0.180933140156773,0.231066859843227,0.299,0.275184456042849,0.322815543957151
"Yuenbt","Normal",46751,1000,100,100,1.5,3,0,0.731,0.694877259837271,0.767122740162729,0.904,0.885741045637825,0.922258954362175,0.955,0.944216149835286,0.965783850164714
"Yuenbt","Normal",43432792,1000,100,100,2,3,0,0.946,0.927588536690855,0.964411463309145,0.99,0.98383300397276,0.99616699602724,0.996,0.992716586593193,0.999283413406807
"Yuenbt","Normal",57223666,1000,100,100,2.5,3,0,0.996,0.99085831432466,1.00114168567534,1,1,1,1,1,1
"Yuenbt","Normal",7618245,1000,10,100,0,1,1,0.018,0.00716976562691277,0.0288302343730872,0.057,0.0426302455970883,0.0713697544029117,0.098,0.0825338503207812,0.113466149679219
"Yuenbt","Normal",136132984,1000,10,100,0,3,1,0.019,0.00787865885497617,0.0301213411450238,0.051,0.0373643995951773,0.0646356004048227,0.099,0.0834637609449713,0.114536239055029
"Yuenbt","Normal",17144,1000,10,100,0.5,1,0,0.088,0.0649227202934141,0.111077279706586,0.212,0.186666971566747,0.237333028433253,0.315,0.290836131427791,0.339163868572209
"Yuenbt","Normal",84803680,1000,10,100,1.5,1,0,0.539,0.498393953840542,0.579606046159458,0.814,0.789882918783567,0.838117081216432,0.918,0.903727693322381,0.932272306677619
"Yuenbt","Normal",3818021,1000,10,100,2,1,0,0.747,0.711586698233347,0.782413301766653,0.939,0.924166153351204,0.953833846648796,0.99,0.98482412833428,0.99517587166572
"Yuenbt","Normal",8372422,1000,10,100,2.5,1,0,0.861,0.832819101577416,0.889180898422584,0.984,0.976222972907338,0.991777027092662,0.999,0.997355822705728,1.00064417729427
"Yuenbt","Normal",3001098,1000,10,100,0.5,3,0,0.024,0.0115325857923946,0.0364674142076054,0.074,0.0577752720084434,0.0902247279915566,0.123,0.105914871297675,0.140085128702325
"Yuenbt","Normal",119624,1000,10,100,1.5,3,0,0.089,0.0658046969775344,0.112195303022466,0.228,0.201996479746004,0.254003520253996,0.337,0.312411184010307,0.361588815989693
"Yuenbt","Normal",35501577,1000,10,100,2,3,0,0.155,0.125519145846838,0.184480854153162,0.322,0.293039980221001,0.350960019778999,0.453,0.427105432214941,0.478894567785059
"Yuenbt","Normal",147529934,1000,10,100,2.5,3,0,0.226,0.191930123554319,0.260069876445681,0.443,0.412211712590662,0.473788287409338,0.597,0.571484411416254,0.622515588583746
