"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","Normal2Var",49481176,1000,10,10,0,1,2,1,0.007,0.000208440607931048,0.013791559392069,0.05,0.0364916322229516,0.0635083677770484,0.1,0.0843941597470691,0.115605840252931
"Yuenbt","Normal2Var",17665,1000,10,10,0,3,5,1,0.011,0.00250349441805633,0.0194965055819437,0.059,0.0443958296914888,0.0736041703085112,0.102,0.0862563960320389,0.117743603967961
"Yuenbt","Normal2Var",17816575,1000,10,10,0,1,5,1,0.019,0.00787865885497617,0.0301213411450238,0.059,0.0443958296914888,0.0736041703085112,0.1,0.0843941597470691,0.115605840252931
"Yuenbt","Normal2Var",40649972,1000,10,10,0.5,1,2,0,0.025,0.0122820190281633,0.0377179809718367,0.087,0.0695316821187614,0.104468317881239,0.159,0.139977724716139,0.178022275283861
"Yuenbt","Normal2Var",221672,1000,10,10,1.5,1,2,0,0.133,0.105338149621979,0.160661850378021,0.358,0.328285727712091,0.387714272287909,0.537,0.511061578656846,0.562938421343154
"Yuenbt","Normal2Var",1405287,1000,10,10,2,1,2,0,0.262,0.226180073921684,0.297819926078316,0.543,0.512124493824392,0.573875506175608,0.711,0.687419683823685,0.734580316176315
"Yuenbt","Normal2Var",89604060,1000,10,10,2.5,1,2,0,0.381,0.341440237916995,0.420559762083005,0.703,0.674678779941535,0.731321220058465,0.852,0.833527887819743,0.870472112180257
"Yuenbt","Normal2Var",18528,1000,10,10,0.5,3,5,0,0.016,0.00577876439250127,0.0262212356074987,0.063,0.0479409997144565,0.0780590002855435,0.111,0.0946590134638388,0.127340986536161
"Yuenbt","Normal2Var",2500731,1000,10,10,1.5,3,5,0,0.024,0.0115325857923946,0.0364674142076054,0.106,0.0869200266666853,0.125079973333315,0.188,0.167675360952775,0.208324639047225
"Yuenbt","Normal2Var",55968,1000,10,10,2,3,5,0,0.041,0.0248472269704549,0.0571527730295451,0.144,0.122239232954696,0.165760767045304,0.228,0.206175616929682,0.249824383070318
"Yuenbt","Normal2Var",2653928,1000,10,10,2.5,3,5,0,0.049,0.0314153326496064,0.0665846673503936,0.178,0.154291614445517,0.201708385554483,0.299,0.275184456042849,0.322815543957151
"Yuenbt","Normal2Var",337046,1000,10,10,0.5,1,5,0,0.023,0.0107888361530934,0.0352111638469066,0.067,0.0515034759510399,0.0824965240489601,0.129,0.111563077594512,0.146436922405488
"Yuenbt","Normal2Var",130225,1000,10,10,1.5,1,5,0,0.037,0.0216234160277388,0.0523765839722612,0.12,0.0998586753166531,0.140141324683347,0.194,0.17343000016772,0.21456999983228
"Yuenbt","Normal2Var",17048,1000,10,10,2,1,5,0,0.048,0.0305865448547395,0.0654134551452605,0.145,0.123176563973563,0.166823436026437,0.227,0.205209430645919,0.248790569354081
"Yuenbt","Normal2Var",978306,1000,10,10,2.5,1,5,0,0.068,0.0474927100821196,0.0885072899178804,0.189,0.164734044292466,0.213265955707534,0.303,0.27909418217724,0.32690581782276
"Yuenbt","Normal2Var",153439532,1000,20,20,0,1,2,1,0.014,0.00442919794876103,0.023570802051239,0.059,0.0443958296914888,0.0736041703085112,0.107,0.0909200934463225,0.123079906553677
"Yuenbt","Normal2Var",754714,1000,20,20,0,3,5,1,0.017,0.00646954641356793,0.0275304535864321,0.055,0.0408696369473392,0.0691303630526608,0.11,0.0937236414545513,0.126276358545449
